B992521_002E,B992521_003E,GEO_ID,B992521_001E,B992521_002EA,B992521_003EA,NAME,B992521_001EA,state
31304,1257913,0400000US01,1289217,null,null,Alabama,null,01
1943,160369,0400000US02,162312,null,null,Alaska,null,02
30694,1470834,0400000US04,1501528,null,null,Arizona,null,04
12243,738741,0400000US05,750984,null,null,Arkansas,null,05
137693,6705676,0400000US06,6843369,null,null,California,null,06
21373,1250431,0400000US08,1271804,null,null,Colorado,null,08
14969,896090,0400000US09,911059,null,null,Connecticut,null,09
3215,235345,0400000US10,238560,null,null,Delaware,null,10
3410,107215,0400000US11,110625,null,null,District of Columbia,null,11
134789,4606380,0400000US12,4741169,null,null,Florida,null,12
64845,2191858,0400000US13,2256703,null,null,Georgia,null,13
5110,249590,0400000US15,254700,null,null,Hawaii,null,15
16446,382370,0400000US16,398816,null,null,Idaho,null,16
64004,3126278,0400000US17,3190282,null,null,Illinois,null,17
25499,1694563,0400000US18,1720062,null,null,Indiana,null,18
12629,867739,0400000US19,880368,null,null,Iowa,null,19
11174,735905,0400000US20,747079,null,null,Kansas,null,20
16708,1134771,0400000US21,1151479,null,null,Kentucky,null,21
22190,1108504,0400000US22,1130694,null,null,Louisiana,null,22
3960,387737,0400000US23,391697,null,null,Maine,null,23
23870,1413577,0400000US24,1437447,null,null,Maryland,null,24
29674,1543605,0400000US25,1573279,null,null,Massachusetts,null,25
56249,2650031,0400000US26,2706280,null,null,Michigan,null,26
25146,1500303,0400000US27,1525449,null,null,Minnesota,null,27
14517,740146,0400000US28,754663,null,null,Mississippi,null,28
27708,1565323,0400000US29,1593031,null,null,Missouri,null,29
4578,269992,0400000US30,274570,null,null,Montana,null,30
5059,479249,0400000US31,484308,null,null,Nebraska,null,31
7490,545501,0400000US32,552991,null,null,Nevada,null,32
5672,363398,0400000US33,369070,null,null,New Hampshire,null,33
31168,2029312,0400000US34,2060480,null,null,New Jersey,null,34
11930,511074,0400000US35,523004,null,null,New Mexico,null,35
84846,3766841,0400000US36,3851687,null,null,New York,null,36
46583,2403319,0400000US37,2449902,null,null,North Carolina,null,37
2208,184046,0400000US38,186254,null,null,North Dakota,null,38
52259,2987454,0400000US39,3039713,null,null,Ohio,null,39
18455,948543,0400000US40,966998,null,null,Oklahoma,null,40
16304,905708,0400000US41,922012,null,null,Oregon,null,41
53657,3377366,0400000US42,3431023,null,null,Pennsylvania,null,42
3147,246607,0400000US44,249754,null,null,Rhode Island,null,44
30898,1192576,0400000US45,1223474,null,null,South Carolina,null,45
3442,217940,0400000US46,221382,null,null,South Dakota,null,46
29414,1630662,0400000US47,1660076,null,null,Tennessee,null,47
94930,5473370,0400000US48,5568300,null,null,Texas,null,48
7455,606044,0400000US49,613499,null,null,Utah,null,49
3355,180097,0400000US50,183452,null,null,Vermont,null,50
32107,1981488,0400000US51,2013595,null,null,Virginia,null,51
21573,1632139,0400000US53,1653712,null,null,Washington,null,53
10763,520629,0400000US54,531392,null,null,West Virginia,null,54
25390,1518518,0400000US55,1543908,null,null,Wisconsin,null,55
2523,154700,0400000US56,157223,null,null,Wyoming,null,56
9960,866781,0400000US72,876741,null,null,Puerto Rico,null,72
