GEO_ID,C27008_001E,C27008_001M,C27008_002E,C27008_002M,C27008_003E,C27008_003M,C27008_004E,C27008_004M,C27008_005E,C27008_005M,C27008_006E,C27008_006M,C27008_007E,C27008_007M,C27008_008E,C27008_008M,C27008_009E,C27008_009M,C27008_010E,C27008_010M,C27008_011E,C27008_011M,C27008_012E,C27008_012M,C27008_013E,C27008_013M,C27008_014E,C27008_014M,C27008_015E,C27008_015M,C27008_016E,C27008_016M,C27008_017E,C27008_017M,C27008_018E,C27008_018M,C27008_019E,C27008_019M,C27008_020E,C27008_020M,C27008_021E,C27008_021M,NAME,C27008_001MA,C27008_001EA,C27008_002MA,C27008_002EA,C27008_003MA,C27008_003EA,C27008_004EA,C27008_004MA,C27008_005EA,C27008_005MA,C27008_006EA,C27008_006MA,C27008_007MA,C27008_007EA,C27008_008MA,C27008_008EA,C27008_009EA,C27008_009MA,C27008_010EA,C27008_010MA,C27008_011EA,C27008_011MA,C27008_012MA,C27008_012EA,C27008_013MA,C27008_013EA,C27008_014MA,C27008_014EA,C27008_015EA,C27008_015MA,C27008_016EA,C27008_016MA,C27008_017MA,C27008_017EA,C27008_018MA,C27008_018EA,C27008_019MA,C27008_019EA,C27008_020EA,C27008_020MA,C27008_021EA,C27008_021MA,state
0400000US01,4720067,2155,2262898,5633,569107,4176,20114,2703,548993,5372,1414698,4262,48167,3098,1366531,5234,279093,1597,38552,2755,240541,3213,2457169,5482,553018,4336,19281,2306,533737,4155,1529326,3226,57266,3849,1472060,4843,374825,1967,37859,2883,336966,3302,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,699272,1868,353412,2409,95685,1288,11826,1816,83859,2177,229987,2044,13356,1753,216631,2740,27740,691,3521,1046,24219,1223,345860,1555,92023,1337,11032,1978,80991,2409,224593,1324,18988,2146,205605,2408,29244,918,3206,928,26038,867,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6378280,1787,3141397,5192,830120,3869,19414,3634,810706,5295,1892465,3160,41594,4334,1850871,5155,418812,1439,41501,3584,377311,3725,3236883,4797,791710,3468,16278,2838,775432,4541,1952969,2665,47684,4765,1905285,5341,492204,1546,40028,3997,452176,4244,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2885212,1095,1412433,4390,366713,3444,5786,1539,360927,3869,864243,2843,19480,2870,844763,3617,181477,1394,20605,1662,160872,2007,1472779,4226,342175,3336,6349,1322,335826,3427,899485,2675,18930,2047,880555,3027,231119,1618,17993,1518,213126,2198,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,37161789,5236,18337173,8165,4731653,4465,71416,5929,4660237,7579,11716855,6623,138949,7526,11577906,10577,1888665,2997,109037,4855,1779628,5207,18824616,6478,4520813,4109,74218,6912,4446595,7234,11890613,4441,160861,7714,11729752,9773,2413190,2783,102586,4961,2310604,4908,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5024885,2530,2498871,4767,630047,3241,22569,3045,607478,4833,1618210,3693,47985,4208,1570225,5239,250614,1187,27151,2468,223463,2918,2526014,4098,596781,3604,23636,3288,573145,4682,1620615,3014,55346,3759,1565269,5118,308618,1578,25879,2251,282739,2568,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3522709,1144,1707415,2399,410533,1411,5720,1550,404813,2112,1084991,1817,10071,1555,1074920,2305,211891,1346,7807,1007,204084,1717,1815294,2210,391817,1419,3156,822,388661,1611,1142307,1643,10308,1473,1131999,2112,281170,1372,8177,1105,272993,1796,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,892132,847,428892,1281,104294,951,3163,890,101131,1345,267093,1107,6692,1406,260401,1546,57505,652,4700,919,52805,1009,463240,1136,100001,916,2512,858,97489,1189,290684,969,6355,1015,284329,1295,72555,728,5476,916,67079,1231,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,608165,325,285171,863,53456,450,255,198,53201,521,204647,794,3155,861,201492,1182,27068,387,2272,555,24796,633,322994,788,51856,427,469,276,51387,492,230511,708,2100,687,228411,999,40627,548,1429,449,39198,683,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,18752294,3756,9088985,8711,2040086,5645,53414,5666,1986672,8265,5576083,6738,137477,8350,5438606,10879,1472816,3748,131860,6350,1340956,7601,9663309,8195,1946860,6048,55192,5915,1891668,7599,5892404,5507,148962,7319,5743442,9401,1824045,4157,125651,5591,1698394,6658,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
