GEO_ID,B19001C_001E,B19001C_001M,B19001C_002E,B19001C_002M,B19001C_003E,B19001C_003M,B19001C_004E,B19001C_004M,B19001C_005E,B19001C_005M,B19001C_006E,B19001C_006M,B19001C_007E,B19001C_007M,B19001C_008E,B19001C_008M,B19001C_009E,B19001C_009M,B19001C_010E,B19001C_010M,B19001C_011E,B19001C_011M,B19001C_012E,B19001C_012M,B19001C_013E,B19001C_013M,B19001C_014E,B19001C_014M,B19001C_015E,B19001C_015M,B19001C_016E,B19001C_016M,B19001C_017E,B19001C_017M,NAME,B19001C_001MA,B19001C_001EA,B19001C_002EA,B19001C_002MA,B19001C_003EA,B19001C_003MA,B19001C_004EA,B19001C_004MA,B19001C_005MA,B19001C_005EA,B19001C_006MA,B19001C_006EA,B19001C_007MA,B19001C_007EA,B19001C_008EA,B19001C_008MA,B19001C_009EA,B19001C_009MA,B19001C_010EA,B19001C_010MA,B19001C_011EA,B19001C_011MA,B19001C_012MA,B19001C_012EA,B19001C_013MA,B19001C_013EA,B19001C_014EA,B19001C_014MA,B19001C_015EA,B19001C_015MA,B19001C_016EA,B19001C_016MA,B19001C_017MA,B19001C_017EA,state
0400000US01,9117,1285,1164,454,740,434,443,246,558,416,760,442,448,248,313,169,243,201,612,346,717,486,1096,395,1236,684,403,271,183,190,125,134,76,103,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,29151,1489,2273,464,1715,402,1922,488,1864,495,2183,633,1530,390,2249,691,1549,413,1010,352,2379,570,2479,609,3006,728,2583,542,1132,276,988,412,289,174,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,72834,3619,14185,1711,6686,1264,5488,1004,4678,943,5384,1251,4274,902,4109,989,3659,998,2110,602,5683,1069,6185,1255,5384,1103,2204,723,1255,716,990,440,560,339,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,6468,1398,438,337,805,446,457,325,411,364,300,297,323,328,493,437,420,323,166,225,560,461,930,465,539,430,350,359,86,96,131,155,59,99,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,93230,4475,10135,1495,7069,1338,5591,1311,6644,1191,4689,1289,5502,1544,4987,1201,4081,1218,4114,1101,7439,1621,8329,1573,9089,1440,6108,1126,2882,853,4032,961,2539,778,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,16650,1713,2685,762,1268,520,1252,482,1850,828,724,426,999,587,520,368,960,431,578,374,1298,519,1467,455,1874,738,458,273,313,248,232,181,172,143,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,18554,2527,2739,905,1740,902,1359,761,1172,609,1140,974,1986,978,404,294,1046,431,1024,546,1956,842,864,456,1847,683,223,275,7,15,537,394,510,428,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
