B24082_006M,B24082_007E,B24082_007M,B24082_008E,B24082_008M,B24082_009E,B24082_009M,B24082_010E,B24082_010M,B24082_011E,B24082_011M,B24082_012E,B24082_012M,B24082_013E,B24082_013M,B24082_014E,B24082_014M,B24082_015E,B24082_015M,B24082_016E,B24082_016M,B24082_017E,B24082_017M,B24082_018E,B24082_018M,GEO_ID,B24082_001E,B24082_001M,B24082_002E,B24082_002M,B24082_003E,B24082_003M,B24082_004E,B24082_004M,B24082_005E,B24082_005M,B24082_006E,B24082_006MA,B24082_007MA,B24082_007EA,B24082_008MA,B24082_008EA,B24082_009MA,B24082_009EA,B24082_010EA,B24082_010MA,B24082_011MA,B24082_011EA,B24082_012MA,B24082_012EA,B24082_013MA,B24082_013EA,B24082_014MA,B24082_014EA,B24082_015EA,B24082_015MA,B24082_016EA,B24082_016MA,B24082_017MA,B24082_017EA,B24082_018MA,B24082_018EA,NAME,B24082_001MA,B24082_001EA,B24082_002MA,B24082_002EA,B24082_003MA,B24082_003EA,B24082_004EA,B24082_004MA,B24082_005EA,B24082_005MA,B24082_006EA,state
2382,45468,2155,62285,4110,22927,2650,24071,467,22060,422,21963,426,27254,6629,24539,1609,33781,2696,35517,1547,46203,2213,13399,1879,0400000US01,35922,550,34740,1019,33343,1167,53115,4008,35301,2796,39510,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,01
8906,61026,4248,60350,4132,40371,4911,30990,702,26861,978,26770,994,29952,9520,35847,1813,33482,4448,41372,2076,45041,4604,20960,4115,0400000US02,46985,2101,43175,2834,42436,2229,53393,14706,45178,4753,55973,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,02
2176,40375,3152,54874,2907,22205,1158,27183,467,25738,596,25556,598,32156,4359,32348,1569,34419,1328,32620,1913,42001,2933,13581,2185,0400000US04,35162,712,34079,1119,32675,894,51848,5365,32496,2781,42743,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,04
1828,37575,2432,47940,3875,21719,1435,23232,524,21564,435,21396,443,29733,5182,24215,1603,30883,2050,32386,1452,44073,3333,11326,964,0400000US05,31617,530,31392,626,30841,613,50725,4066,31185,2244,34931,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,05
621,55172,1948,57372,1179,27516,1063,29373,322,26546,229,26327,230,36707,1647,37196,731,41459,599,39169,1334,51271,991,17061,618,0400000US06,37255,175,35833,236,34951,395,61897,759,39644,1564,60689,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,06
1256,45366,2876,64537,3317,30122,1852,28654,664,26851,438,26702,429,31311,1906,32692,1666,35060,1901,36619,1696,47709,3584,14366,2905,0400000US08,41230,398,40569,477,39997,957,51218,1516,42866,3747,50250,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,08
1891,60209,3119,60779,1506,35563,2550,33807,725,31974,462,31875,468,37929,4597,37066,1596,43815,2730,55031,2295,53395,5305,18931,2295,0400000US09,48910,1622,49092,1971,47247,1164,70896,5631,40856,1846,60345,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,09
2173,45507,3942,56690,2417,32246,4868,31225,689,30085,1203,30170,1115,26147,5367,33006,4201,34499,9602,36493,2239,44785,7809,17218,5119,0400000US10,42292,1327,41896,1032,41530,1124,47372,5853,41328,3727,51202,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,10
11062,48244,17058,93523,6419,28165,8441,50421,1290,41368,1860,40889,2029,100061,21151,47579,3008,48931,4813,53237,5737,66861,3435,21432,5948,0400000US11,57668,3211,50721,2494,50177,4259,70744,13370,52723,6590,50587,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,11
1126,40281,1615,55153,1769,21227,955,26017,231,24301,376,23969,378,32313,1928,31265,603,36758,654,34437,1611,48203,2794,14724,840,0400000US12,32352,254,31375,248,30668,256,42693,2931,35169,1347,45208,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,12
997,40259,1676,60173,2148,21845,922,26517,402,24992,470,24944,471,26366,2997,30359,1443,32755,1454,33162,1636,50442,2319,12462,915,0400000US13,35462,448,34488,852,33239,892,50075,2760,40605,1644,40367,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Georgia,null,null,null,null,null,null,null,null,null,null,null,13
