GEO_ID,C14005_001E,C14005_001M,C14005_002E,C14005_002M,C14005_003E,C14005_003M,C14005_004E,C14005_004M,C14005_005E,C14005_005M,C14005_006E,C14005_006M,C14005_007E,C14005_007M,C14005_008E,C14005_008M,C14005_009E,C14005_009M,C14005_010E,C14005_010M,C14005_011E,C14005_011M,C14005_012E,C14005_012M,C14005_013E,C14005_013M,C14005_014E,C14005_014M,C14005_015E,C14005_015M,C14005_016E,C14005_016M,C14005_017E,C14005_017M,C14005_018E,C14005_018M,C14005_019E,C14005_019M,NAME,C14005_001MA,C14005_001EA,C14005_002EA,C14005_002MA,C14005_003EA,C14005_003MA,C14005_004EA,C14005_004MA,C14005_005MA,C14005_005EA,C14005_006MA,C14005_006EA,C14005_007MA,C14005_007EA,C14005_008EA,C14005_008MA,C14005_009EA,C14005_009MA,C14005_010EA,C14005_010MA,C14005_011MA,C14005_011EA,C14005_012MA,C14005_012EA,C14005_013EA,C14005_013MA,C14005_014EA,C14005_014MA,C14005_015EA,C14005_015MA,C14005_016MA,C14005_016EA,C14005_017MA,C14005_017EA,C14005_018MA,C14005_018EA,C14005_019EA,C14005_019MA,state
0400000US20,164758,4269,85639,3015,72151,2960,13488,1684,9539,1603,7928,1436,1611,633,3949,1101,2879,910,1070,608,79119,3397,68513,3179,10606,1941,7828,1660,5923,1371,1905,797,2778,839,1325,515,1453,682,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,237159,4842,121685,3295,100077,3490,21608,2119,14838,1934,12066,1803,2772,676,6770,1271,3238,1012,3532,840,115474,4004,100428,4324,15046,2152,11575,1999,9331,1840,2244,800,3471,971,828,361,2643,964,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,264377,5613,137531,4224,109841,4133,27690,2574,16475,2224,11340,1815,5135,1281,11215,1635,4410,1091,6805,1275,126846,4371,106597,4353,20249,2808,13133,2277,7914,1735,5219,1483,7116,1409,2892,933,4224,1094,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,68565,2072,35321,1763,30320,1895,5001,882,3505,691,3159,690,346,191,1496,591,913,497,583,341,33244,1347,29016,1423,4228,854,3273,748,2299,682,974,359,955,513,493,476,462,246,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,328017,6240,169278,4621,143706,4619,25572,2647,17353,2276,13588,1935,3765,1057,8219,1366,3991,1018,4228,1011,158739,3892,138768,3934,19971,2625,13545,2153,10618,1835,2927,963,6426,1717,3288,1163,3138,1115,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,381941,4597,192246,2942,167570,3994,24676,2452,17226,2005,13588,1779,3638,926,7450,1571,3650,1158,3800,1091,189695,3449,172174,3809,17521,2256,12945,2044,10364,2056,2581,896,4576,1205,2560,994,2016,629,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,580614,5424,299565,3975,252408,4654,47157,3329,27596,2260,20026,1829,7570,1266,19561,2076,9263,1437,10298,1488,281049,3433,247321,3910,33728,2481,23082,2121,16838,1584,6244,1204,10646,1453,4052,1090,6594,1186,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,296038,3549,149237,2558,130658,2760,18579,2087,12417,1669,10075,1460,2342,623,6162,1283,3656,912,2506,844,146801,2580,131825,2844,14976,1623,11054,1378,9201,1350,1853,520,3922,729,2214,552,1708,511,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,187436,5991,91585,4152,73306,3995,18279,2528,12346,2130,7249,1572,5097,1394,5933,1252,1871,674,4062,1159,95851,4304,83414,3827,12437,2011,7119,1338,4349,973,2770,879,5318,1440,1436,684,3882,1310,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,336492,5421,171531,3280,143379,3542,28152,2665,18960,2155,15011,2061,3949,936,9192,1582,4239,1058,4953,1137,164961,4389,141276,4005,23685,2436,14667,1925,10739,1785,3928,1101,9018,1621,4681,1374,4337,929,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
