GEO_ID,C18104_001E,C18104_001M,C18104_002E,C18104_002M,C18104_003E,C18104_003M,C18104_004E,C18104_004M,C18104_005E,C18104_005M,C18104_006E,C18104_006M,C18104_007E,C18104_007M,C18104_008E,C18104_008M,C18104_009E,C18104_009M,C18104_010E,C18104_010M,C18104_011E,C18104_011M,C18104_012E,C18104_012M,C18104_013E,C18104_013M,C18104_014E,C18104_014M,C18104_015E,C18104_015M,C18104_016E,C18104_016M,C18104_017E,C18104_017M,C18104_018E,C18104_018M,C18104_019E,C18104_019M,C18104_020E,C18104_020M,C18104_021E,C18104_021M,NAME,C18104_001MA,C18104_001EA,C18104_002MA,C18104_002EA,C18104_003EA,C18104_003MA,C18104_004EA,C18104_004MA,C18104_005MA,C18104_005EA,C18104_006MA,C18104_006EA,C18104_007MA,C18104_007EA,C18104_008MA,C18104_008EA,C18104_009EA,C18104_009MA,C18104_010EA,C18104_010MA,C18104_011MA,C18104_011EA,C18104_012MA,C18104_012EA,C18104_013MA,C18104_013EA,C18104_014EA,C18104_014MA,C18104_015MA,C18104_015EA,C18104_016MA,C18104_016EA,C18104_017MA,C18104_017EA,C18104_018MA,C18104_018EA,C18104_019MA,C18104_019EA,C18104_020MA,C18104_020EA,C18104_021EA,C18104_021MA,state
0400000US01,4421602,3532,2110198,5019,416407,3671,28232,2960,388175,4408,1414698,4262,92826,5290,1321872,6848,279093,1597,29836,2499,249257,2487,2311404,4962,407253,3626,12603,1790,394650,3896,1529326,3226,87109,5677,1442217,6229,374825,1967,48942,3239,325883,3555,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,645241,2023,325810,2056,68083,1045,2710,928,65373,1402,229987,2044,7895,1524,222092,2227,27740,691,3228,683,24512,802,319431,1414,65594,1012,1066,499,64528,1058,224593,1324,6525,1258,218068,1825,29244,918,2967,726,26277,1160,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5930452,3169,2912443,4889,601166,3600,24166,3416,577000,5192,1892465,3160,82061,6887,1810404,7046,418812,1439,31898,3212,386914,2939,3018009,3748,572836,2017,13950,3062,558886,3448,1952969,2665,78572,5809,1874397,6213,492204,1546,41984,3954,450220,4448,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2687787,2553,1310509,4010,264789,2861,18533,2304,246256,3508,864243,2843,49599,3603,814644,4686,181477,1394,17981,1954,163496,2085,1377278,3509,246674,2522,9642,1860,237032,2831,899485,2675,50340,3461,849145,4457,231119,1618,27345,2498,203774,3275,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,34628464,6052,17042168,7705,3436648,4108,126722,6319,3309926,7326,11716855,6623,412197,11723,11304658,13107,1888665,2997,171800,5618,1716865,6200,17586296,6331,3282493,3324,61409,5011,3221084,5566,11890613,4441,377999,11156,11512614,10998,2413190,2783,289475,8584,2123715,8980,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4683850,3211,2322383,4494,453559,2596,22324,3413,431235,4124,1618210,3693,60088,4309,1558122,5236,250614,1187,17435,1592,233179,2128,2361467,3599,432234,2719,8059,1714,424175,3245,1620615,3014,60302,3603,1560313,4782,308618,1578,25783,2429,282835,2799,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3326517,1588,1606669,2356,309787,1412,14628,1966,295159,2393,1084991,1817,41458,2831,1043533,3255,211891,1346,14053,1634,197838,1961,1719848,2042,296371,1005,6898,1277,289473,1538,1142307,1643,41598,3657,1100709,3916,281170,1372,24023,2110,257147,2500,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,836884,896,400843,1266,76245,863,4087,1216,72158,1456,267093,1107,10687,1679,256406,1954,57505,652,3845,948,53660,1179,436041,1092,72802,833,1293,688,71509,1118,290684,969,13111,1816,277573,2088,72555,728,5469,998,67086,1248,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,571960,375,266624,892,34909,427,3184,995,31725,1225,204647,794,9278,1700,195369,1877,27068,387,1862,764,25206,843,305336,794,34198,429,1880,615,32318,741,230511,708,7882,1516,222629,1673,40627,548,5150,1054,35477,1069,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,17678236,5716,8539964,8391,1491065,5500,71995,5220,1419070,6793,5576083,6738,250524,9276,5325559,11097,1472816,3748,115191,5562,1357625,6658,9138272,7790,1421823,5184,40558,4556,1381265,7313,5892404,5507,216502,8570,5675902,10783,1824045,4157,186020,8138,1638025,8198,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
