GEO_ID,B17019_001E,B17019_001M,B17019_002E,B17019_002M,B17019_003E,B17019_003M,B17019_004E,B17019_004M,B17019_005E,B17019_005M,B17019_006E,B17019_006M,B17019_007E,B17019_007M,B17019_008E,B17019_008M,B17019_009E,B17019_009M,B17019_010E,B17019_010M,B17019_011E,B17019_011M,B17019_012E,B17019_012M,B17019_013E,B17019_013M,B17019_014E,B17019_014M,B17019_015E,B17019_015M,B17019_016E,B17019_016M,B17019_017E,B17019_017M,B17019_018E,B17019_018M,B17019_019E,B17019_019M,B17019_020E,B17019_020M,B17019_021E,B17019_021M,B17019_022E,B17019_022M,B17019_023E,B17019_023M,NAME,B17019_001MA,B17019_001EA,B17019_002MA,B17019_002EA,B17019_003MA,B17019_003EA,B17019_004EA,B17019_004MA,B17019_005EA,B17019_005MA,B17019_006EA,B17019_006MA,B17019_007MA,B17019_007EA,B17019_008MA,B17019_008EA,B17019_009EA,B17019_009MA,B17019_010EA,B17019_010MA,B17019_011EA,B17019_011MA,B17019_012MA,B17019_012EA,B17019_013MA,B17019_013EA,B17019_014MA,B17019_014EA,B17019_015EA,B17019_015MA,B17019_016EA,B17019_016MA,B17019_017EA,B17019_017MA,B17019_018MA,B17019_018EA,B17019_019MA,B17019_019EA,B17019_020EA,B17019_020MA,B17019_021EA,B17019_021MA,B17019_022EA,B17019_022MA,B17019_023MA,B17019_023EA,state
0400000US01,1251795,13646,185909,6956,59150,3773,35356,2815,23794,2571,126759,6010,17144,2148,8777,1705,8367,1361,109615,5436,31753,3059,77862,4079,1065886,12576,830660,13121,720433,11144,110227,6376,235226,9305,62434,4569,41580,3422,20854,2426,172792,7372,107807,4956,64985,4695,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,173279,4602,12024,1704,3842,813,1850,627,1992,577,8182,1485,2416,849,1353,728,1063,475,5766,1148,1363,298,4403,1114,161255,4646,123435,4083,93848,3846,29587,2801,37820,2584,13328,1464,7868,1186,5460,1167,24492,2226,13823,1673,10669,1479,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1543923,17041,217603,9605,86195,6025,43878,3932,42317,3944,131408,7640,29605,3457,11375,2032,18230,2865,101803,6253,27286,2923,74517,5572,1326320,15922,1024155,15246,820016,14055,204139,8638,302165,11081,97891,6129,51675,4118,46216,4248,204274,9043,116499,7684,87775,5333,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,757205,8841,112534,5422,41651,3089,20588,1940,21063,2508,70883,4674,11297,1840,4190,924,7107,1589,59586,4236,14293,1624,45293,4009,644671,9383,514457,9045,437039,8051,77418,5403,130214,5525,36704,3575,22316,2457,14388,2195,93510,4397,55376,3844,38134,3509,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8518518,30469,1056152,15484,455238,10817,151622,6159,303616,8113,600914,12384,126510,6051,24443,2104,102067,5495,474404,11719,74188,4674,400216,11095,7462366,32642,5603947,36627,4012504,26470,1591443,21576,1858419,25132,621922,13214,291740,9447,330182,9877,1236497,18248,602182,13401,634315,13698,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1256471,12018,114546,5172,45650,3697,19525,2240,26125,3286,68896,4246,13492,2118,3763,1177,9729,1875,55404,3914,11575,1628,43829,3637,1141925,11786,924906,12060,757968,10554,166938,5873,217019,7600,74302,5184,41423,3600,32879,3351,142717,5553,80981,4011,61736,4037,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,893101,9280,70551,4637,19023,2289,8394,1359,10629,1932,51528,4149,7519,1540,2046,792,5473,1374,44009,3672,4783,1120,39226,3469,822550,9225,641276,8599,554327,7043,86949,5358,181274,6406,45948,3395,28624,2738,17324,2441,135326,5171,74301,3962,61025,3860,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,227101,3932,18261,1977,4541,1002,2194,762,2347,863,13720,1944,2561,1057,826,502,1735,899,11159,1600,3361,868,7798,1472,208840,3727,157214,3452,135167,3339,22047,2553,51626,3455,16124,2367,11437,1650,4687,1423,35502,2826,21152,1918,14350,2265,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,114045,3666,17608,2027,2165,759,863,439,1302,611,15443,2076,2022,732,37,63,1985,736,13421,1862,955,433,12466,1849,96437,3750,55082,3009,39173,2129,15909,2040,41355,3014,9106,1575,4281,1009,4825,1388,32249,2514,14533,1597,17716,1976,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4559858,26881,564395,15175,227560,9748,119906,7433,107654,6727,336835,10750,64057,5288,21721,2694,42336,4242,272778,8881,76892,5144,195886,7201,3995463,26744,3065495,26185,2531603,25573,533892,15719,929968,15536,260028,9424,151116,5932,108912,6484,669940,12950,384282,9298,285658,10931,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
