GEO_ID,C27004_001E,C27004_001M,C27004_002E,C27004_002M,C27004_003E,C27004_003M,C27004_004E,C27004_004M,C27004_005E,C27004_005M,C27004_006E,C27004_006M,C27004_007E,C27004_007M,C27004_008E,C27004_008M,C27004_009E,C27004_009M,C27004_010E,C27004_010M,C27004_011E,C27004_011M,C27004_012E,C27004_012M,C27004_013E,C27004_013M,C27004_014E,C27004_014M,C27004_015E,C27004_015M,C27004_016E,C27004_016M,C27004_017E,C27004_017M,C27004_018E,C27004_018M,C27004_019E,C27004_019M,C27004_020E,C27004_020M,C27004_021E,C27004_021M,NAME,C27004_001EA,C27004_001MA,C27004_002MA,C27004_002EA,C27004_003MA,C27004_003EA,C27004_004MA,C27004_004EA,C27004_005EA,C27004_005MA,C27004_006EA,C27004_006MA,C27004_007EA,C27004_007MA,C27004_008MA,C27004_008EA,C27004_009MA,C27004_009EA,C27004_010MA,C27004_010EA,C27004_011EA,C27004_011MA,C27004_012EA,C27004_012MA,C27004_013MA,C27004_013EA,C27004_014MA,C27004_014EA,C27004_015MA,C27004_015EA,C27004_016EA,C27004_016MA,C27004_017EA,C27004_017MA,C27004_018EA,C27004_018MA,C27004_019MA,C27004_019EA,C27004_020MA,C27004_020EA,C27004_021MA,C27004_021EA,state
0400000US01,4720067,2155,2262898,5633,569107,4176,276682,6372,292425,6321,1414698,4262,827470,9393,587228,10063,279093,1597,112999,3264,166094,3422,2457169,5482,553018,4336,260401,7622,292617,7861,1529326,3226,903291,9329,626035,9146,374825,1967,124763,3821,250062,4195,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,699272,1868,353412,2409,95685,1288,43217,3145,52468,3011,229987,2044,128565,4167,101422,4079,27740,691,13653,999,14087,1142,345860,1555,92023,1337,39823,3039,52200,3344,224593,1324,129931,3928,94662,3993,29244,918,12256,1304,16988,1188,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6378280,1787,3141397,5192,830120,3869,364688,11806,465432,12104,1892465,3160,989146,15507,903319,15338,418812,1439,146474,6150,272338,6573,3236883,4797,791710,3468,373535,12295,418175,12595,1952969,2665,1049809,16357,903160,16182,492204,1546,152357,5467,339847,5227,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2885212,1095,1412433,4390,366713,3444,146735,5844,219978,6628,864243,2843,459255,9009,404988,9095,181477,1394,55240,2309,126237,2806,1472779,4226,342175,3336,142797,5664,199378,6292,899485,2675,491936,8913,407549,8690,231119,1618,58669,2886,172450,3338,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,37161789,5236,18337173,8165,4731653,4465,2234640,21372,2497013,21279,11716855,6623,6268485,31672,5448370,31949,1888665,2997,689476,9161,1199189,8584,18824616,6478,4520813,4109,2116991,20420,2403822,20930,11890613,4441,6512855,29479,5377758,29554,2413190,2783,731406,10445,1681784,10681,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5024885,2530,2498871,4767,630047,3241,338373,7858,291674,7418,1618210,3693,948412,12669,669798,13087,250614,1187,97403,3708,153211,3715,2526014,4098,596781,3604,319169,7110,277612,7772,1620615,3014,980653,12148,639962,11250,308618,1578,102029,3803,206589,3880,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3522709,1144,1707415,2399,410533,1411,262556,5623,147977,5740,1084991,1817,728152,8978,356839,8686,211891,1346,98016,3298,113875,3426,1815294,2210,391817,1419,254751,6067,137066,6187,1142307,1643,786857,8765,355450,8688,281170,1372,112927,3699,168243,3787,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,892132,847,428892,1281,104294,951,60256,3090,44038,3209,267093,1107,178836,4397,88257,4285,57505,652,31753,1831,25752,1921,463240,1136,100001,916,55247,3759,44754,3718,290684,969,194173,5005,96511,4922,72555,728,35101,1944,37454,1885,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,608165,325,285171,863,53456,450,27274,2573,26182,2508,204647,794,134286,3975,70361,3801,27068,387,16875,1132,10193,1067,322994,788,51856,427,25362,2359,26494,2334,230511,708,152160,3799,78351,3704,40627,548,23794,1380,16833,1322,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,18752294,3756,9088985,8711,2040086,5645,870762,18144,1169324,19155,5576083,6738,2730745,31185,2845338,31412,1472816,3748,495717,9963,977099,10250,9663309,8195,1946860,6048,823733,16726,1123127,15890,5892404,5507,3088492,30421,2803912,29545,1824045,4157,512549,11725,1311496,11002,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
