GEO_ID,C01001C_001E,C01001C_001M,C01001C_002E,C01001C_002M,C01001C_003E,C01001C_003M,C01001C_004E,C01001C_004M,C01001C_005E,C01001C_005M,C01001C_006E,C01001C_006M,C01001C_007E,C01001C_007M,C01001C_008E,C01001C_008M,C01001C_009E,C01001C_009M,NAME,C01001C_001EA,C01001C_001MA,C01001C_002EA,C01001C_002MA,C01001C_003EA,C01001C_003MA,C01001C_004EA,C01001C_004MA,C01001C_005EA,C01001C_005MA,C01001C_006EA,C01001C_006MA,C01001C_007MA,C01001C_007EA,C01001C_008EA,C01001C_008MA,C01001C_009MA,C01001C_009EA,state
0400000US01,24408,2242,12132,1629,3221,831,8239,1443,672,305,12276,1328,2701,585,8451,1177,1124,335,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,102293,3803,53679,2412,16267,1363,33392,1439,4020,547,48614,2184,14549,955,29933,1591,4132,400,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,289812,5175,141505,3446,45992,1763,86055,2422,9458,978,148307,3347,46795,2179,89357,2061,12155,542,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,16772,2398,9060,1634,1876,699,5746,1328,1438,554,7712,1292,2168,655,4802,1130,742,348,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,289597,14245,144671,8194,38525,4376,95539,5222,10607,1426,144926,7929,34851,3591,94929,5336,15146,1881,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,51677,4851,26961,3127,7966,1718,17526,2061,1469,528,24716,2780,6608,1540,16772,1822,1336,415,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,7481,1778,3069,1037,1004,522,1946,688,119,113,4412,1184,1502,686,2415,681,495,347,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,2794,895,1677,624,231,248,1290,593,156,111,1117,456,172,195,908,418,37,39,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,1956,848,776,341,253,191,523,311,0,200,1180,625,361,300,734,302,85,123,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,63416,6292,32590,4320,9141,2217,20806,3061,2643,1034,30826,3223,6078,1466,21030,2317,3718,1266,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
