GEO_ID,B06008_001E,B06008_001M,B06008_002E,B06008_002M,B06008_003E,B06008_003M,B06008_004E,B06008_004M,B06008_005E,B06008_005M,B06008_006E,B06008_006M,B06008_007E,B06008_007M,B06008_008E,B06008_008M,B06008_009E,B06008_009M,B06008_010E,B06008_010M,B06008_011E,B06008_011M,B06008_012E,B06008_012M,B06008_013E,B06008_013M,B06008_014E,B06008_014M,B06008_015E,B06008_015M,B06008_016E,B06008_016M,B06008_017E,B06008_017M,B06008_018E,B06008_018M,B06008_019E,B06008_019M,B06008_020E,B06008_020M,B06008_021E,B06008_021M,B06008_022E,B06008_022M,B06008_023E,B06008_023M,B06008_024E,B06008_024M,B06008_025E,B06008_025M,B06008_026E,B06008_026M,B06008_027E,B06008_027M,B06008_028E,B06008_028M,B06008_029E,B06008_029M,B06008_030E,B06008_030M,NAME,B06008_001EA,B06008_001MA,B06008_002MA,B06008_002EA,B06008_003MA,B06008_003EA,B06008_004MA,B06008_004EA,B06008_005MA,B06008_005EA,B06008_006EA,B06008_006MA,B06008_007MA,B06008_007EA,B06008_008MA,B06008_008EA,B06008_009MA,B06008_009EA,B06008_010MA,B06008_010EA,B06008_011EA,B06008_011MA,B06008_012EA,B06008_012MA,B06008_013MA,B06008_013EA,B06008_014MA,B06008_014EA,B06008_015EA,B06008_015MA,B06008_016EA,B06008_016MA,B06008_017EA,B06008_017MA,B06008_018MA,B06008_018EA,B06008_019MA,B06008_019EA,B06008_020EA,B06008_020MA,B06008_021EA,B06008_021MA,B06008_022EA,B06008_022MA,B06008_023EA,B06008_023MA,B06008_024MA,B06008_024EA,B06008_025MA,B06008_025EA,B06008_026EA,B06008_026MA,B06008_027EA,B06008_027MA,B06008_028EA,B06008_028MA,B06008_029MA,B06008_029EA,B06008_030MA,B06008_030EA,state
0400000US13,7736263,6684,2564790,26004,3648629,34752,881899,21626,210236,10502,430709,9695,3807718,30762,1423613,21515,1579496,27551,449244,12901,110657,7465,244708,7469,2921031,32534,849115,19307,1487004,19840,363850,14664,68516,5149,152546,7132,113809,8436,42597,4807,53923,6690,12182,2646,2121,885,2986,1337,893705,20809,249465,13385,528206,16323,56623,4888,28942,4000,30469,3581,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,1121353,683,364551,7854,566118,10266,105001,5541,15912,2539,69771,3227,553658,12233,220611,8119,240137,8722,47331,3625,7195,1332,38384,2720,300644,6339,84569,4863,160447,6472,39463,3071,5134,1614,11031,1506,32850,2935,11522,1531,17389,2123,2635,719,177,133,1127,488,234201,10902,47849,4900,148145,7601,15572,1785,3406,860,19229,1955,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1224412,1966,317090,8713,679907,12739,152265,7691,15289,2234,59861,4124,472161,11143,150681,7366,240055,8828,56414,4359,5266,1295,19745,2275,648830,11021,141982,6997,373128,8976,88014,6089,8556,1661,37150,3188,14176,2716,5385,1858,6576,1813,1682,836,319,216,214,150,89245,5382,19042,2740,60148,4553,6155,1394,1148,725,2752,755,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,10316699,2433,3570099,22417,4908742,28931,1029493,17273,185386,7968,622979,10197,6374686,29563,2530907,21316,2727478,23586,652901,13594,102649,5256,360751,8764,2100534,23753,592694,15497,1057160,16097,247956,7124,38358,3734,164366,5209,113488,7263,39262,4512,49560,4062,15198,2244,2701,1059,6767,1479,1727991,19978,407236,12976,1074544,17912,113438,7022,41678,4134,91095,6111,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,5194347,3254,1579121,15879,2571824,24137,648397,14930,82641,4713,312364,8074,3375142,17131,1088534,13709,1612516,18740,433331,11098,50928,4419,189833,6321,1502746,17403,390704,9736,783820,15919,193707,7422,24382,2171,110133,5085,34203,2997,11628,1820,17661,2355,3535,1045,858,565,521,370,282256,7241,88255,5886,157827,5905,17824,2697,6473,1606,11877,1608,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,2461674,2155,707877,9845,1296063,15333,266630,8108,31810,2947,159294,5081,1723373,11112,492785,10555,902309,11827,190741,6284,18758,2621,118780,4511,603060,10752,171459,5871,319773,8583,66380,3680,9739,1486,35709,2018,10559,1297,3560,917,5132,789,1196,466,172,195,499,250,124682,5028,40073,3134,68849,4589,8313,1389,3141,847,4306,910,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,2267066,2221,653773,9346,1182286,13282,264832,7366,33632,3161,132543,4540,1223198,13759,392390,8404,599232,10546,143162,5607,13551,1931,74863,3826,840606,11395,205087,6928,463541,10130,106193,4222,15208,2179,50577,2801,19340,2382,5627,1296,9678,1352,2928,1013,394,414,713,530,183922,6925,50669,3697,109835,5865,12549,1901,4479,1096,6390,1140,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,3518242,3244,979216,13136,1757784,23530,462828,13155,82953,5038,235461,6460,2368359,17194,669883,12431,1154332,20207,312961,10583,54860,4128,176323,5804,995448,16730,262452,9057,519068,12654,136281,5539,24001,2651,53646,3552,27285,3080,10823,1947,11143,1716,4128,1159,628,752,563,437,127150,5790,36058,3398,73241,4744,9458,1832,3464,1062,4929,1354,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,3641422,2429,1256742,14387,1603947,19330,435368,9988,100905,5687,244460,5971,2741965,13626,1006147,15108,1147744,16098,325762,8075,75889,4762,186423,5670,710212,12828,191009,8756,358783,10890,92740,5711,18736,2579,48944,2943,23812,2890,8915,1713,10420,2017,2800,856,551,318,1126,624,165433,7099,50671,5123,87000,5241,14066,2283,5729,1484,7967,1348,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,1107596,1310,304964,6856,567198,12526,151343,7353,13035,2055,71056,3019,673830,8614,202398,6404,328728,9351,90878,5401,6895,1343,44931,2351,381166,8006,92499,4732,207557,6772,54099,4341,5053,1287,21958,2025,11784,1436,3525,907,5988,1122,1267,519,409,389,595,348,40816,3183,6542,1013,24925,2714,5099,1134,678,464,3572,872,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
