GEO_ID,B18101F_001E,B18101F_001M,B18101F_002E,B18101F_002M,B18101F_003E,B18101F_003M,B18101F_004E,B18101F_004M,B18101F_005E,B18101F_005M,B18101F_006E,B18101F_006M,B18101F_007E,B18101F_007M,B18101F_008E,B18101F_008M,B18101F_009E,B18101F_009M,B18101F_010E,B18101F_010M,NAME,B18101F_001EA,B18101F_001MA,B18101F_002EA,B18101F_002MA,B18101F_003MA,B18101F_003EA,B18101F_004MA,B18101F_004EA,B18101F_005MA,B18101F_005EA,B18101F_006EA,B18101F_006MA,B18101F_007EA,B18101F_007MA,B18101F_008EA,B18101F_008MA,B18101F_009MA,B18101F_009EA,B18101F_010EA,B18101F_010MA,state
0400000US01,57643,7063,17303,2868,346,247,16957,2816,39085,5060,2265,978,36820,4961,1255,1000,492,515,763,639,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,7912,1846,1981,642,0,149,1981,642,5832,1482,272,235,5560,1425,99,86,77,75,22,49,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,394538,21376,135810,10609,4711,1914,131099,10207,237890,13137,20349,3677,217541,12419,20838,2984,8060,1752,12778,2089,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,62379,7415,25139,3514,879,618,24260,3547,36483,4431,1678,658,34805,4512,757,569,393,354,364,337,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,4672723,66387,1485740,30638,37894,3370,1447846,29989,2981828,39850,187187,8545,2794641,38541,205155,8210,79543,5039,125612,6413,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,219176,15781,72709,7506,2888,1082,69821,7275,134045,9211,11925,1858,122120,8986,12422,2208,5129,1175,7293,1636,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,189455,10711,60021,5280,3996,1104,56025,5075,123691,6679,13865,2067,109826,6392,5743,1266,2205,690,3538,1023,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,19572,4492,6351,2105,347,391,6004,2018,12956,2861,766,445,12190,2789,265,221,96,117,169,183,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,24192,3717,7115,1510,707,549,6408,1479,15781,2636,1212,725,14569,2422,1296,560,616,426,680,351,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,506518,27511,147566,13259,5621,1626,141945,12912,334468,18846,27536,4918,306932,18300,24484,3455,9357,2062,15127,2324,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,282580,19421,109337,9226,2784,1196,106553,9380,169297,12105,5965,1869,163332,11960,3946,1292,1457,945,2489,838,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,15877,3254,3719,1576,93,119,3626,1593,10654,2264,891,614,9763,2003,1504,585,395,209,1109,539,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,28617,5078,8196,2079,624,442,7572,2020,18456,3908,1224,743,17232,3826,1965,886,956,502,1009,562,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,781506,28554,272649,12861,6896,1460,265753,12833,482772,17194,24064,3054,458708,16438,26085,3062,8785,1656,17300,2480,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,155730,10230,55346,5789,1282,601,54064,5802,97593,5897,6451,1463,91142,5762,2791,886,1135,512,1656,744,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
