GEO_ID,C05003F_001E,C05003F_001M,C05003F_002E,C05003F_002M,C05003F_003E,C05003F_003M,C05003F_004E,C05003F_004M,C05003F_005E,C05003F_005M,C05003F_006E,C05003F_006M,C05003F_007E,C05003F_007M,C05003F_008E,C05003F_008M,C05003F_009E,C05003F_009M,C05003F_010E,C05003F_010M,C05003F_011E,C05003F_011M,C05003F_012E,C05003F_012M,C05003F_013E,C05003F_013M,C05003F_014E,C05003F_014M,C05003F_015E,C05003F_015M,NAME,C05003F_001EA,C05003F_001MA,C05003F_002EA,C05003F_002MA,C05003F_003EA,C05003F_003MA,C05003F_004EA,C05003F_004MA,C05003F_005MA,C05003F_005EA,C05003F_006EA,C05003F_006MA,C05003F_007EA,C05003F_007MA,C05003F_008MA,C05003F_008EA,C05003F_009EA,C05003F_009MA,C05003F_010MA,C05003F_010EA,C05003F_011MA,C05003F_011EA,C05003F_012EA,C05003F_012MA,C05003F_013MA,C05003F_013EA,C05003F_014EA,C05003F_014MA,C05003F_015MA,C05003F_015EA,state
0400000US01,58499,7039,33847,4339,8852,1933,6706,1800,2146,694,24995,3317,5146,1407,19849,3169,24652,3615,8459,1760,7610,1793,849,429,16193,3009,5347,2247,10846,2059,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,8599,1933,4196,1111,912,323,912,323,0,149,3284,994,1912,876,1372,555,4403,1122,1069,427,1069,427,0,149,3334,965,1777,709,1557,696,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,402195,21457,209109,11532,66509,5871,59751,5383,6758,2415,142600,8321,80910,6583,61690,5588,193086,12034,69331,6694,64716,6058,4615,1738,123755,7411,67887,5399,55868,5114,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,62745,7426,33935,4486,14080,2428,12899,2163,1181,964,19855,2769,5651,1623,14204,2361,28810,3912,11059,2123,8659,1601,2400,1246,17751,2525,6515,1399,11236,2019,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,4738489,66403,2421232,36874,754305,17421,703443,16739,50862,5159,1666927,26141,699919,20394,967008,19804,2317257,36650,734561,19128,682768,18518,51793,4231,1582696,20813,665833,14623,916863,16501,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,221207,15837,114303,8836,37122,4403,33499,4082,3623,1317,77181,5756,39215,3494,37966,4581,106904,8681,35889,4467,32228,4194,3661,1119,71015,5301,38471,3635,32544,3941,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,195293,10646,100420,5955,30300,3404,27260,3119,3040,1366,70120,4356,36386,3842,33734,3861,94873,5971,29993,3127,27578,2916,2415,948,64880,3820,40523,3746,24357,2894,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,19682,4485,9820,2801,3702,1382,3269,1313,433,332,6118,1790,1970,783,4148,1649,9862,2212,2649,1186,2513,1167,136,133,7213,1552,4038,1242,3175,914,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,24420,3654,11761,2299,3710,898,3262,893,448,436,8051,1780,2213,1073,5838,1459,12659,1934,3405,1004,3079,954,326,338,9254,1462,2418,843,6836,1374,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,512411,27599,266547,14097,76193,7173,68104,6667,8089,1964,190354,11343,73753,6604,116601,9144,245864,17055,71614,7847,64426,7450,7188,1696,174250,11614,71294,6703,102956,7552,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,287608,19454,158298,10288,57205,5361,51896,5457,5309,1598,101093,7412,18373,2756,82720,6927,129310,11768,52193,5790,47366,5715,4827,2044,77117,7217,21754,4260,55363,5702,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,17772,3259,9007,1779,1371,740,1371,740,0,187,7636,1437,5673,1420,1963,1045,8765,2243,2348,1223,2325,1233,23,40,6417,1642,4641,1485,1776,702,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,28938,5066,16212,2950,4345,1479,4071,1447,274,241,11867,2343,4426,1564,7441,1781,12726,2474,3851,1075,3230,1035,621,387,8875,1910,3444,1070,5431,1823,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,783647,28478,403940,16374,136220,7517,123554,7277,12666,2444,267720,10819,90450,5344,177270,10415,379707,14563,136429,7267,125419,7309,11010,2380,243278,9237,91864,6224,151414,6984,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,157123,10274,82782,6329,28206,3457,24975,3022,3231,1129,54576,4135,18974,2521,35602,3680,74341,5088,27263,3247,24298,3020,2965,1127,47078,3015,17588,2079,29490,3069,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,43292,5237,24910,3019,7530,1456,6987,1358,543,287,17380,1969,5164,1081,12216,1838,18382,2789,6244,1465,5476,1394,768,477,12138,1736,4437,928,7701,1321,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,71792,6124,39110,3839,13119,2453,10576,2004,2543,1105,25991,2587,10182,1594,15809,2356,32682,3011,11852,1542,10576,1417,1276,621,20830,2179,8874,1180,11956,2044,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
