B08012_012E,B08012_012M,B08012_013E,B08012_013M,B08012_014E,B08012_014M,B08012_015E,B08012_015M,B08012_016E,B08012_016M,B08012_017E,B08012_017M,B08012_018E,B08012_018M,B08012_019E,B08012_019M,B08012_020E,B08012_020M,B08012_021E,B08012_021M,B08012_022E,B08012_022M,B08012_023E,B08012_023M,B08012_024E,B08012_024M,B08012_025E,B08012_025M,B08012_026E,B08012_026M,B08012_027E,B08012_027M,B08012_028E,B08012_028M,B08012_029E,B08012_029M,B08012_030E,B08012_030M,B08012_031E,B08012_031M,B08012_032E,B08012_032M,B08012_033E,B08012_033M,B08012_034E,B08012_034M,B08012_035E,B08012_035M,B08012_036E,B08012_036M,B08012_037E,B08012_037M,B08012_038E,B08012_038M,B08012_039E,B08012_039M,GEO_ID,B08012_001E,B08012_001M,B08012_002E,B08012_002M,B08012_003E,B08012_003M,B08012_004E,B08012_004M,B08012_005E,B08012_005M,B08012_006E,B08012_006M,B08012_007E,B08012_007M,B08012_008E,B08012_008M,B08012_009E,B08012_009M,B08012_010E,B08012_010M,B08012_011E,B08012_011M,B08012_012MA,B08012_012EA,B08012_013MA,B08012_013EA,B08012_014EA,B08012_014MA,B08012_015MA,B08012_015EA,B08012_016MA,B08012_016EA,B08012_017MA,B08012_017EA,B08012_018MA,B08012_018EA,B08012_019EA,B08012_019MA,B08012_020EA,B08012_020MA,B08012_021MA,B08012_021EA,B08012_022MA,B08012_022EA,B08012_023EA,B08012_023MA,B08012_024EA,B08012_024MA,B08012_025EA,B08012_025MA,B08012_026MA,B08012_026EA,B08012_027MA,B08012_027EA,B08012_028EA,B08012_028MA,B08012_029EA,B08012_029MA,B08012_030EA,B08012_030MA,B08012_031EA,B08012_031MA,B08012_032MA,B08012_032EA,B08012_033EA,B08012_033MA,B08012_034EA,B08012_034MA,B08012_035EA,B08012_035MA,B08012_036EA,B08012_036MA,B08012_037MA,B08012_037EA,B08012_038MA,B08012_038EA,B08012_039MA,B08012_039EA,NAME,B08012_001EA,B08012_001MA,B08012_002EA,B08012_002MA,B08012_003EA,B08012_003MA,B08012_004MA,B08012_004EA,B08012_005MA,B08012_005EA,B08012_006MA,B08012_006EA,B08012_007EA,B08012_007MA,B08012_008EA,B08012_008MA,B08012_009EA,B08012_009MA,B08012_010MA,B08012_010EA,B08012_011MA,B08012_011EA,state
78880,4920,33643,2809,991175,11231,31261,3050,90336,6326,136558,5908,160470,6154,154379,6101,57900,3928,144403,7006,26878,2842,31259,3113,81241,5150,52168,3904,24322,2379,910973,12278,24395,2869,102286,6001,155055,5705,163385,7720,145042,6814,55776,3963,128141,5815,20900,2607,24484,2635,55476,4419,26712,2856,9321,1524,0400000US01,1902148,17596,55656,4026,192622,9668,291613,8698,323855,9876,299421,8840,113676,5814,272544,8811,47778,3845,55743,4255,136717,6869,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
9627,2047,4872,1134,180450,3621,15773,1825,29187,2411,31979,2711,34040,3422,27847,2648,8593,1641,13512,1874,2787,1089,1521,643,4532,957,6675,1363,4004,1020,151452,4460,11144,1551,27923,2085,30298,2621,30165,3474,23479,2566,6300,1318,11960,1787,1199,515,1922,821,3242,918,2952,998,868,411,0400000US02,331902,5866,26917,2494,57110,3473,62277,3749,64205,5559,51326,4126,14893,2300,25472,2697,3986,1188,3443,1143,7774,1408,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
102958,8575,47520,4525,1349535,14744,33240,3340,116263,6148,178710,8581,201847,8450,209708,8721,92730,6543,214173,10807,45463,5289,55711,5262,109154,7444,62823,6553,29713,3415,1154847,14836,33177,3837,124899,5879,174296,8846,179129,9472,173321,7834,80809,5348,177137,8883,35976,3834,44502,5024,73659,5277,40135,5096,17807,2825,0400000US04,2504382,18865,66417,5144,241162,9260,353006,13712,380976,12989,383029,11147,173539,9095,391310,14205,81439,6208,100213,7135,182813,9908,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
36948,3990,21289,2586,620128,8319,33629,3151,84597,5320,109363,5542,99331,5412,83249,5065,31882,3432,73507,4646,12461,1887,15959,2036,36597,3087,24479,3226,15074,2297,555140,7952,30461,2485,83725,4984,102303,5866,98487,5344,81721,5231,30221,3389,58307,4236,12722,2304,12195,1706,26314,2679,12469,1806,6215,1366,0400000US05,1175268,11745,64090,4403,168322,7571,211666,8270,197818,8078,164970,7664,62103,5606,131814,6297,25183,2790,28154,2660,62911,4498,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
1059989,17187,470690,15135,8310212,27983,172744,6619,650057,13188,1064513,16753,1242381,21468,1199679,16963,458668,15261,1302025,19929,212257,8241,339130,11396,707929,13338,658512,14499,302317,11547,6879503,28221,168635,6485,657292,15262,1014704,17363,1129660,20794,1022585,15743,385269,9965,999604,17807,163137,7441,259353,8454,509414,12727,401477,9801,168373,7617,0400000US06,15189715,39684,341379,10296,1307349,20852,2079217,24014,2372041,32694,2222264,23561,843937,18336,2301629,27389,375394,11336,598483,15870,1217343,19132,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
104730,7154,49716,4296,1255248,9792,41334,4016,121084,5905,173394,8143,199034,7536,190294,6616,82113,4728,179691,6819,31035,3232,49134,4372,86418,5046,66730,5472,34987,3317,1067546,9517,41908,3540,124755,5555,162809,7094,182100,7529,163121,6362,65886,4212,142189,7277,27343,3200,34969,3355,69737,4309,38000,3075,14729,2623,0400000US08,2322794,13842,83242,5316,245839,7482,336203,11554,381134,11178,353415,8484,147999,6560,321880,10375,58378,4810,84103,5271,156155,7084,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
81536,4413,44284,3990,847080,7900,25850,3514,70996,5062,119016,6343,132704,6674,128979,6227,53930,4103,114745,5939,26511,2472,32442,2727,62380,3719,50654,3681,28873,2751,791573,8091,23904,2589,96256,4538,126255,5036,131373,5763,129651,5288,53044,4086,92684,4500,17260,2116,27536,2976,47317,3747,30882,2578,15411,2106,0400000US09,1638653,10927,49754,4657,167252,6768,245271,8833,264077,10287,258630,8666,106974,6184,207429,8081,43771,3439,59978,3912,109697,5417,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
22927,2511,10384,1731,204577,3822,5268,1218,19499,2198,24338,2375,34236,3170,35777,3427,12072,1716,25070,2506,4939,1430,7786,1527,15210,2221,13453,1926,6929,1341,195463,4338,4742,1075,17402,1843,32621,3023,35272,3105,35462,2607,11509,1892,22487,2126,4407,1016,5642,1150,12990,1900,9474,1737,3455,1012,0400000US10,400040,6068,10010,1666,36901,3188,56959,3912,69508,4410,71239,4183,23581,2569,47557,3611,9346,1878,13428,1705,28200,3220,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
20368,2245,6472,1292,143179,3698,2023,641,7778,1594,10285,1919,14979,1812,24100,2119,10993,1411,31848,3265,6254,1473,7842,1413,15089,2151,9435,1731,2553,752,148922,4344,1639,547,6009,1335,10573,1457,19546,1996,21195,2220,10835,1994,31945,2865,5054,999,8704,1609,18570,2236,10933,1522,3919,1021,0400000US11,292101,5492,3662,869,13787,2232,20858,2377,34525,2576,45295,3179,21828,2548,63793,4082,11308,1854,16546,2203,33659,2755,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
347781,12598,143533,8421,3933758,23616,79302,6066,286640,10659,475716,16063,588009,15927,653263,18232,265398,10916,660815,16433,124566,8645,163172,8588,342214,11886,202773,10466,91890,5577,3690009,24795,77991,4788,309553,11698,507643,12493,604332,14631,615890,16129,262261,10907,587945,14070,107057,6833,145158,7352,275528,9375,145008,6609,51643,5037,0400000US12,7623767,34639,157293,8121,596193,15704,983359,23006,1192341,21539,1269153,26600,527659,14872,1248760,19604,231623,11935,308330,11066,617742,16756,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
