GEO_ID,B13016_001E,B13016_001M,B13016_002E,B13016_002M,B13016_003E,B13016_003M,B13016_004E,B13016_004M,B13016_005E,B13016_005M,B13016_006E,B13016_006M,B13016_007E,B13016_007M,B13016_008E,B13016_008M,B13016_009E,B13016_009M,B13016_010E,B13016_010M,B13016_011E,B13016_011M,B13016_012E,B13016_012M,B13016_013E,B13016_013M,B13016_014E,B13016_014M,B13016_015E,B13016_015M,B13016_016E,B13016_016M,B13016_017E,B13016_017M,NAME,B13016_001EA,B13016_001MA,B13016_002MA,B13016_002EA,B13016_003EA,B13016_003MA,B13016_004EA,B13016_004MA,B13016_005MA,B13016_005EA,B13016_006EA,B13016_006MA,B13016_007MA,B13016_007EA,B13016_008EA,B13016_008MA,B13016_009EA,B13016_009MA,B13016_010MA,B13016_010EA,B13016_011EA,B13016_011MA,B13016_012EA,B13016_012MA,B13016_013MA,B13016_013EA,B13016_014EA,B13016_014MA,B13016_015MA,B13016_015EA,B13016_016EA,B13016_016MA,B13016_017EA,B13016_017MA,state
0400000US01,1173490,4143,70601,4956,4937,1135,20418,2677,17081,2327,15975,1805,7156,1393,2705,947,2329,699,1102889,6384,159564,3509,151189,3525,138896,3050,139342,2896,147996,4781,157715,4754,208187,3621,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,178692,1847,12883,2123,539,286,2998,829,2868,684,3198,925,2671,1394,567,372,42,54,165809,2745,23636,1486,23178,1405,24654,1174,19936,1425,21252,1956,21630,1814,31523,1735,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1529727,4606,84696,6441,6549,1680,18487,2545,22792,3107,18303,3200,11381,2313,4899,1468,2285,1306,1445031,7609,215906,4197,202227,3689,190974,3394,190386,3814,185173,6632,203587,6959,256778,4590,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,693482,3922,36586,3760,3192,936,9988,1524,10180,1985,8709,1760,3493,1316,474,327,550,384,656896,5108,90189,2820,90338,2754,84035,2875,88369,2870,86039,4345,92689,4038,125237,2983,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,9542324,11302,518722,12551,30558,3438,100007,5885,125485,5796,134417,6079,84084,5369,31729,3168,12442,1853,9023602,18670,1296391,5556,1279445,6645,1213669,6144,1162764,6783,1181308,13679,1277734,13422,1612291,11430,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1260971,4155,75261,5050,3967,1197,15966,2419,21334,3040,18612,2385,11064,1943,2948,1069,1370,538,1185710,6674,158310,3400,156721,3566,160880,3344,160768,3171,155953,6100,176297,5385,216781,3295,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,869059,3310,39770,3134,1356,457,7409,1421,9651,1598,11237,1706,6100,1014,2937,800,1080,444,829289,4543,123952,1231,102071,1938,97015,1649,95393,1975,102554,3994,128302,3596,180002,3091,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,220541,1737,10066,1528,331,264,2079,751,2666,849,2758,728,1438,601,702,367,92,144,210475,2157,29873,1221,30450,1248,27096,1260,25628,971,26098,2119,29837,2133,41493,1489,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,189049,987,7070,1539,301,258,1428,746,1173,667,2243,665,1405,577,230,222,290,337,181979,1952,21448,1791,31044,1934,38682,678,28702,647,20880,1416,18542,1559,22681,1155,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4423846,9181,206786,9924,14010,2269,37661,4318,54397,3929,52748,5276,31860,3792,11931,2476,4179,1390,4217060,12435,575525,6937,585848,6437,535619,6296,511789,6482,525086,10681,647868,11250,835325,8107,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
