GEO_ID,B19001G_001E,B19001G_001M,B19001G_002E,B19001G_002M,B19001G_003E,B19001G_003M,B19001G_004E,B19001G_004M,B19001G_005E,B19001G_005M,B19001G_006E,B19001G_006M,B19001G_007E,B19001G_007M,B19001G_008E,B19001G_008M,B19001G_009E,B19001G_009M,B19001G_010E,B19001G_010M,B19001G_011E,B19001G_011M,B19001G_012E,B19001G_012M,B19001G_013E,B19001G_013M,B19001G_014E,B19001G_014M,B19001G_015E,B19001G_015M,B19001G_016E,B19001G_016M,B19001G_017E,B19001G_017M,NAME,B19001G_001EA,B19001G_001MA,B19001G_002EA,B19001G_002MA,B19001G_003EA,B19001G_003MA,B19001G_004MA,B19001G_004EA,B19001G_005MA,B19001G_005EA,B19001G_006EA,B19001G_006MA,B19001G_007EA,B19001G_007MA,B19001G_008EA,B19001G_008MA,B19001G_009EA,B19001G_009MA,B19001G_010EA,B19001G_010MA,B19001G_011EA,B19001G_011MA,B19001G_012EA,B19001G_012MA,B19001G_013EA,B19001G_013MA,B19001G_014EA,B19001G_014MA,B19001G_015MA,B19001G_015EA,B19001G_016EA,B19001G_016MA,B19001G_017EA,B19001G_017MA,state
0400000US01,16906,1910,2856,712,1224,534,1242,545,1365,613,1195,672,1276,634,800,389,1247,643,309,172,966,386,1259,552,656,320,1393,608,378,220,237,193,503,294,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,12690,1840,614,433,562,341,902,419,789,562,667,419,384,277,407,297,1281,539,426,362,1280,638,1376,614,1683,645,925,451,620,329,724,557,50,75,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,40161,3684,6022,1508,2634,872,2404,800,2176,744,2399,1093,1901,839,2476,892,2455,1045,1555,645,3025,977,4241,1165,4247,1291,2284,919,853,513,975,501,514,338,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,14344,2040,2251,871,2520,875,821,369,1141,469,539,302,862,431,884,452,665,465,954,550,560,271,927,510,678,342,683,364,380,291,173,162,306,252,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,360984,9989,26537,2795,21859,2015,19732,2168,19985,3074,16161,1889,17064,2102,15350,2171,16041,2074,14076,2130,26749,2705,33284,3055,45003,3570,31234,3166,20277,2204,20646,2420,16986,2050,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,41507,3036,4579,1070,1806,493,2758,1049,3045,926,2138,728,2505,798,2172,755,2339,1280,1321,453,3034,735,4404,1094,4791,1147,3525,1093,1086,489,1077,395,927,458,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,21001,2396,2137,643,1478,659,708,415,1494,683,949,503,896,497,675,387,1114,474,1531,658,2075,640,1461,695,2376,756,1819,579,612,276,733,409,943,455,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,5230,944,362,240,289,197,100,119,181,137,158,152,174,180,246,229,361,320,236,189,578,431,492,330,384,290,399,263,283,216,322,292,665,385,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,93536,6503,9700,1856,4381,1118,7842,1593,5847,1124,7805,1959,4733,1362,6582,1464,5293,1378,4683,1243,6602,1821,8826,1978,9386,1849,6272,1375,1371,634,1749,661,2464,941,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
