GEO_ID,C27016_001E,C27016_001M,C27016_002E,C27016_002M,C27016_003E,C27016_003M,C27016_004E,C27016_004M,C27016_005E,C27016_005M,C27016_006E,C27016_006M,C27016_007E,C27016_007M,C27016_008E,C27016_008M,C27016_009E,C27016_009M,C27016_010E,C27016_010M,C27016_011E,C27016_011M,C27016_012E,C27016_012M,C27016_013E,C27016_013M,C27016_014E,C27016_014M,C27016_015E,C27016_015M,C27016_016E,C27016_016M,C27016_017E,C27016_017M,C27016_018E,C27016_018M,C27016_019E,C27016_019M,C27016_020E,C27016_020M,C27016_021E,C27016_021M,C27016_022E,C27016_022M,C27016_023E,C27016_023M,C27016_024E,C27016_024M,C27016_025E,C27016_025M,C27016_026E,C27016_026M,C27016_027E,C27016_027M,C27016_028E,C27016_028M,C27016_029E,C27016_029M,C27016_030E,C27016_030M,C27016_031E,C27016_031M,C27016_032E,C27016_032M,C27016_033E,C27016_033M,C27016_034E,C27016_034M,C27016_035E,C27016_035M,C27016_036E,C27016_036M,C27016_037E,C27016_037M,C27016_038E,C27016_038M,C27016_039E,C27016_039M,C27016_040E,C27016_040M,C27016_041E,C27016_041M,NAME,C27016_001MA,C27016_001EA,C27016_002MA,C27016_002EA,C27016_003MA,C27016_003EA,C27016_004EA,C27016_004MA,C27016_005EA,C27016_005MA,C27016_006MA,C27016_006EA,C27016_007MA,C27016_007EA,C27016_008MA,C27016_008EA,C27016_009MA,C27016_009EA,C27016_010EA,C27016_010MA,C27016_011EA,C27016_011MA,C27016_012EA,C27016_012MA,C27016_013MA,C27016_013EA,C27016_014EA,C27016_014MA,C27016_015MA,C27016_015EA,C27016_016EA,C27016_016MA,C27016_017EA,C27016_017MA,C27016_018MA,C27016_018EA,C27016_019EA,C27016_019MA,C27016_020MA,C27016_020EA,C27016_021EA,C27016_021MA,C27016_022EA,C27016_022MA,C27016_023MA,C27016_023EA,C27016_024EA,C27016_024MA,C27016_025EA,C27016_025MA,C27016_026MA,C27016_026EA,C27016_027EA,C27016_027MA,C27016_028MA,C27016_028EA,C27016_029EA,C27016_029MA,C27016_030EA,C27016_030MA,C27016_031MA,C27016_031EA,C27016_032EA,C27016_032MA,C27016_033EA,C27016_033MA,C27016_034MA,C27016_034EA,C27016_035EA,C27016_035MA,C27016_036EA,C27016_036MA,C27016_037MA,C27016_037EA,C27016_038EA,C27016_038MA,C27016_039MA,C27016_039EA,C27016_040EA,C27016_040MA,C27016_041EA,C27016_041MA,state
0400000US13,9518529,5986,2623614,48661,887262,24826,756604,23104,130658,11806,1524656,28706,753176,20026,771480,22766,211696,8214,207102,7935,4594,1265,1189462,37259,340126,15654,302644,14655,37482,4997,699000,25096,401176,17588,297824,16864,150336,5901,149155,5894,1181,675,2811351,44578,674625,19163,620957,19109,53668,6867,1792697,28636,1391193,26424,401504,15187,344029,10934,340427,10762,3602,1343,2894102,43582,552750,17435,542021,17177,10729,2984,2001326,32326,1845270,29891,156056,11886,340026,10357,338013,10151,2013,1221,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,1313658,2695,229381,13744,69992,6720,67200,6705,2792,1126,129329,7873,100877,6765,28452,3728,30060,2915,29614,2928,446,279,130335,9169,37460,4633,35482,4557,1978,939,72433,4976,59518,4428,12915,2065,20442,2280,20124,2238,318,413,429948,15550,109511,5568,104693,5669,4818,1558,260213,9952,236909,9552,23304,2729,60224,3505,59053,3415,1171,651,523994,15359,82207,5342,80842,5329,1365,680,354233,10012,338480,9478,15753,2752,87554,3706,87049,3778,505,526,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1548284,2957,390000,17073,129527,8715,112737,8335,16790,2973,227132,9980,132549,7800,94583,6797,33341,2436,32988,2438,353,339,235474,15337,70673,6831,60783,6439,9890,2854,131222,9037,81472,6817,49750,4937,33579,2791,33579,2791,0,195,541074,17025,151053,8756,141428,8152,9625,2389,311409,10333,253914,9624,57495,4959,78612,4308,78283,4327,329,269,381736,14847,65649,6641,63694,6672,1955,1109,261569,10551,243983,9725,17586,2817,54518,3490,54518,3490,0,195,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,12558069,4206,2788792,48652,943548,22616,894241,21756,49307,5635,1589722,29187,964419,20463,625303,17877,255522,7217,247722,6763,7800,2116,1334841,32985,366575,14600,349356,14458,17219,2539,749174,18783,487166,13574,262008,11357,219092,7271,216923,7212,2169,973,3762941,50794,889343,22575,854902,21836,34441,4798,2322318,31107,1873350,29791,448968,17633,551280,10658,544487,10611,6793,1627,4671495,45188,855066,18566,844457,18970,10609,1858,3260299,29498,3073819,27494,186480,10193,556130,10166,553341,10209,2789,911,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,6315227,3744,1469824,30953,492053,16666,439528,15544,52525,6403,848689,16881,497943,13110,350746,12047,129082,5539,126608,5303,2474,1264,770080,21264,218294,10195,189591,9617,28703,4235,424455,13906,280567,9995,143888,8638,127331,5011,127176,5050,155,120,2158212,37198,522639,15980,487406,15903,35233,4002,1312542,23745,1091413,20934,221129,10412,323031,7532,322234,7520,797,463,1917111,28646,333364,9860,324165,9876,9199,2295,1343853,21333,1268614,19422,75239,6130,239894,6237,238888,6272,1006,551,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,2962043,1834,578296,16275,180056,8534,165307,8318,14749,3371,329292,9736,231152,7917,98140,5037,68948,3352,68220,3310,728,380,342674,11521,101485,6051,96449,6166,5036,1419,173743,5628,133416,5396,40327,3768,67446,3774,67008,3816,438,374,1035738,16785,257742,7368,248613,7787,9129,2330,610908,11470,541811,11538,69097,4931,167088,4811,166595,4822,493,300,1005335,16103,171212,7225,169288,7153,1924,731,703112,11875,677591,11719,25521,3061,131011,4507,130608,4564,403,326,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,2774483,2650,579078,16718,200541,8510,178317,8228,22224,3060,325622,10328,189643,7836,135979,7365,52915,3161,51940,3172,975,525,345977,14313,103980,6478,96084,5967,7896,1918,189203,8588,131922,6584,57281,5705,52794,3381,52314,3368,480,419,923701,20324,236087,9530,224137,9402,11950,2195,551899,12980,471050,11801,80849,5588,135715,4643,134283,4703,1432,1006,925727,16776,169198,7738,166610,7538,2588,939,634083,11210,605159,10685,28924,3406,122446,4361,122099,4349,347,416,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,4229921,3668,1162295,25010,365924,12725,336329,11875,29595,4574,668938,15041,390918,12700,278020,8705,127433,5474,126272,5473,1161,596,522082,17378,128557,9127,118634,8970,9923,1842,296826,10672,206899,9348,89927,5585,96699,4204,96367,4225,332,265,1343924,27099,300849,11480,283582,11046,17267,3044,838385,17901,700619,15948,137766,7408,204690,5768,204446,5773,244,199,1201620,23562,208728,9818,203895,9546,4833,1457,850335,16029,804169,14962,46166,4300,142557,4492,142252,4453,305,244,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,4434602,3663,1284484,23746,418914,11097,390281,11201,28633,4651,731671,14841,411081,12186,320590,11289,133899,5244,132101,5218,1798,920,527738,19771,137854,8265,128070,7924,9784,2950,301935,12164,187345,8842,114590,7855,87949,4557,87701,4554,248,235,1282404,28148,300883,12130,283874,11346,17009,3448,805447,18943,616382,16648,189065,8680,176074,6149,175545,6139,529,280,1339976,26057,245618,10461,237367,10435,8251,1552,941585,15825,854153,15721,87432,7243,152773,5809,152110,5776,663,397,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,1290123,1970,286666,10333,76443,4755,72590,4779,3853,1007,172310,7154,130684,5389,41626,3980,37913,2630,37826,2642,87,98,159599,8966,36408,3630,33764,3554,2644,1250,88863,5962,65486,4940,23377,3087,34328,2549,34178,2504,150,151,419006,12027,86162,4516,80553,4461,5609,1341,256188,8323,212547,7641,43641,3373,76656,3537,76532,3530,124,115,424852,12008,64045,4464,62425,4394,1620,619,299505,8588,283265,8885,16240,2044,61302,3255,61288,3257,14,24,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
