GEO_ID,C01001G_001E,C01001G_001M,C01001G_002E,C01001G_002M,C01001G_003E,C01001G_003M,C01001G_004E,C01001G_004M,C01001G_005E,C01001G_005M,C01001G_006E,C01001G_006M,C01001G_007E,C01001G_007M,C01001G_008E,C01001G_008M,C01001G_009E,C01001G_009M,NAME,C01001G_001EA,C01001G_001MA,C01001G_002EA,C01001G_002MA,C01001G_003MA,C01001G_003EA,C01001G_004MA,C01001G_004EA,C01001G_005EA,C01001G_005MA,C01001G_006EA,C01001G_006MA,C01001G_007EA,C01001G_007MA,C01001G_008MA,C01001G_008EA,C01001G_009MA,C01001G_009EA,state
0400000US01,64450,5189,31224,2939,14286,2147,15145,1988,1793,650,33226,3733,14791,2212,16296,2148,2139,696,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,60229,4733,29038,2677,16162,1882,12463,1502,413,162,31191,3022,15895,1758,14707,2038,589,323,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,194293,11560,98350,7341,48655,5009,45236,4275,4459,1037,95943,7245,47690,4997,45322,4737,2931,846,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,57229,5642,28718,3696,12635,2433,14357,2281,1726,488,28511,3287,12956,2063,12778,2054,2777,782,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1594007,33877,804230,20548,356398,11723,413751,14951,34081,2811,789777,19090,344661,11512,403600,12443,41516,2871,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,172773,9552,87444,5435,42205,3786,42663,3598,2576,749,85329,6295,38673,4370,42545,3361,4111,867,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,88584,5802,45048,3816,21894,2656,21159,2489,1995,755,43536,3316,18265,2020,22626,2435,2645,698,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,24128,3358,11752,2149,6899,1709,4441,1174,412,327,12376,1767,6448,1475,5531,1136,397,275,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,12760,1744,5842,1170,1723,489,3778,1010,341,234,6918,1296,2054,625,4421,977,443,210,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,423481,20163,211607,12020,97590,8073,102586,6614,11431,1936,211874,12171,95354,7198,103486,6878,13034,2059,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,190234,12372,95339,8034,54775,6346,38566,4117,1998,739,94895,6999,46462,5300,44497,3750,3936,1060,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,331552,13187,167217,7101,65448,3926,92581,4635,9188,1352,164335,7595,62071,4092,91863,4700,10401,1205,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,39460,4126,20538,2914,9327,1773,9862,2145,1349,679,18922,2399,9308,2012,8487,1211,1127,598,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,263559,12405,131018,7791,63896,4836,63124,5119,3998,1163,132541,6762,65541,4644,59838,4437,7162,1093,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,142369,7286,71389,4683,38424,3924,31297,2642,1668,549,70980,4656,37966,3420,29946,3054,3068,762,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,60888,4827,30172,2944,17743,2066,12112,1775,317,197,30716,3015,17947,2433,12029,1751,740,267,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,96539,6414,47745,3844,25594,2750,20661,2477,1490,470,48794,3788,24492,2858,21832,2318,2470,658,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,80247,6532,37436,3850,21977,2593,14256,2268,1203,560,42811,4219,24824,3569,16691,2095,1296,506,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,77661,6414,38308,4330,20816,3512,15635,2046,1857,526,39353,3942,16300,2868,20226,2354,2827,739,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,25067,2640,14888,1799,8270,1419,5725,1107,893,476,10179,1640,4872,991,4710,903,597,343,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,151945,8308,77186,4820,38027,3537,36890,3513,2269,641,74759,5213,37826,3733,32963,2849,3970,960,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,168058,11199,84945,6711,36147,3468,45429,4835,3369,828,83113,6261,31738,3219,46497,4360,4878,926,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,252831,9915,125427,5517,63482,4147,56822,3690,5123,833,127404,6137,62943,4211,58211,3384,6250,1068,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,134971,8828,69082,4951,40523,3892,26474,2641,2085,572,65889,5108,35107,3230,28152,2720,2630,695,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,34342,4658,16970,2753,9742,2230,6555,1454,673,387,17372,2827,10078,2273,5966,1307,1328,560,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,145134,7914,71505,4412,36224,3190,32595,3041,2686,671,73629,5860,34671,3805,34671,3162,4287,954,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,24125,2788,11060,1827,4632,1129,5836,1245,592,310,13065,1944,6781,1317,5706,1215,578,282,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,40375,3846,18853,2253,11235,1300,6960,1568,658,309,21522,2490,12372,2037,8329,1293,821,495,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,105845,10551,49475,5328,23697,3856,23996,3099,1782,536,56370,6957,26036,4488,28095,3834,2239,574,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,22642,2360,10951,1781,5614,1402,4393,966,944,358,11691,1692,5208,1056,5632,976,851,483,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,216816,12912,103590,7639,46429,4496,53127,4644,4034,855,113226,7034,47065,3810,60328,4568,5833,1052,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
