GEO_ID,C05003I_001E,C05003I_001M,C05003I_002E,C05003I_002M,C05003I_003E,C05003I_003M,C05003I_004E,C05003I_004M,C05003I_005E,C05003I_005M,C05003I_006E,C05003I_006M,C05003I_007E,C05003I_007M,C05003I_008E,C05003I_008M,C05003I_009E,C05003I_009M,C05003I_010E,C05003I_010M,C05003I_011E,C05003I_011M,C05003I_012E,C05003I_012M,C05003I_013E,C05003I_013M,C05003I_014E,C05003I_014M,C05003I_015E,C05003I_015M,NAME,C05003I_001EA,C05003I_001MA,C05003I_002EA,C05003I_002MA,C05003I_003MA,C05003I_003EA,C05003I_004MA,C05003I_004EA,C05003I_005EA,C05003I_005MA,C05003I_006EA,C05003I_006MA,C05003I_007EA,C05003I_007MA,C05003I_008MA,C05003I_008EA,C05003I_009MA,C05003I_009EA,C05003I_010MA,C05003I_010EA,C05003I_011EA,C05003I_011MA,C05003I_012EA,C05003I_012MA,C05003I_013EA,C05003I_013MA,C05003I_014EA,C05003I_014MA,C05003I_015MA,C05003I_015EA,state
0400000US01,186204,1731,98446,3800,31157,2347,27722,2398,3435,846,67289,2940,21016,2905,46273,3247,87758,4022,36137,2818,31437,3149,4700,1667,51621,2766,20832,3081,30789,2621,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,41627,180,21142,692,7840,532,7784,543,56,69,13302,363,9699,1058,3603,1027,20485,731,7109,543,7109,543,0,149,13376,373,9202,990,4174,919,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1949295,-555555555,981331,1972,359668,1840,336887,4353,22781,3996,621663,426,365000,7850,256663,7946,967964,1973,346905,1842,326553,4271,20352,3680,621059,424,361717,9078,259342,9083,Arizona,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,190047,1436,102130,2581,39776,2204,34530,2241,5246,1926,62354,1626,23113,2827,39241,2679,87917,2511,36301,2172,30873,2484,5428,1404,51616,1306,19703,2214,31913,1964,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,14359500,-555555555,7260720,1874,2443012,1607,2293280,7253,149732,7048,4817708,1220,2257260,23495,2560448,23323,7098780,1876,2343835,1562,2202494,8458,141341,8169,4754945,1105,2254853,19905,2500092,19995,California,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1070559,-555555555,547604,2272,195727,1816,182637,3141,13090,2511,351877,1445,217090,6032,134787,6419,522955,2272,185448,2000,173776,3052,11672,1973,337507,878,225059,5276,112448,5273,Colorado,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,494289,-555555555,247104,1191,83173,993,76968,1967,6205,1690,163931,514,99747,4087,64184,4058,247185,1191,79171,991,75202,1539,3969,1174,168014,513,114327,3421,53687,3359,Connecticut,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,76153,-555555555,38919,578,13766,488,12895,678,871,493,25153,278,11431,1727,13722,1728,37234,578,14235,488,13869,536,366,274,22999,278,12709,1339,10290,1274,Delaware,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,58744,-555555555,30670,279,7269,279,6357,734,912,613,23401,-555555555,8118,1605,15283,1605,28074,279,6198,279,5497,508,701,528,21876,-555555555,7952,1194,13924,1195,District of Columbia,null,*****,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,11
0400000US12,4355051,568,2156099,4754,574194,3238,511859,5294,62335,5045,1581905,3125,617555,15235,964350,15251,2198952,4751,546413,3334,486821,5369,59592,4289,1652539,2782,629135,13916,1023404,14197,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,880067,3229,475085,4597,168278,3684,151215,4371,17063,2806,306807,3625,88119,6777,218688,6816,404982,4008,155330,3473,140234,4291,15096,2989,249652,2962,87155,6729,162497,6040,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,126419,-555555555,64309,575,23598,575,23522,578,76,87,40711,-555555555,35446,1426,5265,1427,62110,575,22589,575,22383,646,206,234,39521,-555555555,34764,1093,4757,1093,Hawaii,null,*****,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,15
0400000US16,181740,468,95509,1657,38860,1356,36574,1700,2286,1154,56649,662,28411,2331,28238,2387,86231,1732,35165,1394,33030,1733,2135,797,51066,705,28165,2017,22901,1931,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,2077030,1761,1069568,2561,372708,2095,344013,3654,28695,3077,696860,1713,283701,7617,413159,7429,1007462,2643,359295,1947,334076,3708,25219,3264,648167,1825,288357,6766,359810,6649,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,399486,1944,206660,2913,77068,2022,69905,2197,7163,1268,129592,2557,59518,3361,70074,3565,192826,2926,80821,2573,74326,2845,6495,1688,112005,1982,55352,2692,56653,2889,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,153241,926,79947,2031,32519,1464,29999,1479,2520,797,47428,1170,20892,1668,26536,1851,73294,1797,30765,1572,28334,1793,2431,886,42529,931,21455,1803,21074,1607,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,306806,1269,158797,1759,63155,1549,56239,1860,6916,1384,95642,996,44189,2877,51453,2950,148009,1926,60262,1560,56142,2083,4120,1264,87747,1142,44937,2955,42810,2789,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,131508,2386,70654,2442,26381,1818,23185,1904,3196,1048,44273,1594,17062,2115,27211,1946,60854,2097,25216,1606,22925,1823,2291,775,35638,1520,16090,2059,19548,1812,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,197866,1605,107890,2237,28671,1498,25987,1731,2684,1006,79219,1807,31368,2825,47851,3054,89976,1928,27200,1495,24153,1735,3047,1136,62776,1233,29113,2895,33663,2673,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,17813,614,8161,902,3378,481,3066,475,312,295,4783,772,3420,804,1363,625,9652,915,3294,556,3187,587,107,143,6358,703,4741,761,1617,514,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,489505,374,253327,1811,78259,1291,69550,2322,8709,1816,175068,1120,47958,3856,127110,3890,236178,1843,77640,1487,69094,2386,8546,2117,158538,966,48923,3797,109615,3916,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
