GEO_ID,B14004_001E,B14004_001M,B14004_002E,B14004_002M,B14004_003E,B14004_003M,B14004_004E,B14004_004M,B14004_005E,B14004_005M,B14004_006E,B14004_006M,B14004_007E,B14004_007M,B14004_008E,B14004_008M,B14004_009E,B14004_009M,B14004_010E,B14004_010M,B14004_011E,B14004_011M,B14004_012E,B14004_012M,B14004_013E,B14004_013M,B14004_014E,B14004_014M,B14004_015E,B14004_015M,B14004_016E,B14004_016M,B14004_017E,B14004_017M,B14004_018E,B14004_018M,B14004_019E,B14004_019M,B14004_020E,B14004_020M,B14004_021E,B14004_021M,B14004_022E,B14004_022M,B14004_023E,B14004_023M,B14004_024E,B14004_024M,B14004_025E,B14004_025M,B14004_026E,B14004_026M,B14004_027E,B14004_027M,B14004_028E,B14004_028M,B14004_029E,B14004_029M,B14004_030E,B14004_030M,B14004_031E,B14004_031M,B14004_032E,B14004_032M,B14004_033E,B14004_033M,NAME,B14004_001EA,B14004_001MA,B14004_002EA,B14004_002MA,B14004_003EA,B14004_003MA,B14004_004EA,B14004_004MA,B14004_005MA,B14004_005EA,B14004_006MA,B14004_006EA,B14004_007EA,B14004_007MA,B14004_008EA,B14004_008MA,B14004_009EA,B14004_009MA,B14004_010MA,B14004_010EA,B14004_011MA,B14004_011EA,B14004_012EA,B14004_012MA,B14004_013EA,B14004_013MA,B14004_014EA,B14004_014MA,B14004_015EA,B14004_015MA,B14004_016MA,B14004_016EA,B14004_017MA,B14004_017EA,B14004_018EA,B14004_018MA,B14004_019EA,B14004_019MA,B14004_020EA,B14004_020MA,B14004_021MA,B14004_021EA,B14004_022MA,B14004_022EA,B14004_023MA,B14004_023EA,B14004_024EA,B14004_024MA,B14004_025EA,B14004_025MA,B14004_026EA,B14004_026MA,B14004_027MA,B14004_027EA,B14004_028MA,B14004_028EA,B14004_029EA,B14004_029MA,B14004_030EA,B14004_030MA,B14004_031EA,B14004_031MA,B14004_032MA,B14004_032EA,B14004_033EA,B14004_033MA,state
0400000US01,3874758,2952,1854464,4086,115946,5167,498,287,76535,4063,24508,3234,14405,1715,24618,3239,0,190,12564,2362,6270,1640,5784,1432,1713900,6813,100343,1924,155632,4664,267539,4336,1190386,4539,2020294,3850,165459,6439,572,399,95380,3971,38514,3561,30993,3008,30578,3396,16,29,16208,2523,7124,1453,7230,1319,1824257,7409,94977,2345,128955,4899,265656,4701,1334669,4894,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,565162,1193,292160,1117,17037,2161,0,149,8059,1523,5609,1278,3369,900,4649,1481,104,174,1845,852,703,388,1997,769,270474,2587,14907,813,33034,1733,49311,1883,173222,1971,273002,1288,24085,2430,71,73,10084,1486,4757,1149,9173,1497,5298,1281,0,149,1556,570,1767,704,1975,680,243619,2887,15585,881,23055,1634,44132,1722,160847,2199,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5129409,1939,2534739,2671,185421,9775,2065,1136,101709,7266,50692,4871,30955,4096,38000,4255,37,70,11383,2400,14977,2724,11603,2376,2311318,10855,135813,2119,224010,7506,378591,6672,1572904,5254,2594670,2858,225429,9958,1011,551,118513,6988,56097,4540,49808,5075,45935,4422,196,191,12218,2264,15396,2588,18125,2748,2323306,10515,131806,1806,179425,6842,350962,5610,1661113,6299,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2342376,2165,1141046,2892,69194,4360,497,354,42784,3256,16031,1902,9882,1644,14674,2759,36,57,7354,1630,3187,995,4097,1840,1057178,5129,60456,2215,94115,3844,172003,4083,730604,4116,1201330,2676,91084,4605,253,189,48338,3607,22925,2590,19568,2234,17554,2362,185,153,9063,1797,4129,1495,4177,1138,1092692,5119,54156,1729,81712,3493,164239,4206,792585,3232,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,30062390,3289,14850044,3947,1154191,18255,10745,2056,732934,14348,252535,9266,157977,6821,287821,8763,1552,703,121391,5656,91889,5634,72989,4319,13408032,20572,831418,3359,1214077,13277,2423727,12355,8938810,9499,15212346,3543,1357022,17632,12767,1736,797328,13829,291379,8931,255548,8763,361833,10714,2016,644,151775,6567,106861,6152,101181,5852,13493491,19684,779416,3089,963099,12250,2238095,12053,9512881,11963,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4087156,2841,2040728,3671,147350,6209,728,424,82642,4340,40300,3763,23680,2762,35678,3738,50,62,12838,2254,10191,1968,12599,2216,1857700,8198,102440,2269,166184,5099,332866,4680,1256210,4958,2046428,2836,174755,6187,845,413,90370,4136,44401,3941,39139,3314,44886,3122,102,145,15783,2163,13166,2253,15835,1925,1826787,6673,94772,2051,133092,4453,304027,4223,1294896,4148,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2925822,761,1408200,1630,71719,4394,694,378,49710,3475,11848,1778,9467,1519,40862,2973,41,69,23747,2162,9754,1899,7320,1362,1295619,5029,74982,1027,97457,3612,193232,3011,929948,2280,1517622,1398,92876,4363,553,352,54574,3358,19586,2061,18163,2062,55463,3703,552,335,29835,2612,12806,1750,12270,1659,1369283,5350,71911,838,77363,3086,180904,2773,1039105,2869,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,737847,647,353526,1069,21474,2218,13,29,14342,1674,4334,1377,2785,889,7389,1514,75,100,3619,1116,2373,798,1322,469,324663,2824,18103,729,27842,1901,49342,1523,229376,1392,384321,846,32054,3227,30,69,19638,2267,6348,1323,6038,1513,10292,1709,0,192,4521,1439,2299,786,3472,913,341975,3208,17116,765,21428,1993,49501,1666,253930,1785,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,529068,414,247251,470,8361,1635,29,67,3798,1108,2577,825,1957,866,23408,2519,0,200,14202,1856,7383,1578,1823,922,215482,2497,8506,325,20051,1861,52505,1653,134420,1231,281817,454,12942,1734,0,200,4532,935,4827,1356,3583,802,31182,2634,130,140,21573,1973,7168,1522,2311,723,237693,3379,7887,430,20099,2034,58805,2087,150902,1088,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,15770265,5407,7641196,6279,472311,15664,4219,1353,283711,12068,115308,6482,69073,5352,151945,7107,1103,510,66236,5085,40513,4559,44093,3999,7016940,19116,360024,3940,574347,12244,1017908,10470,5064661,7976,8129069,6671,589496,14147,3162,1070,340232,10116,135181,7515,110921,6863,205097,10762,986,604,82559,6140,56037,5358,65515,4747,7334476,18817,338179,4624,447926,10572,963335,9712,5585036,10750,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
