GEO_ID,C05009_001E,C05009_001M,C05009_002E,C05009_002M,C05009_003E,C05009_003M,C05009_004E,C05009_004M,C05009_005E,C05009_005M,C05009_006E,C05009_006M,C05009_007E,C05009_007M,C05009_008E,C05009_008M,C05009_009E,C05009_009M,C05009_010E,C05009_010M,C05009_011E,C05009_011M,C05009_012E,C05009_012M,C05009_013E,C05009_013M,C05009_014E,C05009_014M,C05009_015E,C05009_015M,NAME,C05009_001EA,C05009_001MA,C05009_002EA,C05009_002MA,C05009_003EA,C05009_003MA,C05009_004MA,C05009_004EA,C05009_005MA,C05009_005EA,C05009_006EA,C05009_006MA,C05009_007EA,C05009_007MA,C05009_008EA,C05009_008MA,C05009_009MA,C05009_009EA,C05009_010MA,C05009_010EA,C05009_011EA,C05009_011MA,C05009_012EA,C05009_012MA,C05009_013EA,C05009_013MA,C05009_014EA,C05009_014MA,C05009_015MA,C05009_015EA,state
0400000US01,1058901,5317,344333,5693,342732,5772,1601,684,316143,5702,28190,2924,26896,2761,1294,623,714568,6822,701415,6791,13153,2236,669009,6844,45559,3623,34371,3509,11188,2346,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,181091,1362,62859,1415,62642,1405,217,146,56832,1680,6027,1318,5834,1293,193,131,118232,1681,113666,2389,4566,1689,104307,2811,13925,2278,10130,1788,3795,1609,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1542548,7629,520440,7523,513346,8147,7094,1822,383605,10908,136835,8541,130513,8572,6322,1733,1022108,9782,967526,10767,54582,5995,728912,13359,293196,10514,242610,10184,50586,5853,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,666051,4356,223235,4394,221288,4335,1947,919,195290,4647,27945,2572,26323,2718,1622,871,442816,4851,430350,5555,12466,2500,395850,5335,46966,3636,35477,4073,11489,2423,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8830346,13244,2943221,15683,2887055,16329,56166,4580,1564796,20283,1378425,17276,1326857,18064,51568,4310,5887125,15919,5465753,23173,421372,15424,2884091,28545,3003034,29676,2593757,31143,409277,15447,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1179069,4921,398085,4782,391989,4941,6096,1546,312346,7762,85739,5724,80748,5630,4991,1306,780984,5714,746084,6674,34900,3566,615167,8626,165817,7632,137020,7464,28797,3307,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,778282,2829,231588,3000,227275,3326,4313,1367,171968,4520,59620,4283,55794,3946,3826,1319,546694,3280,520447,4184,26247,2960,424896,7025,121798,6350,99044,5822,22754,2967,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,191327,2500,62436,2193,61787,2187,649,387,49058,2420,13378,2299,12823,2275,555,366,128891,2472,125627,2738,3264,1295,109523,3524,19368,2763,16576,2458,2792,1243,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,99355,1866,41391,1271,40381,1360,1010,600,31435,2032,9956,1895,9247,1857,709,512,57964,1973,55414,2188,2550,941,46099,2025,11865,1335,9780,1371,2085,875,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3791541,11485,1247835,11464,1230882,12415,16953,3245,850279,16896,397556,13432,382704,13785,14852,3221,2543706,14051,2366855,17283,176851,8810,1732139,18761,811567,16029,644279,17310,167288,8633,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2343697,10873,783790,10731,774142,10618,9648,1989,616068,11704,167722,9135,159769,9022,7953,1666,1559907,12921,1502396,12911,57511,5586,1273237,15423,286670,12283,234543,11925,52127,5054,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
