GEO_ID,C24010A_001E,C24010A_001M,C24010A_002E,C24010A_002M,C24010A_003E,C24010A_003M,C24010A_004E,C24010A_004M,C24010A_005E,C24010A_005M,C24010A_006E,C24010A_006M,C24010A_007E,C24010A_007M,C24010A_008E,C24010A_008M,C24010A_009E,C24010A_009M,C24010A_010E,C24010A_010M,C24010A_011E,C24010A_011M,C24010A_012E,C24010A_012M,C24010A_013E,C24010A_013M,NAME,C24010A_001EA,C24010A_001MA,C24010A_002MA,C24010A_002EA,C24010A_003MA,C24010A_003EA,C24010A_004EA,C24010A_004MA,C24010A_005EA,C24010A_005MA,C24010A_006EA,C24010A_006MA,C24010A_007EA,C24010A_007MA,C24010A_008MA,C24010A_008EA,C24010A_009MA,C24010A_009EA,C24010A_010EA,C24010A_010MA,C24010A_011EA,C24010A_011MA,C24010A_012EA,C24010A_012MA,C24010A_013MA,C24010A_013EA,state
0400000US01,1435251,15886,775585,10130,250201,7255,93686,5084,119632,4802,155805,7238,156261,7007,659666,10276,266574,7590,111047,5981,239160,6995,5857,1354,37028,2817,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,249866,4752,135786,2593,48124,3471,18230,2726,17665,2048,31660,3047,20107,2605,114080,3738,50545,2578,18918,2233,38297,3253,1680,606,4640,1302,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2196426,22468,1167717,16178,388966,11114,203693,10315,230319,9084,186076,9817,158663,7755,1028709,14079,396375,11889,216570,10392,361741,10286,8445,1486,45578,4867,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1001042,12307,536006,7567,150855,6228,62517,4506,92749,4558,108117,4883,121768,5942,465036,7610,179169,6740,92140,4246,157448,5877,5835,1450,30444,2807,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,10551360,40971,5741384,27154,2065918,22732,861589,18215,1027250,19150,964925,20211,821702,16640,4809976,28123,1989173,21886,956658,16774,1558189,16776,70020,4221,235936,8350,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2166295,12491,1153789,8505,459385,9656,149524,6708,203546,8568,193381,6892,147953,6991,1012506,9418,444670,9784,197131,6832,322548,8805,8858,1925,39299,3806,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1401313,11482,719800,7673,290965,7427,88245,4773,136356,5794,105915,4905,98319,5372,681513,7782,318309,8664,123487,4829,208945,7408,3881,992,26891,2542,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,308407,5632,161196,3368,55832,2915,22588,2597,26850,2221,30120,2522,25806,2550,147211,3767,65303,3414,28579,2593,46818,3049,1307,539,5204,1026,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,161292,3415,84163,2539,65135,2652,7866,1984,7702,1654,2819,1378,641,306,77129,2325,60257,2348,5585,1176,11072,1327,21,35,194,205,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,6300734,33723,3303918,22374,1049026,18123,580790,17800,692224,16441,564780,16491,417098,12126,2996816,22233,1138863,19492,625823,16269,1092709,20764,24780,3594,114641,7220,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2684809,24011,1464894,14522,512589,10723,180022,9950,270496,9970,270278,12236,231509,8440,1219915,15588,523370,10448,209857,8362,405725,12048,14068,2263,66895,3879,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,158543,4249,88876,3315,35924,3161,15016,2160,13023,1916,16320,2183,8593,1678,69667,2784,33963,2784,13788,1923,19533,2256,690,417,1693,589,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,642142,10031,343216,6577,114104,6081,41139,3543,54277,3538,72839,4661,60857,4637,298926,6494,105739,4895,67015,3741,104200,5132,4813,1183,17159,2296,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,4545394,21703,2389499,14724,828211,13276,310250,8921,435012,12032,352148,10150,463878,11706,2155895,13673,886781,11354,411382,10769,723670,12053,15216,2200,118846,6211,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,2567014,15095,1351307,10552,390447,8608,168627,6560,222554,7410,224133,6638,345546,8650,1215707,9078,451718,10897,249991,7148,399982,7187,8359,1610,105657,5219,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,1438612,8460,748675,5962,231134,5891,83993,3840,128029,5883,134301,4764,171218,5739,689937,5985,262668,6721,151942,4854,223470,5344,6858,996,44999,3068,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,1219110,9069,637314,5746,217432,7100,75519,3867,105707,4895,118781,5252,119875,5533,581796,7188,241477,6196,116030,4513,187689,6829,5653,1087,30947,2487,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,1646573,12874,858989,8727,243349,7023,113149,5817,142700,5608,159489,5729,200302,6968,787584,9017,306693,6309,154420,5158,259784,6934,6764,1235,59923,4008,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1330228,12883,729146,8363,221665,6079,88808,4484,118397,5062,174786,6611,125490,6823,601082,8954,251668,7402,105926,5200,218304,8072,6266,1446,18918,2642,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
