B08501_049E,B08501_049M,B08501_050E,B08501_050M,B08501_051E,B08501_051M,B08501_052E,B08501_052M,B08501_053E,B08501_053M,B08501_054E,B08501_054M,B08501_055E,B08501_055M,B08501_056E,B08501_056M,GEO_ID,B08501_001E,B08501_001M,B08501_002E,B08501_002M,B08501_003E,B08501_003M,B08501_004E,B08501_004M,B08501_005E,B08501_005M,B08501_006E,B08501_006M,B08501_007E,B08501_007M,B08501_008E,B08501_008M,B08501_009E,B08501_009M,B08501_010E,B08501_010M,B08501_011E,B08501_011M,B08501_012E,B08501_012M,B08501_013E,B08501_013M,B08501_014E,B08501_014M,B08501_015E,B08501_015M,B08501_016E,B08501_016M,B08501_017E,B08501_017M,B08501_018E,B08501_018M,B08501_019E,B08501_019M,B08501_020E,B08501_020M,B08501_021E,B08501_021M,B08501_022E,B08501_022M,B08501_023E,B08501_023M,B08501_024E,B08501_024M,B08501_025E,B08501_025M,B08501_026E,B08501_026M,B08501_027E,B08501_027M,B08501_028E,B08501_028M,B08501_029E,B08501_029M,B08501_030E,B08501_030M,B08501_031E,B08501_031M,B08501_032E,B08501_032M,B08501_033E,B08501_033M,B08501_034E,B08501_034M,B08501_035E,B08501_035M,B08501_036E,B08501_036M,B08501_037E,B08501_037M,B08501_038E,B08501_038M,B08501_039E,B08501_039M,B08501_040E,B08501_040M,B08501_041E,B08501_041M,B08501_042E,B08501_042M,B08501_043E,B08501_043M,B08501_044E,B08501_044M,B08501_045E,B08501_045M,B08501_046E,B08501_046M,B08501_047E,B08501_047M,B08501_048E,B08501_048M,B08501_049EA,B08501_049MA,B08501_050EA,B08501_050MA,B08501_051MA,B08501_051EA,B08501_052MA,B08501_052EA,B08501_053MA,B08501_053EA,B08501_054EA,B08501_054MA,B08501_055EA,B08501_055MA,B08501_056MA,B08501_056EA,NAME,B08501_001MA,B08501_001EA,B08501_002MA,B08501_002EA,B08501_003MA,B08501_003EA,B08501_004EA,B08501_004MA,B08501_005EA,B08501_005MA,B08501_006EA,B08501_006MA,B08501_007MA,B08501_007EA,B08501_008MA,B08501_008EA,B08501_009EA,B08501_009MA,B08501_010EA,B08501_010MA,B08501_011EA,B08501_011MA,B08501_012MA,B08501_012EA,B08501_013MA,B08501_013EA,B08501_014MA,B08501_014EA,B08501_015EA,B08501_015MA,B08501_016EA,B08501_016MA,B08501_017EA,B08501_017MA,B08501_018MA,B08501_018EA,B08501_019MA,B08501_019EA,B08501_020EA,B08501_020MA,B08501_021EA,B08501_021MA,B08501_022EA,B08501_022MA,B08501_023MA,B08501_023EA,B08501_024MA,B08501_024EA,B08501_025EA,B08501_025MA,B08501_026EA,B08501_026MA,B08501_027EA,B08501_027MA,B08501_028EA,B08501_028MA,B08501_029MA,B08501_029EA,B08501_030MA,B08501_030EA,B08501_031EA,B08501_031MA,B08501_032EA,B08501_032MA,B08501_033EA,B08501_033MA,B08501_034EA,B08501_034MA,B08501_035EA,B08501_035MA,B08501_036EA,B08501_036MA,B08501_037EA,B08501_037MA,B08501_038EA,B08501_038MA,B08501_039EA,B08501_039MA,B08501_040MA,B08501_040EA,B08501_041MA,B08501_041EA,B08501_042EA,B08501_042MA,B08501_043EA,B08501_043MA,B08501_044EA,B08501_044MA,B08501_045EA,B08501_045MA,B08501_046MA,B08501_046EA,B08501_047MA,B08501_047EA,B08501_048EA,B08501_048MA,state
51126,4304,665,418,2494,715,19131,2905,12606,2112,5408,1034,5739,1183,5083,962,0400000US01,1914756,17722,57180,3734,188833,5675,827597,9875,448198,6835,181062,6365,123676,5723,88210,3873,1626125,16768,45057,3137,155635,5690,698098,10636,387897,6462,158298,5854,106602,5202,74538,3756,188241,9426,7608,1492,22207,2399,91299,6426,38190,3549,13800,1736,9375,1536,5762,1261,8782,1424,529,319,1692,654,3334,889,1737,611,906,498,129,127,455,289,20821,2668,2429,541,4058,973,7474,1825,3458,939,1187,437,945,363,1270,642,19661,2491,892,464,2747,1090,8261,1547,4310,1185,1463,722,886,460,1102,521,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
16875,2033,496,385,1632,676,5789,1312,3287,748,1944,676,2071,630,1656,641,0400000US02,355925,6110,12668,1431,41336,2302,151893,3666,81567,3044,35766,2946,20913,1864,11782,1318,239776,6215,6574,1102,26137,2532,104167,4548,56229,3284,24880,2711,14475,1636,7314,1056,43590,3508,3205,1009,6081,1310,19689,2767,8655,1592,3399,887,1419,520,1142,477,6061,1575,380,289,1160,679,2588,834,886,587,733,390,234,207,80,88,27655,2070,1411,348,3790,698,10146,1532,7269,1297,2392,689,1738,504,909,373,21968,1876,602,271,2536,543,9514,1360,5241,831,2418,767,976,357,681,292,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
145782,8522,3557,1183,6850,1628,52395,5465,36080,3256,18194,2520,14890,2516,13816,2404,0400000US04,2623436,18031,89842,5957,267145,7351,1174862,10982,575848,8290,239467,7962,166090,7137,110182,5945,1991552,20267,56427,5202,194161,7711,902035,13635,439694,8470,183649,6803,132519,5995,83067,4718,303211,12323,16349,3453,35823,3390,141959,8870,66773,4906,22190,2743,12115,1910,8002,1409,52302,4776,2627,1146,8632,2038,23837,3018,9019,1652,4891,982,1931,614,1365,810,58610,6476,7512,2149,11630,2470,21341,3359,9426,1999,4132,1332,2484,771,2085,761,71979,5728,3370,1272,10049,2276,33295,4291,14856,2155,6411,1486,2151,720,1847,671,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
40569,3617,1142,550,1914,666,16136,2564,10020,1646,5019,1173,2660,734,3678,862,0400000US05,1214826,11798,39404,3277,126040,4803,526928,7775,271477,6000,117433,4359,75756,3649,57788,3051,1005949,12850,28221,2906,101981,5079,437087,8682,227139,6354,97901,4310,65618,3126,48002,2962,124777,6639,5616,1279,15536,2595,57170,5083,26210,2761,11599,2060,4263,733,4383,1010,5346,1194,109,148,642,418,2522,967,996,400,590,426,122,134,365,258,21936,2456,3736,897,4051,1001,6454,1812,3767,989,1340,532,1660,756,928,413,16249,2462,580,303,1916,1004,7559,1702,3345,882,984,519,1433,806,432,232,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
857352,17561,14723,1983,42590,3928,313632,11397,225959,8017,100965,5009,77758,4425,81725,4764,0400000US06,16042489,40016,403742,9438,1604889,14366,7400661,26045,3648003,19690,1421455,16197,935451,15685,628288,11382,11759523,45850,244399,7849,1112325,13673,5455347,32590,2737921,22658,1067218,15912,697058,14852,445255,9950,1781154,26616,64732,4045,203233,8697,861809,19516,386404,10842,136003,5287,81435,4820,47538,3578,825845,15872,29212,2680,108217,6173,401448,12683,155406,6834,60047,3906,42773,2994,28742,2894,443040,12873,34866,3388,80513,5072,187168,10468,72327,3766,29129,2709,21843,2297,17194,1874,375575,11879,15810,2184,58011,4401,181257,8797,69986,4266,28093,2904,14584,1821,7834,1178,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
154954,7327,2110,693,4386,1304,57059,4550,41092,4030,21506,2754,15483,2267,13318,1845,0400000US08,2462381,12823,83037,4583,242291,6190,1103818,9813,549173,7049,238871,6972,149625,6217,95566,4523,1862725,13933,52027,3581,171464,6704,842920,10795,424662,7347,186293,6445,115097,4819,70262,3976,238625,8207,12894,2346,29499,3591,119130,6121,47660,3895,15105,1793,8907,1837,5430,1159,76857,4987,4840,1326,11498,1903,32863,3002,15155,1941,6336,1522,3758,836,2407,915,71869,4964,9146,1575,16682,2190,23867,2939,9860,1535,5493,1215,3707,935,3114,1030,57351,4675,2020,605,8762,2009,27979,3294,10744,1473,4138,1089,2673,674,1035,397,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
72435,4059,1739,662,3292,858,19989,2238,23648,2230,8184,1270,7674,1515,7909,1113,0400000US09,1710953,13550,62381,3952,140959,4188,677343,9124,441365,5181,175176,5039,121389,4544,92340,3456,1352837,13807,35867,3196,101119,4195,533885,9590,360900,5896,144590,5100,102057,4202,74419,3297,151893,8209,12516,1737,15190,2804,65457,5062,33875,2628,12999,1715,7146,1296,4710,943,59778,4949,3035,731,7026,1576,29218,3391,11343,1853,4986,1169,1930,653,2240,741,51759,4224,7380,1367,12152,1695,17984,2586,7826,1293,2383,718,1467,594,2567,820,22251,3257,1844,777,2180,835,10810,2053,3773,1004,2034,845,1115,427,495,281,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
15023,1984,69,82,576,387,5738,1147,3650,978,1316,436,1684,712,1990,712,0400000US10,407733,7229,11967,1398,40002,2539,168414,5117,98914,3491,39198,2771,27374,2616,21864,1807,333736,8376,8539,1384,31153,2579,135312,5274,84555,3502,32915,2426,23553,2578,17709,1737,36345,3475,2351,726,4728,1106,17476,2544,6414,1313,2361,833,1382,652,1633,492,10449,2026,190,235,1387,655,5333,1453,2183,1055,924,424,309,179,123,139,8687,1755,427,282,1548,569,3375,1358,1337,711,1475,678,265,165,260,226,3493,951,391,358,610,560,1180,401,775,416,207,199,181,124,149,146,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
14700,2159,206,189,1185,671,6489,1451,2846,773,1724,777,1445,536,805,335,0400000US11,805581,14168,7373,1362,51573,4067,393132,10667,189557,7870,77889,4458,53254,3144,32803,2495,345873,10435,1431,568,15222,2736,159147,7640,92728,5866,35309,3559,25484,2016,16552,1675,80499,5357,581,491,2990,927,39242,3428,20716,2814,8959,1722,5552,1422,2459,593,306244,10741,3804,1136,24504,2619,155510,7645,64153,4772,28759,3161,18615,2028,10899,1374,37409,3153,1001,559,6184,1402,21933,2596,4163,1114,1408,465,1688,611,1032,467,20856,2345,350,570,1488,650,10811,1624,4951,1142,1730,763,470,295,1056,553,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
368113,13214,5797,1242,17871,2266,131651,7855,96098,6792,43130,4453,34822,3150,38744,3390,0400000US12,7951248,35473,217309,8160,734506,12319,3378597,19154,1908447,16742,766438,15973,539364,10831,406587,9221,6346735,39773,148234,7734,557115,12489,2698830,21439,1549703,16210,634705,14698,440126,9590,318022,8466,789125,21924,35763,4898,89916,6800,362661,15114,172289,9623,56771,5066,42413,3672,29312,3628,166437,9668,6995,1612,25797,4726,72974,6242,33334,4231,12286,2199,8639,1722,6412,1298,120196,7428,13453,2508,21321,3074,41409,4743,23050,3225,7776,1440,6109,1437,7078,1723,160642,8144,7067,1884,22486,3277,71072,6162,33973,3746,11770,2076,7255,1429,7019,1528,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
