GEO_ID,B19081_001E,B19081_001M,B19081_002E,B19081_002M,B19081_003E,B19081_003M,B19081_004E,B19081_004M,B19081_005E,B19081_005M,B19081_006E,B19081_006M,NAME,B19081_001EA,B19081_001MA,B19081_002EA,B19081_002MA,B19081_003EA,B19081_003MA,B19081_004EA,B19081_004MA,B19081_005EA,B19081_005MA,B19081_006EA,B19081_006MA,state
0400000US01,9122,224,23818,396,41605,636,67148,806,144348,2555,249113,8302,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,17365,850,42895,1564,68144,1980,98234,2409,186685,8517,302731,26074,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,10479,330,28077,385,46871,488,73568,747,155638,2884,262420,8355,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,8844,270,22699,448,38870,627,62044,956,133565,3391,227859,10673,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,12502,122,33307,193,57726,282,93144,396,207562,1529,363732,5015,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,12738,329,33719,463,55776,648,87010,849,185016,3255,315402,11577,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,13851,350,38253,701,66114,909,103747,1197,239273,4091,436723,12545,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,14280,624,36277,1080,59088,1335,90028,1824,182327,7452,310306,23843,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,9483,790,34821,1853,64317,1897,107517,2443,274747,15062,512200,52672,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,10455,140,26748,228,44531,333,70326,460,162971,2296,298561,7796,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,9560,168,26901,329,46159,452,73400,708,161750,3077,280387,10187,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,14144,828,39104,1017,62529,1416,94808,1994,183423,5240,299219,16467,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,11179,507,26955,742,43711,978,66773,1303,132490,4433,216223,14511,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,11685,172,31328,277,53669,408,84155,518,184501,2428,323319,7937,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,10808,248,28084,367,46440,449,71015,566,145040,2669,247875,8931,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,12159,334,30211,442,49251,575,74400,777,148358,2874,248537,9446,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,12259,331,30216,445,49144,637,75579,809,155529,3176,266506,10369,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,8899,232,23601,388,41249,487,65875,640,140896,3209,241279,11688,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,8423,242,23231,411,42014,597,70565,846,149876,2966,254090,9541,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,11176,391,27036,627,46191,922,72160,1225,147438,4966,252900,16670,Maine,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,15580,348,42297,500,70015,721,108093,1080,218638,3310,360791,10585,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,12482,262,35553,512,63412,685,101185,769,217412,3580,376252,10793,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,10362,148,27235,222,46174,319,72759,376,153098,1612,261081,5651,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,13424,215,34674,371,57174,456,85996,525,176624,2567,304244,8423,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,8067,248,21343,459,37180,638,60610,914,129572,3150,218902,9303,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,10684,245,27460,356,45461,465,70888,691,152661,2761,266147,9834,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,11400,376,26849,767,44276,926,67308,1184,135125,5064,225739,16014,Montana,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,12255,417,30412,494,50177,755,76318,859,158496,5527,276366,19359,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,11865,481,30457,691,49234,786,75860,1347,161182,6108,278851,20379,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,15292,587,37675,1005,62908,1374,94885,1823,187770,6808,312911,22477,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,33
