GEO_ID,C18108_001E,C18108_001M,C18108_002E,C18108_002M,C18108_003E,C18108_003M,C18108_004E,C18108_004M,C18108_005E,C18108_005M,C18108_006E,C18108_006M,C18108_007E,C18108_007M,C18108_008E,C18108_008M,C18108_009E,C18108_009M,C18108_010E,C18108_010M,C18108_011E,C18108_011M,C18108_012E,C18108_012M,C18108_013E,C18108_013M,NAME,C18108_001MA,C18108_001EA,C18108_002EA,C18108_002MA,C18108_003EA,C18108_003MA,C18108_004EA,C18108_004MA,C18108_005MA,C18108_005EA,C18108_006MA,C18108_006EA,C18108_007MA,C18108_007EA,C18108_008EA,C18108_008MA,C18108_009EA,C18108_009MA,C18108_010EA,C18108_010MA,C18108_011MA,C18108_011EA,C18108_012MA,C18108_012EA,C18108_013EA,C18108_013MA,state
0400000US01,4720067,2155,1122125,2463,41235,3547,13072,1776,1067818,4789,2944024,3977,213086,8756,219956,9357,2510982,13382,653918,2352,113057,3918,164582,5448,376279,5898,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,699272,1868,187708,459,4515,1402,994,396,182199,1487,454580,2067,26949,2525,17054,2151,410577,3617,56984,1124,10859,1286,13360,1476,32765,1868,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6378280,1787,1621830,1382,43442,4452,13055,2574,1565333,5494,3845434,2591,203072,8902,171930,9529,3470432,12643,911016,1963,138258,6121,162973,7592,609785,8526,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2885212,1095,708888,1722,26613,3036,11999,1745,670276,3826,1763728,2795,140328,5476,128494,5110,1494906,7456,412596,2012,80025,3628,97905,3714,234666,5032,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,37161789,5236,9252466,2198,200075,8554,88928,5603,8963463,9881,23607468,7064,1013584,14405,865977,18925,21727907,23707,4301855,3714,641131,12060,940097,14111,2720627,17646,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5024885,2530,1226828,1836,31849,3650,12939,2058,1182040,4811,3238825,3818,166253,6911,115677,5562,2956895,9005,559232,2003,92679,3996,96738,3336,369815,5053,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3522709,1144,802350,445,21545,2659,8319,1442,772486,2920,2227298,1874,102769,5231,82604,4212,2041925,6295,493061,1525,77175,3749,85435,3892,330451,5250,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,892132,847,204295,414,6162,1335,2386,992,195747,1733,557777,1350,29899,3010,25874,2674,502004,4254,130060,874,21189,2319,22149,1865,86722,2519,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,608165,325,105312,258,4222,1198,1541,693,99549,1328,435158,685,19476,2663,17259,2135,398423,3263,67695,543,10288,1381,14649,1705,42758,2108,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,18752294,3756,3986946,3274,114955,6928,37047,4360,3834944,8389,11468487,6803,600685,14366,530976,14232,10336826,21259,3296861,5344,513788,12278,622584,13114,2160489,16153,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
