GEO_ID,B17021_001E,B17021_001M,B17021_002E,B17021_002M,B17021_003E,B17021_003M,B17021_004E,B17021_004M,B17021_005E,B17021_005M,B17021_006E,B17021_006M,B17021_007E,B17021_007M,B17021_008E,B17021_008M,B17021_009E,B17021_009M,B17021_010E,B17021_010M,B17021_011E,B17021_011M,B17021_012E,B17021_012M,B17021_013E,B17021_013M,B17021_014E,B17021_014M,B17021_015E,B17021_015M,B17021_016E,B17021_016M,B17021_017E,B17021_017M,B17021_018E,B17021_018M,B17021_019E,B17021_019M,B17021_020E,B17021_020M,B17021_021E,B17021_021M,B17021_022E,B17021_022M,B17021_023E,B17021_023M,B17021_024E,B17021_024M,B17021_025E,B17021_025M,B17021_026E,B17021_026M,B17021_027E,B17021_027M,B17021_028E,B17021_028M,B17021_029E,B17021_029M,B17021_030E,B17021_030M,B17021_031E,B17021_031M,B17021_032E,B17021_032M,B17021_033E,B17021_033M,B17021_034E,B17021_034M,B17021_035E,B17021_035M,NAME,B17021_001MA,B17021_001EA,B17021_002MA,B17021_002EA,B17021_003MA,B17021_003EA,B17021_004EA,B17021_004MA,B17021_005EA,B17021_005MA,B17021_006EA,B17021_006MA,B17021_007MA,B17021_007EA,B17021_008MA,B17021_008EA,B17021_009EA,B17021_009MA,B17021_010EA,B17021_010MA,B17021_011EA,B17021_011MA,B17021_012MA,B17021_012EA,B17021_013MA,B17021_013EA,B17021_014MA,B17021_014EA,B17021_015EA,B17021_015MA,B17021_016EA,B17021_016MA,B17021_017EA,B17021_017MA,B17021_018MA,B17021_018EA,B17021_019MA,B17021_019EA,B17021_020EA,B17021_020MA,B17021_021EA,B17021_021MA,B17021_022EA,B17021_022MA,B17021_023MA,B17021_023EA,B17021_024MA,B17021_024EA,B17021_025EA,B17021_025MA,B17021_026EA,B17021_026MA,B17021_027EA,B17021_027MA,B17021_028MA,B17021_028EA,B17021_029EA,B17021_029MA,B17021_030MA,B17021_030EA,B17021_031EA,B17021_031MA,B17021_032EA,B17021_032MA,B17021_033MA,B17021_033EA,B17021_034MA,B17021_034EA,B17021_035MA,B17021_035EA,state
0400000US26,9656260,2885,1693294,28336,1238471,28833,441349,21213,425463,20865,15886,2475,797122,24026,160477,13817,125125,11653,35352,4111,636645,22015,594477,21344,42168,3486,454823,11503,283929,7366,224124,6627,59805,3772,170894,8013,7962966,28153,6779747,28343,5355565,32047,5344441,32092,11124,1606,1424182,25769,414457,17907,384527,17562,29930,3056,1009725,21850,963046,21005,46679,3497,1183219,16129,1015620,14083,868435,13243,147185,5481,167599,6278,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,5222556,2179,621970,17360,401712,14518,146961,12042,139829,12136,7132,1160,254751,12045,57977,5751,40776,4792,17201,2468,196774,10916,180494,10474,16280,1978,220258,8575,132660,4419,103038,3849,29622,2593,87598,5857,4600586,17480,3860011,21911,3179726,26196,3173909,26379,5817,1159,680285,21582,235587,13954,213603,12491,21984,2524,444698,16666,413357,14824,31341,3197,740575,13462,607351,9849,497141,9501,110210,4448,133224,6587,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,2884215,2100,650524,20706,511212,18843,128295,11005,123211,11172,5084,1571,382917,16322,45741,6666,39015,6353,6726,1427,337176,14139,325766,14039,11410,2121,139312,7336,100118,5656,85785,5183,14333,1933,39194,4657,2233691,20344,1963216,22062,1424505,26690,1421187,26865,3318,1145,538711,21556,126569,10240,120693,9982,5876,1302,412142,20191,398758,19658,13384,2218,270475,7784,239915,7026,212111,7127,27804,3133,30560,3403,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,5831530,3022,920118,22609,655509,21837,232457,15519,222933,15351,9524,1571,423052,19543,74522,7201,55425,5997,19097,3022,348530,17759,325980,16988,22550,3111,264609,7497,175094,6787,139085,5875,36009,2869,89515,4372,4911412,22737,4165938,26018,3308425,33919,3304011,33967,4414,1282,857513,27439,251448,17056,232508,15894,18940,2566,606065,22392,573295,21639,32770,3340,745474,14466,631149,11499,529481,10474,101668,5412,114325,6066,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,974025,1203,144054,8962,93394,7480,39596,6026,36733,5443,2863,2041,53798,5931,8993,2135,7376,1911,1617,592,44805,5752,41914,5463,2891,982,50660,3793,29349,2392,23571,2049,5778,1203,21311,2811,829971,8933,683668,9923,561451,12382,560320,12356,1131,613,122217,9568,42624,5391,39756,4978,2868,896,79593,7939,74253,7336,5340,1495,146303,5178,121770,4241,99982,4197,21788,2297,24533,2933,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,1789275,1651,234710,10211,161542,9215,64172,7811,60799,7782,3373,924,97370,8408,17800,3788,12385,3008,5415,1373,79570,7852,74641,7858,4929,962,73168,4256,49838,3452,37847,2815,11991,1812,23330,2451,1554565,10172,1309421,12064,1086362,15433,1084374,15374,1988,619,223059,11217,75411,6071,70133,5736,5278,1274,147648,8582,137690,8249,9958,1519,245144,7337,203517,5143,170581,4648,32936,2880,41627,3985,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,2684536,3072,426741,20552,325869,19892,157943,18334,148130,18322,9813,2933,167926,14658,44114,7455,32554,6901,11560,2347,123812,13174,111079,12086,12733,2764,100872,7161,61411,4441,48112,4184,13299,2147,39461,5362,2257795,20857,1896658,23860,1379680,31044,1373108,30969,6572,2097,516978,27410,186455,18316,174413,17078,12042,2940,330523,19633,309048,18017,21475,3754,361137,13825,283960,9104,223535,7303,60425,5063,77177,7550,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,1279118,1056,112715,8386,70566,7465,25760,4441,23692,4461,2068,691,44806,6415,8446,3296,5683,3093,2763,1033,36360,5741,33342,5795,3018,875,42149,3801,26555,2670,20287,2167,6268,1428,15594,2308,1166403,8394,992600,10724,810700,15089,807755,15204,2945,942,181900,10883,57945,7335,52033,6598,5912,1523,123955,9809,113390,9082,10565,2080,173803,7335,140398,5698,110370,5130,30028,2260,33405,3427,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,8646606,2810,897376,24537,673708,24422,239566,17042,226371,16846,13195,2583,434142,17888,80996,8717,57587,6957,23409,3270,353146,16653,330966,16193,22180,2813,223668,8813,148409,5825,125619,5196,22790,2358,75259,5187,7749230,24303,6752964,27131,5186371,38658,5165914,38468,20457,3044,1566593,38530,443890,23867,408256,22006,35634,4138,1122703,27204,1068354,25551,54349,4842,996266,19029,827816,14041,703426,12773,124390,5656,168450,8876,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,2042530,1334,439914,17336,344234,16916,134511,12800,131667,12814,2844,941,209723,14965,45065,6500,37821,5915,7244,1408,164658,13837,154365,13448,10293,2045,95680,6978,64919,4630,52002,3971,12917,2091,30761,3716,1602616,17068,1366110,19473,1005433,23318,1003530,23112,1903,937,360677,14889,115858,9242,107359,8820,8499,2192,244819,13976,229966,12792,14853,2702,236506,8945,199868,6927,168006,5704,31862,2905,36638,3287,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
