GEO_ID,C17001D_001E,C17001D_001M,C17001D_002E,C17001D_002M,C17001D_003E,C17001D_003M,C17001D_004E,C17001D_004M,C17001D_005E,C17001D_005M,C17001D_006E,C17001D_006M,C17001D_007E,C17001D_007M,C17001D_008E,C17001D_008M,C17001D_009E,C17001D_009M,C17001D_010E,C17001D_010M,C17001D_011E,C17001D_011M,C17001D_012E,C17001D_012M,C17001D_013E,C17001D_013M,C17001D_014E,C17001D_014M,C17001D_015E,C17001D_015M,C17001D_016E,C17001D_016M,C17001D_017E,C17001D_017M,C17001D_018E,C17001D_018M,C17001D_019E,C17001D_019M,NAME,C17001D_001MA,C17001D_001EA,C17001D_002MA,C17001D_002EA,C17001D_003MA,C17001D_003EA,C17001D_004MA,C17001D_004EA,C17001D_005MA,C17001D_005EA,C17001D_006MA,C17001D_006EA,C17001D_007MA,C17001D_007EA,C17001D_008EA,C17001D_008MA,C17001D_009MA,C17001D_009EA,C17001D_010MA,C17001D_010EA,C17001D_011MA,C17001D_011EA,C17001D_012MA,C17001D_012EA,C17001D_013EA,C17001D_013MA,C17001D_014MA,C17001D_014EA,C17001D_015EA,C17001D_015MA,C17001D_016MA,C17001D_016EA,C17001D_017EA,C17001D_017MA,C17001D_018EA,C17001D_018MA,C17001D_019EA,C17001D_019MA,state
0400000US01,53378,2249,6609,1738,3609,1206,808,414,2666,1058,135,180,3000,1064,364,317,2281,854,355,266,46769,2463,21065,1868,5424,970,14365,1204,1276,487,25704,1850,6398,865,17328,1509,1978,633,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,37390,2035,3395,1946,1918,1162,765,767,1029,469,124,144,1477,939,532,568,889,452,56,61,33995,2228,14480,1244,3485,739,10118,792,877,159,19515,1514,3722,824,13309,1109,2484,724,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,174202,6131,21815,4307,9943,2499,2507,1114,6781,1890,655,432,11872,2448,2228,1118,8958,1682,686,460,152387,6830,70031,4381,16953,2701,47603,2748,5475,643,82356,4000,15493,1955,57289,2596,9574,1125,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,33915,2596,4458,1680,1995,915,141,234,1854,840,0,192,2463,998,271,339,2143,850,49,101,29457,3113,13655,1934,4481,1153,8999,1286,175,176,15802,1765,4168,949,10198,1187,1436,603,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,4903443,18099,609232,20666,276030,11413,66921,5266,177978,9250,31131,2500,333202,12948,65115,5072,217865,8816,50222,3197,4294211,26458,2046162,15540,440695,7804,1383929,10383,221538,3139,2248049,15111,416084,7911,1544413,10585,287552,3952,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,140924,3955,15100,2777,7087,1659,2040,803,4567,1189,480,284,8013,1560,1709,706,5554,1151,750,493,125824,5231,55332,2988,14548,1911,36506,1947,4278,636,70492,3580,17409,2036,47059,2379,6024,600,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,134573,2603,11730,3450,6142,1886,1380,868,4669,1345,93,114,5588,1851,1701,804,3730,1222,157,180,122843,4435,56894,2814,16634,1432,36840,2025,3420,470,65949,2205,16684,1242,44813,1489,4452,240,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,29438,1177,1495,660,527,319,237,236,184,186,106,108,968,542,21,37,711,485,236,208,27943,1348,13725,905,3605,619,8801,579,1319,405,14218,857,3274,496,9546,712,1398,435,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,20294,1448,2055,829,516,441,103,185,413,359,0,200,1539,685,0,200,1334,649,205,181,18239,1507,7777,868,527,283,6995,816,255,254,10462,936,999,486,8743,747,720,192,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,456006,8551,57278,6730,26537,3602,5035,1396,19611,3121,1891,779,30741,3995,5510,1623,22615,2820,2616,832,398728,11780,184056,7341,40794,3437,125602,5233,17660,1252,214672,6477,41329,3224,148307,4747,25036,1885,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
