GEO_ID,B05003F_001E,B05003F_001M,B05003F_002E,B05003F_002M,B05003F_003E,B05003F_003M,B05003F_004E,B05003F_004M,B05003F_005E,B05003F_005M,B05003F_006E,B05003F_006M,B05003F_007E,B05003F_007M,B05003F_008E,B05003F_008M,B05003F_009E,B05003F_009M,B05003F_010E,B05003F_010M,B05003F_011E,B05003F_011M,B05003F_012E,B05003F_012M,B05003F_013E,B05003F_013M,B05003F_014E,B05003F_014M,B05003F_015E,B05003F_015M,B05003F_016E,B05003F_016M,B05003F_017E,B05003F_017M,B05003F_018E,B05003F_018M,B05003F_019E,B05003F_019M,B05003F_020E,B05003F_020M,B05003F_021E,B05003F_021M,B05003F_022E,B05003F_022M,B05003F_023E,B05003F_023M,NAME,B05003F_001MA,B05003F_001EA,B05003F_002MA,B05003F_002EA,B05003F_003MA,B05003F_003EA,B05003F_004MA,B05003F_004EA,B05003F_005MA,B05003F_005EA,B05003F_006MA,B05003F_006EA,B05003F_007MA,B05003F_007EA,B05003F_008EA,B05003F_008MA,B05003F_009MA,B05003F_009EA,B05003F_010MA,B05003F_010EA,B05003F_011MA,B05003F_011EA,B05003F_012MA,B05003F_012EA,B05003F_013MA,B05003F_013EA,B05003F_014MA,B05003F_014EA,B05003F_015MA,B05003F_015EA,B05003F_016MA,B05003F_016EA,B05003F_017MA,B05003F_017EA,B05003F_018MA,B05003F_018EA,B05003F_019EA,B05003F_019MA,B05003F_020MA,B05003F_020EA,B05003F_021MA,B05003F_021EA,B05003F_022MA,B05003F_022EA,B05003F_023MA,B05003F_023EA,state
0400000US08,196831,13409,103190,8220,26324,4531,24989,4494,1335,948,104,120,1231,918,76866,5966,45367,4311,31499,4150,8354,1854,23145,3416,93641,7101,23134,3190,22296,3098,838,606,87,135,751,580,70507,5725,45237,4325,25270,3372,7182,1628,18088,2854,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,162303,10635,84366,6506,27013,2936,25530,2749,1483,749,258,190,1225,724,57353,4585,27656,3409,29697,3303,6289,1306,23408,2998,77937,5142,26165,2655,24886,2611,1279,617,207,188,1072,596,51772,3392,27001,2680,24771,2744,7496,1568,17275,2612,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,51887,6124,30005,3775,10775,2560,9937,2523,838,412,216,188,622,381,19230,2340,4561,982,14669,2191,3139,1077,11530,2082,21882,3452,10516,2355,9545,2315,971,471,294,277,677,410,11366,1861,4426,1383,6940,1431,988,447,5952,1357,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,65366,7711,36292,4644,11946,2603,9339,2149,2607,1323,219,242,2388,1272,24346,3117,8071,1740,16275,2659,3284,1039,12991,2488,29074,3954,10123,1996,8341,1752,1782,936,188,240,1594,863,18951,2814,7522,1816,11429,2355,3157,1087,8272,2163,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,712778,25545,364258,14933,107544,7013,101359,6891,6185,1812,1716,896,4469,1597,256714,9688,111479,7005,145235,8960,49819,4208,95416,8216,348520,13554,104557,6911,99679,6605,4878,1720,1497,767,3381,1568,243963,9362,111383,6555,132580,6735,48423,4377,84157,5924,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,30713,5286,16434,2821,3942,1366,3160,1203,782,610,0,163,782,610,12492,2066,4131,1019,8361,1653,1827,675,6534,1580,14279,2876,4094,1388,3632,1259,462,512,0,163,462,512,10185,2004,3979,1129,6206,1514,1479,554,4727,1339,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,9013,2733,4984,1713,1380,836,1240,821,140,234,0,192,140,234,3604,1227,1770,837,1834,863,1044,600,790,519,4029,1402,1276,784,1113,680,163,212,0,192,163,212,2753,865,1126,522,1627,754,963,512,664,389,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,84917,6739,42344,4500,13138,2350,12626,2200,512,351,61,87,451,323,29206,2913,12790,2505,16416,1816,5699,1372,10717,1677,42573,3482,16018,1929,14905,1934,1113,726,114,182,999,701,26555,2469,10832,1792,15723,2223,5255,1423,10468,1857,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,19652,4198,9577,2374,3155,1168,2934,1133,221,230,0,200,221,230,6422,1581,1939,709,4483,1215,840,528,3643,1017,10075,2231,3729,1414,3458,1401,271,236,158,182,113,147,6346,1615,2719,904,3627,1212,1057,849,2570,936,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,102814,7851,53410,4850,16213,2410,14479,2300,1734,649,894,531,840,419,37197,3350,13324,2055,23873,2630,5791,1290,18082,2362,49404,4171,18238,2408,16380,2312,1858,659,343,237,1515,630,31166,2743,11791,1851,19375,2355,5573,1133,13802,2221,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US30,5828,1858,3120,1302,699,539,699,539,0,172,0,172,0,172,2421,969,1139,591,1282,770,673,526,609,503,2708,816,820,561,526,313,294,336,294,336,0,172,1888,684,1421,552,467,353,272,296,195,206,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
