GEO_ID,C27014_001E,C27014_001M,C27014_002E,C27014_002M,C27014_003E,C27014_003M,C27014_004E,C27014_004M,C27014_005E,C27014_005M,C27014_006E,C27014_006M,C27014_007E,C27014_007M,C27014_008E,C27014_008M,C27014_009E,C27014_009M,C27014_010E,C27014_010M,NAME,C27014_001EA,C27014_001MA,C27014_002MA,C27014_002EA,C27014_003EA,C27014_003MA,C27014_004EA,C27014_004MA,C27014_005EA,C27014_005MA,C27014_006EA,C27014_006MA,C27014_007EA,C27014_007MA,C27014_008EA,C27014_008MA,C27014_009EA,C27014_009MA,C27014_010EA,C27014_010MA,state
0400000US12,12216233,11081,6640602,38789,395636,16441,6244966,37878,2882672,31543,405247,12751,2477425,29899,2692959,29132,982372,16909,1710587,23348,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US25,4256789,5530,2348055,16915,240031,9963,2108024,18023,1213875,15808,335252,10549,878623,14673,694859,12680,372821,10634,322038,9199,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US11,471920,1933,288346,5509,26412,3442,261934,5979,104189,4855,30438,2836,73751,4499,79385,5000,48891,4532,30494,3312,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US49,1805828,3874,988195,11348,33118,3395,955077,11925,510747,10333,47717,3789,463030,10002,306886,7989,78607,4346,228279,7148,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US36,11879398,7977,6471551,27325,713523,16509,5758028,29671,2956125,24438,882043,15821,2074082,20921,2451722,23639,1327327,17920,1124395,16605,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US34,5344092,5295,3071477,21962,180529,8580,2890948,21951,1297128,17753,234531,9767,1062597,15506,975487,16150,368953,10369,606534,13738,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US39,6840199,7261,3825627,20121,314491,9454,3511136,21147,1737762,16741,449794,10377,1287968,15000,1276810,19331,680022,16225,596788,11945,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US29,3563548,5477,2028732,14760,92280,4967,1936452,15606,849437,14829,112683,6377,736754,14522,685379,12733,290256,8569,395123,10783,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US42,7529481,6636,4238204,21313,298943,9107,3939261,22845,1906948,21079,441713,11241,1465235,18330,1384329,15319,720323,13880,664006,11287,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US26,5912762,5918,3109663,20179,263587,8031,2846076,19624,1584515,20644,413037,11631,1171478,17976,1218584,13639,664993,11339,553591,10406,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
