GEO_ID,B18101H_001E,B18101H_001M,B18101H_002E,B18101H_002M,B18101H_003E,B18101H_003M,B18101H_004E,B18101H_004M,B18101H_005E,B18101H_005M,B18101H_006E,B18101H_006M,B18101H_007E,B18101H_007M,B18101H_008E,B18101H_008M,B18101H_009E,B18101H_009M,B18101H_010E,B18101H_010M,NAME,B18101H_001MA,B18101H_001EA,B18101H_002MA,B18101H_002EA,B18101H_003MA,B18101H_003EA,B18101H_004MA,B18101H_004EA,B18101H_005MA,B18101H_005EA,B18101H_006MA,B18101H_006EA,B18101H_007MA,B18101H_007EA,B18101H_008MA,B18101H_008EA,B18101H_009EA,B18101H_009MA,B18101H_010MA,B18101H_010EA,state
0400000US08,3806245,3705,706822,1020,19331,2005,687491,1979,2437702,3196,202994,7915,2234708,8426,661721,1058,202444,5598,459277,5500,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,5195562,4715,1104115,2093,47571,4308,1056544,4628,3175499,3117,380196,8970,2795303,10051,915948,1488,317218,6633,598730,6983,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,3714922,2666,789590,1211,49938,4053,739652,4146,2272173,2077,366008,9564,1906165,9609,653159,1158,258856,6143,394303,6189,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,2676030,3424,553661,2266,28249,3530,525412,4369,1632946,2538,204353,9185,1428593,9360,489423,1298,184813,6449,304610,6531,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,7664249,5044,1458003,1624,49869,3269,1408134,3710,4739029,4008,417633,9881,4321396,10544,1467217,2177,469809,7898,997408,7918,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,2659848,2365,566078,1050,22141,1976,543937,2252,1597416,1984,150138,5673,1447278,6089,496354,917,153965,4166,342389,4225,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,1204308,1160,217412,587,9391,1465,208021,1538,758654,1066,81279,5126,677375,5130,228242,475,69896,3391,158346,3387,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,2137285,1659,440771,745,27218,2857,413553,2854,1273125,1922,201638,6858,1071487,6760,423389,1156,176403,5271,246986,5165,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,590563,1235,98909,424,4107,1315,94802,1349,350691,996,38179,3213,312512,3192,140963,513,44007,2765,96956,2773,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,4413780,2486,892574,974,28793,2583,863781,2637,2717984,1709,226780,7426,2491204,7453,803222,942,243059,5305,560163,5204,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US30,900421,1258,177811,379,7885,1737,169926,1780,539681,1126,56967,3439,482714,3590,182929,460,57679,2355,125250,2377,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US23,1231495,1245,219682,745,13059,1973,206623,2122,751448,992,105313,5888,646135,5919,260365,483,87324,3223,173041,3307,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US37,6395695,5618,1183800,2190,55382,4131,1128418,4496,3923315,4095,430863,10882,3492452,11303,1288580,1831,433174,8648,855406,8915,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US13,5414229,5449,1085705,2657,43914,3120,1041791,3721,3327789,4364,361082,11412,2966707,11734,1000735,1419,335935,7885,664800,7724,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US02,427701,1530,89245,471,2703,776,86542,978,275303,1630,31421,2406,243882,2923,63153,534,22286,1966,40867,2077,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US01,3146535,2940,625840,1417,28801,3029,597039,3341,1894493,2803,266323,10985,1628170,11021,626202,993,238840,5683,387362,5588,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US50,574176,754,103033,265,6643,1400,96390,1398,356586,785,41615,3321,314971,3427,114557,293,35962,2044,78595,2081,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US32,1452711,2198,238939,537,9015,1626,229924,1780,880746,1918,103733,5814,777013,5923,333026,870,110359,4302,222667,4187,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US54,1640738,1601,322798,540,16160,2401,306638,2484,982579,1283,160778,7100,821801,7225,335361,683,138065,4573,197296,4492,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US40,2523270,3121,505307,1074,23019,2327,482288,2560,1522285,2542,221729,6172,1300556,6625,495678,1098,209905,4605,285773,4677,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US55,4659986,2774,895903,1158,31092,2699,864811,2772,2869496,1955,259425,6313,2610071,6343,894587,1034,268076,5517,626511,5612,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
