GEO_ID,B16005D_001E,B16005D_001M,B16005D_002E,B16005D_002M,B16005D_003E,B16005D_003M,B16005D_004E,B16005D_004M,B16005D_005E,B16005D_005M,B16005D_006E,B16005D_006M,B16005D_007E,B16005D_007M,B16005D_008E,B16005D_008M,B16005D_009E,B16005D_009M,B16005D_010E,B16005D_010M,B16005D_011E,B16005D_011M,NAME,B16005D_001MA,B16005D_001EA,B16005D_002EA,B16005D_002MA,B16005D_003EA,B16005D_003MA,B16005D_004MA,B16005D_004EA,B16005D_005MA,B16005D_005EA,B16005D_006MA,B16005D_006EA,B16005D_007EA,B16005D_007MA,B16005D_008EA,B16005D_008MA,B16005D_009MA,B16005D_009EA,B16005D_010MA,B16005D_010EA,B16005D_011MA,B16005D_011EA,state
0400000US08,170984,4760,58542,3789,37567,3483,20975,2521,17599,2223,3376,967,112442,4664,23056,2667,89386,4107,46730,3919,42656,3148,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,145676,5238,35137,3895,19873,2688,15264,2538,11186,2196,4078,1238,110539,4842,17283,2425,93256,5048,48547,4389,44709,4332,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,61439,3241,15090,2134,7304,1443,7786,1613,6324,1307,1462,734,46349,3028,7800,1561,38549,3104,18033,2629,20516,2623,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,72760,2937,21481,2652,10430,1928,11051,1854,9616,1830,1435,603,51279,3019,8281,1515,42998,3018,17843,2153,25155,2743,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,683701,6054,192997,5632,101493,6030,91504,5057,80226,4652,11278,2087,490704,7155,58631,4231,432073,8334,256473,7733,175600,7738,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,75780,2934,15727,2515,7678,1783,8049,2262,6644,2058,1405,723,60053,3153,7531,1644,52522,2732,24089,2867,28433,2755,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,34359,2228,8082,1439,5376,1302,2706,1134,2282,962,424,326,26277,2101,4991,1228,21286,2310,11963,1695,9323,1765,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,45327,2596,16115,2459,7280,1877,8835,2241,6129,1620,2706,1435,29212,2483,4429,1426,24783,2321,10194,1457,14589,2232,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,36721,1406,8242,1218,4989,1486,3253,1030,2851,954,402,265,28479,1513,3173,1194,25306,1602,14357,1997,10949,2090,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,253200,3969,88035,4469,31181,3071,56854,3790,43404,3829,13450,2689,165165,4583,28513,2778,136652,4955,68585,3731,68067,4367,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
