GEO_ID,B12001_001E,B12001_001M,B12001_002E,B12001_002M,B12001_003E,B12001_003M,B12001_004E,B12001_004M,B12001_005E,B12001_005M,B12001_006E,B12001_006M,B12001_007E,B12001_007M,B12001_008E,B12001_008M,B12001_009E,B12001_009M,B12001_010E,B12001_010M,B12001_011E,B12001_011M,B12001_012E,B12001_012M,B12001_013E,B12001_013M,B12001_014E,B12001_014M,B12001_015E,B12001_015M,B12001_016E,B12001_016M,B12001_017E,B12001_017M,B12001_018E,B12001_018M,B12001_019E,B12001_019M,NAME,B12001_001EA,B12001_001MA,B12001_002EA,B12001_002MA,B12001_003EA,B12001_003MA,B12001_004EA,B12001_004MA,B12001_005EA,B12001_005MA,B12001_006EA,B12001_006MA,B12001_007EA,B12001_007MA,B12001_008EA,B12001_008MA,B12001_009MA,B12001_009EA,B12001_010EA,B12001_010MA,B12001_011EA,B12001_011MA,B12001_012EA,B12001_012MA,B12001_013EA,B12001_013MA,B12001_014EA,B12001_014MA,B12001_015EA,B12001_015MA,B12001_016EA,B12001_016MA,B12001_017EA,B12001_017MA,B12001_018EA,B12001_018MA,B12001_019EA,B12001_019MA,state
0400000US08,4643242,3035,2324144,3672,837792,11679,1196053,13546,1098186,13509,97867,6203,28733,3176,69134,5369,51361,3573,238938,7946,2319098,3328,670316,8895,1186602,11062,1088060,11002,98542,6552,38736,3413,59806,5476,155438,5157,306742,8249,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,5392554,3850,2630369,4390,913506,9963,1344429,14750,1257017,14801,87412,5537,29254,2841,58158,4182,75103,3386,297331,8215,2762185,4386,789205,10169,1364555,14925,1277530,15427,87025,5182,42053,3872,44972,3413,243887,6444,364538,9715,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,3629102,3031,1769333,3523,572802,8021,931923,9506,858426,10004,73497,4925,32912,2703,40585,3428,53825,3570,210783,7856,1859769,3655,482203,9052,939016,12463,855884,12627,83132,5178,48676,3914,34456,3011,184964,5111,253586,7667,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,3742752,2833,1805868,4161,707937,12198,853670,12013,772027,11852,81643,5250,33153,3448,48490,3532,54354,3424,189907,7190,1936884,3955,660267,10317,858761,11273,763816,12779,94945,6564,50114,4681,44831,4024,183315,5891,234541,8638,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,10381247,2772,5059081,3380,1942203,12161,2557046,16102,2357571,17298,199475,8133,68145,4190,131330,6621,134920,5752,424912,9262,5322166,3498,1729963,13050,2540518,17299,2336515,17291,204003,6900,90869,4962,113134,5306,464215,8187,587470,11455,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,2545586,2869,1252744,3239,425560,7215,663235,9625,628021,9686,35214,3445,11550,1402,23664,2849,37680,3124,126269,4830,1292842,2770,348319,6049,668787,8047,631755,8901,37032,2898,15944,2101,21088,1954,121455,4290,154281,4982,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,1147794,1036,564372,1636,194346,4667,296241,6275,279585,6862,16656,2153,5552,1096,11104,1831,14423,1794,59362,4022,583422,1587,157767,4172,299038,6346,282610,6665,16428,2272,7320,1561,9108,1504,51175,2992,75442,4209,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,2429708,3636,1178871,3696,381241,7749,621637,9904,571601,10704,50036,4071,23092,2755,26944,3143,35657,3040,140336,5689,1250837,3727,331757,8065,613790,10002,557415,10878,56375,4198,29429,3148,26946,3051,127015,4290,178275,7078,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,798598,418,382718,890,143198,4704,194341,5465,177303,5269,17038,1970,5338,1171,11700,1840,11541,1723,33638,3137,415880,910,129238,4997,196913,5411,178108,5597,18805,2463,7999,1735,10806,1648,35498,2709,54231,3518,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,4525167,2579,2239045,3619,796295,8039,1180431,10513,1115351,10877,65080,3540,20817,2168,44263,2777,52124,3052,210195,6984,2286122,2601,666032,8038,1191784,10350,1122301,11432,69483,4254,26560,2579,42923,3288,170168,3990,258138,6935,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
