GEO_ID,C15002D_001E,C15002D_001M,C15002D_002E,C15002D_002M,C15002D_003E,C15002D_003M,C15002D_004E,C15002D_004M,C15002D_005E,C15002D_005M,C15002D_006E,C15002D_006M,C15002D_007E,C15002D_007M,C15002D_008E,C15002D_008M,C15002D_009E,C15002D_009M,C15002D_010E,C15002D_010M,C15002D_011E,C15002D_011M,NAME,C15002D_001EA,C15002D_001MA,C15002D_002EA,C15002D_002MA,C15002D_003EA,C15002D_003MA,C15002D_004MA,C15002D_004EA,C15002D_005EA,C15002D_005MA,C15002D_006EA,C15002D_006MA,C15002D_007MA,C15002D_007EA,C15002D_008MA,C15002D_008EA,C15002D_009MA,C15002D_009EA,C15002D_010EA,C15002D_010MA,C15002D_011EA,C15002D_011MA,state
0400000US08,125791,3081,54689,1856,3983,922,7928,1496,9451,1554,33327,2079,71102,2003,8603,1394,10547,1513,13692,1592,38260,2123,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,95134,3807,43910,2530,6010,1359,4981,1155,4218,924,28701,2340,51224,2442,9985,1843,6437,1511,6665,1562,28137,2289,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,42089,2516,18928,1361,2616,692,2254,837,3485,885,10573,1470,23161,1828,4699,1095,3144,767,4211,1060,11107,1689,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,52794,2197,24689,1760,3334,832,5177,1392,5223,1267,10955,1406,28105,1300,4837,1071,6562,1388,5603,1129,11103,1377,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,507397,4422,238469,2893,17433,2351,22592,2283,36445,2926,161999,3921,268928,2802,30788,3010,29109,3358,38880,3464,170151,4238,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,49965,2290,22716,1605,4706,1034,3448,982,3209,855,11353,1417,27249,1520,7137,1504,4872,1166,4368,1195,10872,1552,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,23968,1314,10361,854,779,451,1259,721,1679,659,6644,1036,13607,1055,1309,444,2493,574,1946,716,7859,1191,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,31698,1976,14698,1639,1423,763,2687,961,3102,1075,7486,1175,17000,1532,2108,902,4528,1049,3735,939,6629,1208,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,27649,928,12952,714,1617,823,2346,946,693,506,8296,1264,14697,434,2020,920,3406,846,2096,708,7175,1130,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,168590,2492,80209,1988,11906,1409,13474,1837,17822,2083,37007,2464,88381,1585,16870,1703,14592,1989,16843,1754,40076,2165,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US30,5960,1141,2321,769,101,94,760,477,121,126,1339,693,3639,917,524,284,1106,530,747,422,1262,560,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US23,10855,1218,3844,683,614,456,548,450,551,432,2131,614,7011,998,1279,405,1243,595,2292,859,2197,633,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US37,204930,3768,96147,2404,10588,1788,10965,1782,13581,2189,61013,3198,108783,2635,16523,2114,14836,1717,16393,2042,61031,2795,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US13,292884,4672,136232,3018,13906,1947,19963,2315,20408,2552,81955,3562,156652,2515,23274,2788,25342,2988,24974,3007,83062,3734,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US02,32483,1691,13967,1138,1473,561,5474,1245,3874,1012,3146,873,18516,1160,1850,730,5281,1240,6490,1116,4895,1072,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US01,44227,2774,19163,1567,2655,858,1818,740,3608,1104,11082,1449,25064,1970,3824,1104,4475,1129,4624,1425,12141,1626,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US50,7306,1020,3351,633,411,357,242,215,501,311,2197,646,3955,740,757,469,430,332,287,210,2481,733,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US32,194640,3568,84512,1946,6654,1615,16307,1808,29630,2544,31921,2624,110128,2244,12688,1796,21992,2102,33366,2949,42082,2813,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US54,9458,1620,4073,962,213,219,259,232,846,590,2755,712,5385,1067,167,200,688,387,1379,689,3151,744,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US40,57516,1871,25397,1184,3962,837,3550,824,4937,830,12948,1529,32119,1317,5781,784,6247,1129,4994,1087,15097,1495,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US55,99138,2652,45432,1583,7281,1360,8864,1652,7949,1320,21338,1987,53706,1642,9617,1245,9714,1409,11120,1702,23255,1799,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US72,3877,1261,1227,610,437,337,232,240,88,144,470,352,2650,879,265,229,1012,497,559,428,814,418,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
0400000US51,389784,5726,177385,3374,13316,1857,19569,2062,29110,2495,115390,3922,212399,3373,23255,2296,26651,2440,34997,2867,127496,4019,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US38,8916,1527,3831,801,723,474,807,438,272,278,2029,741,5085,1077,1203,740,862,446,869,493,2151,674,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US45,53608,2243,23671,1764,2034,798,3833,1062,5342,1252,12462,1631,29937,1753,2464,882,6656,1336,5412,1167,15405,1837,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US41,133768,3504,59640,2035,6768,1406,8240,1294,13478,1660,31154,2225,74128,2253,9993,1422,11181,1687,16570,2422,36384,2566,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US56,4809,1007,3061,1054,0,203,365,297,497,322,2199,1133,1748,747,117,156,108,105,247,187,1276,749,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US06,4301272,11443,1974561,7306,195477,6201,265326,8249,435481,9547,1078277,11743,2326711,7172,303179,9407,320517,8386,488483,10542,1214532,13505,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US28,16554,1908,6098,1145,476,247,1226,572,1097,488,3299,824,10456,1210,1572,575,2390,562,1956,670,4538,930,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US09,116111,1885,55138,1165,3909,873,5466,1443,7114,1425,38649,1815,60973,1363,6953,1134,8342,1511,6118,1233,39560,1913,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US48,979980,5720,457198,4216,43883,4087,50840,4459,74956,5071,287519,6921,522782,3614,74454,4378,71237,5226,77414,5485,299677,6876,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US24,271404,3943,123606,2416,10494,2354,13017,2020,17414,2077,82681,2939,147798,2268,17077,2165,17833,1993,21582,2753,91306,3786,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US12,426705,5261,185283,3374,18298,2588,33945,3794,37296,3056,95744,4786,241422,3614,34762,2966,45837,4185,46567,4400,114256,5036,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US25,319716,3331,149864,2259,17820,2088,17366,2372,15115,2116,99563,3810,169852,2261,25181,2642,21583,2813,19542,2239,103546,3830,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US11,21230,1179,8588,805,846,562,197,220,258,277,7287,838,12642,817,442,320,651,396,657,355,10892,872,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US49,52585,2156,23754,1473,2268,769,4154,1091,5242,1265,12090,1379,28831,1511,3369,1061,5957,1309,5513,1031,13992,1631,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US36,1207338,7247,561105,4910,104564,4798,102719,4568,77372,5065,276450,7729,646233,4073,139259,4815,109508,4719,88269,5514,309197,7062,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
