GEO_ID,B16005H_001E,B16005H_001M,B16005H_002E,B16005H_002M,B16005H_003E,B16005H_003M,B16005H_004E,B16005H_004M,B16005H_005E,B16005H_005M,B16005H_006E,B16005H_006M,B16005H_007E,B16005H_007M,B16005H_008E,B16005H_008M,B16005H_009E,B16005H_009M,B16005H_010E,B16005H_010M,B16005H_011E,B16005H_011M,NAME,B16005H_001MA,B16005H_001EA,B16005H_002MA,B16005H_002EA,B16005H_003EA,B16005H_003MA,B16005H_004EA,B16005H_004MA,B16005H_005MA,B16005H_005EA,B16005H_006MA,B16005H_006EA,B16005H_007MA,B16005H_007EA,B16005H_008EA,B16005H_008MA,B16005H_009MA,B16005H_009EA,B16005H_010MA,B16005H_010EA,B16005H_011MA,B16005H_011EA,state
0400000US08,3671279,2559,3557776,6808,3467374,9740,90402,6689,75022,5639,15380,2954,113503,6531,49058,3768,64445,5213,47029,4083,17416,2514,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,4973103,3909,4912711,7734,4797806,12372,114905,9014,92889,8002,22016,2950,60392,5956,27677,3211,32715,4701,21757,3114,10958,2597,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,3562754,1938,3527378,4041,3484793,6235,42585,4333,33175,3634,9410,1934,35376,3929,13090,1777,22286,3351,13921,2356,8365,1882,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,2568199,2576,2536457,5640,2446906,8686,89551,6137,76853,5777,12698,2479,31742,4813,11722,1955,20020,4348,11796,2402,8224,2565,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,7372973,3627,6918503,13091,6665268,16074,253235,8933,220050,8473,33185,3680,454470,12562,97616,5277,356854,11559,185587,8994,171267,7815,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,2544189,1808,2514241,4173,2475928,6241,38313,3476,32734,3167,5579,1340,29948,3806,8888,1350,21060,3530,14515,3008,6545,1559,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,1164426,1206,1129578,3828,1103160,4990,26418,2803,23735,2742,2683,754,34848,3725,17914,2259,16934,2973,10675,1880,6259,2068,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,2057587,1271,2041377,2387,2023529,3340,17848,1859,15708,1683,2140,724,16210,2102,8802,1691,7408,1642,4849,1319,2559,902,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,571812,537,559819,2064,549454,3626,10365,2691,8257,1590,2108,1581,11993,1997,5032,971,6961,1770,5071,1402,1890,797,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,4213874,1780,4139042,5422,4065127,7230,73915,4934,63106,4418,10809,1636,74832,5231,31081,2448,43751,4637,27776,3280,15975,2893,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US30,864362,761,853435,1901,836550,2873,16885,2487,14597,2348,2288,833,10927,1773,6579,1387,4348,1279,3394,1034,954,554,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US23,1188930,866,1166032,2894,1126358,4519,39674,3293,33410,3212,6264,1100,22898,2753,12829,1825,10069,1866,7207,1423,2862,924,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US37,6203146,3824,6065170,10181,5967900,13599,97270,7121,84146,6483,13124,2120,137976,8969,62048,5050,75928,7852,52843,5561,23085,4444,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US13,5216291,4556,5075262,10585,4989696,13830,85566,6200,73339,5785,12227,2448,141029,9090,55861,4230,85168,7299,61445,5966,23723,3379,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US02,417452,671,405558,2097,394602,2997,10956,2032,9774,1899,1182,537,11894,1834,6110,1332,5784,1050,4389,909,1395,521,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US01,3029247,1988,2999463,3962,2967891,6223,31572,4744,26557,4404,5015,1464,29784,3372,12592,1761,17192,3003,11501,2228,5691,1956,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US50,553882,570,538153,2100,526429,2515,11724,1581,9791,1389,1933,719,15729,2079,9195,1692,6534,1354,5194,1110,1340,535,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US32,1406012,1704,1331290,5642,1292175,6703,39115,3382,34205,3101,4910,1102,74722,5608,34942,3088,39780,4678,27183,3353,12597,2353,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US54,1577803,1579,1568559,3282,1553562,3790,14997,2308,9965,1916,5032,1162,9244,2555,4325,1098,4919,2074,2826,1304,2093,1056,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
