GEO_ID,B27001H_001E,B27001H_001M,B27001H_002E,B27001H_002M,B27001H_003E,B27001H_003M,B27001H_004E,B27001H_004M,B27001H_005E,B27001H_005M,B27001H_006E,B27001H_006M,B27001H_007E,B27001H_007M,B27001H_008E,B27001H_008M,B27001H_009E,B27001H_009M,B27001H_010E,B27001H_010M,B27001H_011E,B27001H_011M,B27001H_012E,B27001H_012M,B27001H_013E,B27001H_013M,B27001H_014E,B27001H_014M,B27001H_015E,B27001H_015M,B27001H_016E,B27001H_016M,B27001H_017E,B27001H_017M,B27001H_018E,B27001H_018M,B27001H_019E,B27001H_019M,B27001H_020E,B27001H_020M,B27001H_021E,B27001H_021M,B27001H_022E,B27001H_022M,B27001H_023E,B27001H_023M,B27001H_024E,B27001H_024M,B27001H_025E,B27001H_025M,B27001H_026E,B27001H_026M,B27001H_027E,B27001H_027M,B27001H_028E,B27001H_028M,NAME,B27001H_001EA,B27001H_001MA,B27001H_002EA,B27001H_002MA,B27001H_003EA,B27001H_003MA,B27001H_004MA,B27001H_004EA,B27001H_005MA,B27001H_005EA,B27001H_006MA,B27001H_006EA,B27001H_007EA,B27001H_007MA,B27001H_008EA,B27001H_008MA,B27001H_009MA,B27001H_009EA,B27001H_010MA,B27001H_010EA,B27001H_011MA,B27001H_011EA,B27001H_012EA,B27001H_012MA,B27001H_013EA,B27001H_013MA,B27001H_014MA,B27001H_014EA,B27001H_015MA,B27001H_015EA,B27001H_016MA,B27001H_016EA,B27001H_017EA,B27001H_017MA,B27001H_018EA,B27001H_018MA,B27001H_019MA,B27001H_019EA,B27001H_020MA,B27001H_020EA,B27001H_021MA,B27001H_021EA,B27001H_022MA,B27001H_022EA,B27001H_023EA,B27001H_023MA,B27001H_024MA,B27001H_024EA,B27001H_025MA,B27001H_025EA,B27001H_026MA,B27001H_026EA,B27001H_027MA,B27001H_027EA,B27001H_028MA,B27001H_028EA,state
0400000US30,900421,1258,58024,1439,55548,1533,2476,897,131497,2064,124454,2269,7043,1499,76438,2324,67848,2811,8590,1651,101083,2062,87170,2843,13913,2059,108475,1155,96284,2108,12191,1765,104464,680,96172,1869,8292,1721,137511,357,126000,1736,11511,1685,111074,421,110621,461,453,271,71855,466,71777,499,78,119,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US23,1231495,1245,69317,1891,65995,2005,3322,1017,164432,2219,155239,2777,9193,1698,93900,2339,82525,2900,11375,1863,131437,1719,110898,2866,20539,2565,139223,520,122796,2425,16427,2405,169446,368,154351,1602,15095,1577,203375,429,184991,2637,18384,2558,157516,556,157175,581,341,204,102849,549,102849,549,0,170,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US37,6395695,5618,362432,3985,350132,4210,12300,2402,904149,6437,861427,7581,42722,4442,524307,7691,456802,9208,67505,4998,707684,7525,596634,8825,111050,5760,762808,3243,665746,6476,97062,5550,895922,2496,802831,5745,93091,5221,949813,1255,865796,4967,84017,5080,766945,1294,764880,1445,2065,926,521635,1679,521018,1745,617,276,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US13,5414229,5449,330780,3635,310835,4701,19945,2884,828580,5579,772526,6468,56054,5585,452224,6096,376932,7534,75292,5478,602983,5013,486484,7877,116499,6901,658544,3960,555632,7758,102912,7264,762003,2962,658400,6236,103603,6477,778380,1232,692156,5013,86224,5011,602358,1254,600872,1416,1486,637,398377,1464,397233,1606,1144,587,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US02,427701,1530,31059,1013,28636,1281,2423,717,62175,1213,58237,1588,3938,1314,31978,1745,26322,1910,5656,1475,58204,1431,49532,2039,8672,1811,56501,935,49554,1638,6947,1644,57133,1143,50535,1780,6598,1384,67498,487,60526,1760,6972,1658,42671,605,42566,608,105,101,20482,373,20470,376,12,22,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US01,3146535,2940,192150,3025,187133,3169,5017,1496,476829,4526,464586,4919,12243,2646,268390,4821,230502,5032,37888,4002,337123,4191,276888,5432,60235,5168,366221,2723,316433,4476,49788,4227,421276,1872,370419,4650,50857,4532,458344,918,419666,3648,38678,3589,366863,945,366566,931,297,221,259339,1232,259205,1241,134,127,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US50,574176,754,32434,1272,31989,1322,445,331,78613,1649,77518,1782,1095,633,55082,1573,52259,1618,2823,706,61317,1240,56292,1456,5025,1091,64327,346,60699,1002,3628,978,75996,142,71426,1035,4570,1038,91850,367,88206,922,3644,844,69842,381,69743,385,99,94,44715,428,44715,428,0,157,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US32,1452711,2198,76950,2368,73052,2643,3898,1208,174227,2490,162374,3932,11853,3126,90083,3081,81385,3452,8698,1588,168678,2844,148424,3328,20254,2851,177720,1304,160324,2594,17396,2344,199835,1310,180924,2251,18911,2141,232192,742,215498,2261,16694,1924,202113,793,201452,958,661,401,130913,435,130567,472,346,276,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US54,1640738,1601,99942,2223,96313,2747,3629,1199,244759,3358,236009,3738,8750,2376,137122,4027,121409,3978,15713,2207,168053,3717,148462,4254,19591,2784,197181,1742,178028,3360,19153,3027,216329,1071,197349,2846,18980,2521,241991,769,226466,2461,15525,2349,201605,752,200526,1064,1079,682,133756,761,133649,716,107,144,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US40,2523270,3121,164426,2359,156972,2557,7454,1174,371284,3112,350339,3564,20945,2207,207289,2960,166908,3598,40381,3120,288647,2948,232927,3661,55720,3039,310239,1473,263927,3316,46312,3298,315362,950,268599,2809,46763,2566,370345,698,325220,2789,45125,2667,286017,655,284855,787,1162,528,209661,1222,209250,1189,411,235,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
