GEO_ID,B25070_001E,B25070_001M,B25070_002E,B25070_002M,B25070_003E,B25070_003M,B25070_004E,B25070_004M,B25070_005E,B25070_005M,B25070_006E,B25070_006M,B25070_007E,B25070_007M,B25070_008E,B25070_008M,B25070_009E,B25070_009M,B25070_010E,B25070_010M,B25070_011E,B25070_011M,NAME,B25070_001MA,B25070_001EA,B25070_002MA,B25070_002EA,B25070_003MA,B25070_003EA,B25070_004MA,B25070_004EA,B25070_005MA,B25070_005EA,B25070_006MA,B25070_006EA,B25070_007MA,B25070_007EA,B25070_008MA,B25070_008EA,B25070_009EA,B25070_009MA,B25070_010MA,B25070_010EA,B25070_011MA,B25070_011EA,state
0400000US08,758776,10471,25609,2655,49250,3508,94160,5726,95040,5849,88313,4965,69497,5131,51931,4077,73109,4912,176706,7289,35161,3067,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,807420,11150,34158,2897,78948,5186,104383,5579,96730,4980,83348,4947,62856,4072,47947,4225,67725,4789,168437,6066,62888,4527,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,564984,10983,26274,2564,57428,3659,69842,4745,66517,4340,57732,3887,43840,3687,32304,2859,37924,3175,107792,5656,65331,3953,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,599696,11233,23521,2493,48185,4315,52518,4573,54430,4695,51105,4378,50040,4429,36982,4261,55509,4650,148160,8231,79246,4535,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,1654751,16516,66802,4154,150463,6630,201622,7574,208816,7578,180732,7299,128193,5586,96026,5552,136578,6602,369525,9327,115994,5833,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,364122,7753,19993,1887,42762,3364,49047,3685,42890,3138,37690,2815,25903,2627,19698,2459,24261,2154,72009,4281,29869,2691,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,152470,5181,6119,1537,11863,1909,18483,2145,21602,2878,17871,2073,13892,1624,9063,1653,13020,2237,33217,3331,7340,1219,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,395946,7521,16204,1906,39662,3416,48861,3702,44704,3535,42490,4178,31329,3425,23438,3322,29408,3385,78211,4831,41639,3230,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,106526,4571,3729,1161,10275,1770,11895,1948,11503,1925,9898,1833,10172,1859,5530,1315,9998,1935,26834,2833,6692,1260,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,626513,8243,27264,2534,54940,3683,83666,4429,81194,4485,71044,4387,52617,4071,41349,4194,49409,3527,129519,5079,35511,2589,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US30,140403,5561,8520,1636,13378,1993,17040,2161,17486,2358,13463,1725,10076,1694,7140,1654,9313,1584,29277,3179,14710,2169,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US23,164081,5651,4051,993,14927,1797,17700,2124,19928,2003,21667,2393,15472,2051,10557,1545,12339,1573,34216,3737,13224,1886,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US37,1398558,16379,54497,3783,132191,7077,168114,7052,167886,7798,146661,7250,118819,7581,90175,5528,114819,6012,288102,10133,117294,5734,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US13,1376577,15458,53474,5528,115425,6723,168364,8469,163889,7554,134113,6867,116579,7457,86412,5720,127080,6776,299002,11215,112239,5859,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US02,87443,3493,4811,895,7748,1441,10769,1571,10980,1463,10588,1516,8608,1674,4172,868,6184,1261,15113,1697,8470,1198,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US01,592927,12136,25648,2760,54722,5171,66867,4877,57428,4033,60512,5503,46340,4157,30309,3305,43018,4567,124235,5892,83848,5388,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
