GEO_ID,B13002I_001E,B13002I_001M,B13002I_002E,B13002I_002M,B13002I_003E,B13002I_003M,B13002I_004E,B13002I_004M,B13002I_005E,B13002I_005M,B13002I_006E,B13002I_006M,B13002I_007E,B13002I_007M,NAME,B13002I_001MA,B13002I_001EA,B13002I_002EA,B13002I_002MA,B13002I_003EA,B13002I_003MA,B13002I_004EA,B13002I_004MA,B13002I_005MA,B13002I_005EA,B13002I_006MA,B13002I_006EA,B13002I_007MA,B13002I_007EA,state
0400000US08,324611,2587,20568,2677,13274,2514,7294,1624,304043,3598,134361,5249,169682,5299,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,124269,2691,5491,1152,3295,860,2196,846,118778,3010,49768,2850,69010,2989,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,38277,1741,2816,1039,1284,639,1532,648,35461,2183,17481,1841,17980,1964,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,57338,2444,5181,1638,3292,1340,1889,1031,52157,2507,24134,1913,28023,2529,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,585692,2751,32367,2940,19038,2435,13329,1924,553325,4303,229212,5701,324113,6374,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,51190,1760,3000,804,1819,614,1181,481,48190,1787,20459,2179,27731,2074,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,13240,904,1233,794,612,555,621,558,12007,1136,4865,1037,7142,1168,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,61542,2116,3628,1106,2584,879,1044,614,57914,2327,26494,2039,31420,2425,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,23228,844,1954,839,1305,665,649,470,21274,1216,9163,1169,12111,1259,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,81037,1769,5010,1087,2657,829,2353,682,76027,2208,30605,2491,45422,2550,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US30,10435,1303,388,324,14,25,374,330,10047,1339,4604,1096,5443,1039,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US23,5125,586,337,357,328,355,9,16,4788,675,2476,579,2312,611,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US37,264655,4204,14482,2245,8729,1696,5753,1443,250173,5040,117794,5112,132379,5493,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US13,274323,4714,12569,1766,8160,1574,4409,1127,261754,4869,121038,5603,140716,5259,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US02,15016,1031,672,440,533,421,139,113,14344,1060,6677,823,7667,980,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US01,50814,2379,5009,1475,3595,1226,1414,754,45805,2303,24106,2176,21699,2536,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US50,3722,686,406,431,406,431,0,157,3316,794,1462,478,1854,603,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US32,237392,1356,12820,1799,6349,1211,6471,1277,224572,2187,93763,3984,130809,3583,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US54,6572,1387,48,44,28,24,20,37,6524,1387,2057,781,4467,1158,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
