GEO_ID,B25027_001E,B25027_001M,B25027_002E,B25027_002M,B25027_003E,B25027_003M,B25027_004E,B25027_004M,B25027_005E,B25027_005M,B25027_006E,B25027_006M,B25027_007E,B25027_007M,B25027_008E,B25027_008M,B25027_009E,B25027_009M,B25027_010E,B25027_010M,B25027_011E,B25027_011M,B25027_012E,B25027_012M,B25027_013E,B25027_013M,B25027_014E,B25027_014M,B25027_015E,B25027_015M,B25027_016E,B25027_016M,B25027_017E,B25027_017M,NAME,B25027_001EA,B25027_001MA,B25027_002EA,B25027_002MA,B25027_003MA,B25027_003EA,B25027_004MA,B25027_004EA,B25027_005MA,B25027_005EA,B25027_006EA,B25027_006MA,B25027_007EA,B25027_007MA,B25027_008EA,B25027_008MA,B25027_009MA,B25027_009EA,B25027_010MA,B25027_010EA,B25027_011EA,B25027_011MA,B25027_012EA,B25027_012MA,B25027_013MA,B25027_013EA,B25027_014MA,B25027_014EA,B25027_015MA,B25027_015EA,B25027_016MA,B25027_016EA,B25027_017MA,B25027_017EA,state
0400000US08,1417981,9500,994356,9931,144600,5550,224794,5842,229325,5607,118448,4038,98439,4066,132328,4059,46422,3137,423625,8439,21606,2799,28670,2957,47047,2847,45463,3503,58640,3488,119022,3753,103177,3118,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,1791749,12877,1166290,13091,190446,5835,245025,6651,259659,5600,136975,5623,117382,4744,152349,5342,64454,3820,625459,8925,33158,2786,44312,3507,82879,4027,63171,3416,84270,4047,161308,4891,156361,4297,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,1167729,12565,661520,10687,103812,4058,136117,5038,156223,4851,77719,4483,67541,3452,89800,3573,30308,2101,506209,9323,25505,2175,36830,2516,67022,3697,53499,3722,68498,3385,133193,4200,121662,3646,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1137524,12385,593733,12573,100481,5176,132619,4894,138676,5882,64811,3945,57595,3844,72818,4098,26733,2335,543791,9848,29395,2807,42988,3757,71111,4398,60724,4057,74463,4046,141552,4353,123558,4118,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,3210113,17405,2002424,16877,273631,7743,437259,7019,498965,8833,241520,6682,203990,5369,247752,5987,99307,4105,1207689,14489,59454,4559,87593,4254,150699,5380,126988,5200,152623,5227,310747,5896,319585,5781,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,903751,8439,543108,7724,104558,4261,126693,3936,121875,3501,57605,3005,53105,2811,58841,2614,20431,1832,360643,6410,17959,1715,21625,1979,39030,2790,37829,2282,50980,2565,97031,2532,96189,3112,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,378742,6605,242076,6742,27493,2695,45158,3029,62069,2886,36892,2394,27099,2603,30798,2370,12567,1511,136666,5000,4687,1003,7488,1471,16093,2010,16104,1965,19411,1950,42444,2275,30439,2104,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,760401,8395,410135,8138,66280,3861,88813,4610,94474,3751,45642,3423,39766,2908,54815,3463,20345,1866,350266,7304,16414,1711,27210,2574,41486,3155,38223,2983,44113,2522,95835,3656,86985,2950,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,261145,4466,165425,4301,18826,1802,28272,2104,39018,2756,19971,2169,20421,2102,25880,1764,13037,1300,95720,3582,4271,1252,6307,1155,8824,1398,9812,1429,14090,1682,27860,1601,24556,1638,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,1567939,9341,1024974,8815,175837,4913,236050,4738,241065,4434,125078,3462,96268,3460,112727,3456,37949,2411,542965,7124,22561,1944,35351,2449,62656,2939,63931,2395,76844,3048,147721,3350,133901,3369,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
