GEO_ID,C27021_001E,C27021_001M,C27021_002E,C27021_002M,C27021_003E,C27021_003M,C27021_004E,C27021_004M,C27021_005E,C27021_005M,C27021_006E,C27021_006M,C27021_007E,C27021_007M,C27021_008E,C27021_008M,C27021_009E,C27021_009M,C27021_010E,C27021_010M,C27021_011E,C27021_011M,C27021_012E,C27021_012M,C27021_013E,C27021_013M,C27021_014E,C27021_014M,C27021_015E,C27021_015M,NAME,C27021_001MA,C27021_001EA,C27021_002MA,C27021_002EA,C27021_003EA,C27021_003MA,C27021_004EA,C27021_004MA,C27021_005EA,C27021_005MA,C27021_006MA,C27021_006EA,C27021_007EA,C27021_007MA,C27021_008EA,C27021_008MA,C27021_009EA,C27021_009MA,C27021_010EA,C27021_010MA,C27021_011MA,C27021_011EA,C27021_012MA,C27021_012EA,C27021_013EA,C27021_013MA,C27021_014EA,C27021_014MA,C27021_015EA,C27021_015MA,state
0400000US08,5604105,2082,4445813,18325,3417683,32163,3216118,33826,201565,11913,1028130,27504,333983,17217,289520,15317,44463,6432,694147,21662,626515,21089,67632,6843,1158292,18209,1050308,17267,107984,6148,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,6592504,1089,5351971,17542,3916050,39462,3651211,38873,264839,11456,1435921,34705,426060,21429,362483,18063,63577,7319,1009861,30538,905104,27005,104757,8574,1240533,17558,1128583,16521,111950,8012,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,4388204,1183,3580099,15600,2599366,26724,2480932,26924,118434,8918,980733,26292,272238,12163,244926,10378,27312,4154,708495,22267,663524,21421,44971,4305,808105,15528,751181,14617,56924,4873,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,4556078,1982,3734643,16149,2414206,32851,2270427,32746,143779,9601,1320437,28407,314402,17600,273617,15973,40785,5643,1006035,27874,919398,26333,86637,6600,821435,16338,729274,14636,92161,6092,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,12563908,1621,10263739,24868,7439932,45733,7028579,45246,411353,16647,2823807,46991,774254,29207,672021,23843,102233,9472,2049553,43499,1869076,41449,180477,10883,2300169,24980,2119624,25262,180545,8372,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,3113029,531,2462441,11911,1885096,21697,1820768,21481,64328,7005,577345,19040,184928,12141,168495,11160,16433,2441,392417,14713,366430,14890,25987,3348,650588,11959,610297,11508,40291,3744,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,1339549,562,1065332,8107,845057,15549,808898,14267,36159,4217,220275,15033,71329,7472,63628,6918,7701,1882,148946,12043,137712,11288,11234,2520,274217,8146,252300,7497,21917,2999,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,2960503,988,2445830,13640,1718365,25024,1606691,25037,111674,6930,727465,23893,183578,13566,155784,11774,27794,4403,543887,22388,489037,20247,54850,5826,514673,13591,465406,12627,49267,4627,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,952211,1135,777347,8647,544585,13155,516572,13086,28013,5214,232762,10596,64712,8787,57928,8212,6784,1972,168050,8969,159059,8607,8991,2193,174864,8519,164690,8105,10174,1729,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,5553564,740,4430415,15097,3455339,26009,3347884,26656,107455,6574,975076,22444,319294,15027,292344,13939,26950,4113,655782,19548,607006,18254,48776,4608,1123149,15023,1061951,13819,61198,4047,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
