GEO_ID,B11003_001E,B11003_001M,B11003_002E,B11003_002M,B11003_003E,B11003_003M,B11003_004E,B11003_004M,B11003_005E,B11003_005M,B11003_006E,B11003_006M,B11003_007E,B11003_007M,B11003_008E,B11003_008M,B11003_009E,B11003_009M,B11003_010E,B11003_010M,B11003_011E,B11003_011M,B11003_012E,B11003_012M,B11003_013E,B11003_013M,B11003_014E,B11003_014M,B11003_015E,B11003_015M,B11003_016E,B11003_016M,B11003_017E,B11003_017M,B11003_018E,B11003_018M,B11003_019E,B11003_019M,B11003_020E,B11003_020M,NAME,B11003_001EA,B11003_001MA,B11003_002EA,B11003_002MA,B11003_003EA,B11003_003MA,B11003_004EA,B11003_004MA,B11003_005EA,B11003_005MA,B11003_006EA,B11003_006MA,B11003_007EA,B11003_007MA,B11003_008EA,B11003_008MA,B11003_009EA,B11003_009MA,B11003_010EA,B11003_010MA,B11003_011MA,B11003_011EA,B11003_012MA,B11003_012EA,B11003_013MA,B11003_013EA,B11003_014EA,B11003_014MA,B11003_015EA,B11003_015MA,B11003_016EA,B11003_016MA,B11003_017EA,B11003_017MA,B11003_018EA,B11003_018MA,B11003_019EA,B11003_019MA,B11003_020EA,B11003_020MA,state
0400000US08,1372705,11369,1068185,11174,437625,8487,102358,5120,91455,5425,243812,6924,630560,9805,304520,8126,98735,4680,48746,3657,11296,2172,6037,1437,31413,2855,49989,3977,205785,6985,110251,5728,18542,2894,18994,2738,72715,4698,95534,4213,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,1683176,12254,1248277,14823,467344,9652,96943,5476,109736,5003,260665,7613,780933,11775,434899,11528,130027,6353,69842,5028,19050,2406,9868,1562,40924,4011,60185,4665,304872,9360,172732,8249,35270,3233,34202,4072,103260,5840,132140,5754,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,1138927,12100,837979,10834,310489,6574,73014,3442,65205,4101,172270,5367,527490,9081,300948,8954,83684,4516,40443,2998,11485,1781,7093,1727,21865,2215,43241,3334,217264,7261,114395,4949,24570,3037,22230,2985,67595,4112,102869,5179,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1104847,12302,748604,11164,274123,8362,62257,4593,57435,4571,154431,6655,474481,8460,356243,8662,88289,4749,41065,3843,9447,1881,8437,2111,23181,2965,47224,4382,267954,7315,144023,5805,27676,3411,31002,2801,85345,4624,123931,5437,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,3119101,17843,2293091,16141,906420,10656,210640,6987,182505,6883,513275,8599,1386671,12079,826010,13329,227200,7333,101085,5491,27279,2967,14828,2158,58978,4082,126115,5728,598810,11366,310861,10012,55895,4720,62716,4657,192250,6767,287949,7644,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,800329,8263,622142,8884,234450,5871,55251,3437,53343,3861,125856,4564,387692,7082,178187,5897,57143,3517,33576,3074,10302,1554,5562,1247,17712,2105,23567,2400,121044,4745,76923,4579,15444,2553,14859,1878,46620,3436,44121,3023,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,341752,6363,274309,6204,88224,4204,17892,2087,16052,1948,54280,3063,186085,4577,67443,4451,22189,2370,11299,1626,2966,734,1290,631,7043,1433,10890,1682,45254,3506,24612,2742,4373,1320,3940,1251,16299,2504,20642,2071,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,769134,11117,553461,9588,201529,6411,40431,2993,45923,3209,115175,4604,351932,7895,215673,8207,57646,4373,27837,2809,8122,1627,4232,1235,15483,2204,29809,3244,158027,6514,89055,5529,18755,2666,20447,2771,49853,3932,68972,3582,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,238399,6155,173834,5109,56840,3773,11288,1447,11625,1975,33927,2810,116994,3667,64565,3933,18223,2363,8698,1696,1682,710,1638,729,5378,1252,9525,1432,46342,2931,23638,2171,3932,1235,4447,1178,15259,1994,22704,2466,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,1396827,9648,1103111,10378,436012,7064,104266,4424,95590,4169,236156,5605,667099,8196,293716,6749,96300,4470,51489,3041,12969,1797,8442,1445,30078,2558,44811,2785,197416,5561,118059,4557,26447,2802,19380,1951,72232,3651,79357,4002,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
