GEO_ID,B10056_001E,B10056_001M,B10056_002E,B10056_002M,B10056_003E,B10056_003M,B10056_004E,B10056_004M,B10056_005E,B10056_005M,B10056_006E,B10056_006M,B10056_007E,B10056_007M,B10056_008E,B10056_008M,B10056_009E,B10056_009M,B10056_010E,B10056_010M,B10056_011E,B10056_011M,NAME,B10056_001MA,B10056_001EA,B10056_002MA,B10056_002EA,B10056_003MA,B10056_003EA,B10056_004MA,B10056_004EA,B10056_005MA,B10056_005EA,B10056_006MA,B10056_006EA,B10056_007EA,B10056_007MA,B10056_008EA,B10056_008MA,B10056_009MA,B10056_009EA,B10056_010MA,B10056_010EA,B10056_011MA,B10056_011EA,state
0400000US08,98651,6801,36840,3434,11353,1840,5377,1278,5976,1176,25487,2816,61811,4383,20699,2700,13129,2216,7570,1396,41112,3734,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,126941,5932,45147,2993,22414,2421,12906,1884,9508,1655,22733,2703,81794,4068,37955,2635,23453,2545,14502,1624,43839,3318,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,106559,5979,40044,2823,22554,2121,11741,1388,10813,1645,17490,1942,66515,3914,35305,2766,20191,2127,15114,1855,31210,2963,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,106403,8195,36516,3777,17795,2320,8522,1593,9273,1816,18721,2476,69887,5342,32876,3051,18379,2388,14497,1874,37011,3925,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,245054,11087,89446,5602,28567,2945,15589,2376,12978,1794,60879,4213,155608,6990,48545,3732,28715,2988,19830,2265,107063,5462,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,38781,3299,14983,1644,5778,1006,3431,896,2347,670,9205,1496,23798,2012,7892,1212,4796,1076,3096,806,15906,1609,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,21308,2626,7500,1156,2610,774,1392,521,1218,470,4890,1017,13808,1880,4213,1085,2650,966,1563,539,9595,1557,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,68089,5521,25780,2829,12950,1922,6506,1399,6444,1347,12830,1911,42309,3293,21294,2311,12872,1852,8422,1508,21015,2508,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,20234,2794,7093,1354,3464,971,1566,621,1898,675,3629,957,13141,1883,5454,1257,2786,909,2668,881,7687,1515,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,68023,4546,25546,1986,9545,1201,4276,896,5269,924,16001,1749,42477,3160,14641,1858,8856,1415,5785,1016,27836,2504,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US30,17323,2005,7173,1143,3863,825,1282,442,2581,652,3310,820,10150,1214,5724,1079,2860,864,2864,757,4426,951,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US23,19233,2422,7629,1258,1977,695,911,495,1066,398,5652,1063,11604,1495,3691,956,1868,587,1823,668,7913,1198,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US37,223877,9592,79490,3974,34376,3005,18192,2334,16184,1901,45114,3165,144387,6780,57293,3994,35023,3131,22270,2228,87094,5502,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US13,256778,10651,85323,5628,30606,3120,16245,2238,14361,1860,54717,4418,171455,7239,63392,4297,36633,3111,26759,3215,108063,6778,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US02,19049,2722,8032,1521,3721,1110,1618,656,2103,664,4311,981,11017,1567,4461,892,2393,515,2068,626,6556,1206,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US01,121462,7220,43197,3751,20729,2618,10866,1895,9863,1626,22468,2584,78265,4545,40219,3664,25384,2884,14835,1866,38046,3091,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US50,8611,1489,3712,746,1919,682,993,497,926,475,1793,509,4899,1023,1860,911,559,285,1301,848,3039,570,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US32,78006,4873,30117,2434,10311,1569,4807,1400,5504,972,19806,2012,47889,3169,17172,2341,9880,1842,7292,1421,30717,2956,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US54,45095,5237,17923,2475,11026,1925,5756,1463,5270,1135,6897,1436,27172,3270,14339,2088,6937,1613,7402,1434,12833,2296,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US40,89031,4470,34027,2207,17462,1432,8479,1017,8983,1196,16565,1707,55004,2920,26456,2099,14746,1453,11710,1617,28548,2135,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US55,72033,4359,26829,2071,9338,1286,4309,928,5029,871,17491,1902,45204,3004,15660,1763,8153,1448,7507,1064,29544,2235,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US72,74106,6167,26048,3246,9322,1857,4076,1139,5246,1231,16726,2583,48058,3549,17286,2283,9710,1830,7576,1564,30772,2966,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
0400000US51,189478,8471,68140,4032,23876,2598,11206,1712,12670,1707,44264,3574,121338,5894,41977,3380,22806,2736,19171,1932,79361,4745,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
