GEO_ID,B15002A_001E,B15002A_001M,B15002A_002E,B15002A_002M,B15002A_003E,B15002A_003M,B15002A_004E,B15002A_004M,B15002A_005E,B15002A_005M,B15002A_006E,B15002A_006M,B15002A_007E,B15002A_007M,B15002A_008E,B15002A_008M,B15002A_009E,B15002A_009M,B15002A_010E,B15002A_010M,B15002A_011E,B15002A_011M,B15002A_012E,B15002A_012M,B15002A_013E,B15002A_013M,B15002A_014E,B15002A_014M,B15002A_015E,B15002A_015M,B15002A_016E,B15002A_016M,B15002A_017E,B15002A_017M,B15002A_018E,B15002A_018M,B15002A_019E,B15002A_019M,NAME,B15002A_001EA,B15002A_001MA,B15002A_002EA,B15002A_002MA,B15002A_003EA,B15002A_003MA,B15002A_004EA,B15002A_004MA,B15002A_005MA,B15002A_005EA,B15002A_006EA,B15002A_006MA,B15002A_007EA,B15002A_007MA,B15002A_008EA,B15002A_008MA,B15002A_009EA,B15002A_009MA,B15002A_010EA,B15002A_010MA,B15002A_011EA,B15002A_011MA,B15002A_012EA,B15002A_012MA,B15002A_013EA,B15002A_013MA,B15002A_014EA,B15002A_014MA,B15002A_015EA,B15002A_015MA,B15002A_016MA,B15002A_016EA,B15002A_017EA,B15002A_017MA,B15002A_018EA,B15002A_018MA,B15002A_019EA,B15002A_019MA,state
0400000US08,3356695,10335,1672167,6471,44483,4434,78940,5322,282418,9139,74350,4770,347822,8733,135620,6028,442957,9664,265577,6445,1684528,6212,43997,4605,66468,4170,277300,9147,51965,3611,351658,8818,152835,6316,464370,8527,275935,7063,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,3821716,7017,1852157,4318,63891,4109,134104,5563,540810,10849,108325,5326,355815,8409,150271,5991,324823,8567,174118,6708,1969559,3646,55711,3979,124140,5295,554904,11628,86744,3825,394742,9207,198189,6703,354077,9429,201052,7464,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,2701832,4423,1299509,2798,74162,4438,106530,5540,361205,7450,95077,4684,260840,8036,88207,4485,193740,5508,119748,4915,1402323,2641,64506,4196,99050,4476,348679,7897,89753,4887,289851,7531,143778,4607,203924,5435,162782,5986,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,2034844,5426,988902,3937,43184,3927,78790,4186,268398,8179,66575,4473,206485,7564,59784,4055,174984,6051,90702,4701,1045942,3148,40022,3524,68796,4983,289042,8804,49015,4156,212232,8799,77757,4529,203854,7827,105224,4980,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,6447928,15429,3139223,8843,115213,5553,166321,6774,723073,11439,131222,5255,629436,9940,242429,7114,693832,11718,437697,9874,3308705,8856,117476,5819,138915,4899,749161,11523,101095,4512,664597,11338,302909,7247,737408,9690,497144,9855,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,1948160,3684,949432,2448,24880,2086,45493,3305,272307,7002,39966,2416,194040,5351,110836,4358,178705,5650,83205,4019,998728,2502,23074,1892,38857,2640,260929,7117,35113,2799,209728,5834,125639,5264,210985,5816,94403,4542,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,912131,1873,444044,1311,10142,1982,22614,2452,107324,4874,22394,2161,80362,4207,42025,3256,98038,3757,61145,3241,468087,1121,9197,2121,16764,2141,109113,4010,14850,1796,88491,4121,54371,3407,106856,4567,68445,3515,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,1612898,4946,779668,3400,34991,3068,62750,3857,227517,6951,50652,3447,171614,6203,45046,3095,116465,4658,70633,4714,833230,2385,29065,2525,58773,3364,219700,5806,47781,3425,185730,6481,76902,4715,137286,5436,77993,4162,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,488164,2724,233703,1733,7583,1440,13981,1921,68766,3958,8706,1445,43210,2833,15913,1774,48356,3154,27188,2058,254461,1557,8876,1547,12394,1936,72397,4133,5943,1122,44922,3486,23493,2256,49502,3449,36934,2371,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,3286036,4382,1613742,2967,26092,2523,64643,3540,358556,6388,55862,3156,336954,6250,185210,5093,393503,7185,192922,4799,1672294,2465,19936,2082,41995,3168,354254,7332,34602,2759,347314,7263,217151,5161,438290,8582,218752,6335,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
