GEO_ID,C25093_001E,C25093_001M,C25093_002E,C25093_002M,C25093_003E,C25093_003M,C25093_004E,C25093_004M,C25093_005E,C25093_005M,C25093_006E,C25093_006M,C25093_007E,C25093_007M,C25093_008E,C25093_008M,C25093_009E,C25093_009M,C25093_010E,C25093_010M,C25093_011E,C25093_011M,C25093_012E,C25093_012M,C25093_013E,C25093_013M,C25093_014E,C25093_014M,C25093_015E,C25093_015M,C25093_016E,C25093_016M,C25093_017E,C25093_017M,NAME,C25093_001EA,C25093_001MA,C25093_002MA,C25093_002EA,C25093_003EA,C25093_003MA,C25093_004EA,C25093_004MA,C25093_005EA,C25093_005MA,C25093_006EA,C25093_006MA,C25093_007EA,C25093_007MA,C25093_008EA,C25093_008MA,C25093_009EA,C25093_009MA,C25093_010EA,C25093_010MA,C25093_011EA,C25093_011MA,C25093_012EA,C25093_012MA,C25093_013MA,C25093_013EA,C25093_014EA,C25093_014MA,C25093_015EA,C25093_015MA,C25093_016EA,C25093_016MA,C25093_017EA,C25093_017MA,state
0400000US08,1417981,9500,12718,1781,7826,1441,4740,1217,152,192,153488,5404,116456,4535,36243,2901,789,436,850826,8727,671977,8415,173479,6459,5370,1287,400949,5810,294577,5604,104179,4313,2193,561,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,1791749,12877,23507,2833,17780,2377,5583,1247,144,235,200097,6157,170477,5893,28968,2513,652,376,1033673,10471,880589,10533,145570,5806,7514,1433,534472,5645,414309,5167,115619,4627,4544,938,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,1167729,12565,13456,1807,10436,1620,2771,804,249,233,115861,4059,94455,3472,20597,2837,809,542,663449,8608,546827,8576,107829,4755,8793,1650,374963,5339,294334,4862,78048,3678,2581,693,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1137524,12385,13754,2071,10175,1967,3349,1008,230,249,116122,5161,92530,4524,22235,3383,1357,697,642987,10438,520496,10407,112310,5831,10181,1863,364661,5680,291407,5858,70140,4472,3114,775,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,3210113,17405,26368,2606,16101,2120,9640,1764,627,458,306717,8202,242964,6620,62163,4865,1590,767,1899637,11342,1497551,12225,388636,8934,13450,1800,977391,7811,690375,7541,279563,7487,7453,1379,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,903751,8439,16180,2225,12338,1921,3396,817,446,392,106337,3847,90542,3777,15561,2136,234,220,508742,6966,432362,6791,73777,3944,2603,703,272492,3753,216081,4086,54466,2768,1945,478,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,378742,6605,2334,845,1378,634,956,492,0,192,29846,2542,23271,2267,6492,1084,83,137,230314,4328,177354,4721,51928,3561,1032,588,116248,3195,77259,3300,38219,2972,770,392,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,760401,8395,9244,1656,6270,1304,2916,923,58,69,73450,3961,60940,3600,12136,2052,374,357,419727,6631,350560,6776,64261,5011,4906,1041,257980,3958,206415,4309,49665,3667,1900,600,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,261145,4466,1647,758,817,497,830,450,0,200,21450,1969,16366,1752,4599,1114,485,464,146715,3796,109940,3596,35649,2651,1126,481,91333,2370,67812,2358,22788,2015,733,522,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,1567939,9341,16560,2061,11375,1553,4957,1114,228,256,181838,4456,152413,4154,29229,2341,196,162,937243,7629,787443,7543,144685,4347,5115,940,432298,4635,324638,4321,105277,3793,2383,557,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
