GEO_ID,C27001I_001E,C27001I_001M,C27001I_002E,C27001I_002M,C27001I_003E,C27001I_003M,C27001I_004E,C27001I_004M,C27001I_005E,C27001I_005M,C27001I_006E,C27001I_006M,C27001I_007E,C27001I_007M,C27001I_008E,C27001I_008M,C27001I_009E,C27001I_009M,C27001I_010E,C27001I_010M,NAME,C27001I_001EA,C27001I_001MA,C27001I_002MA,C27001I_002EA,C27001I_003EA,C27001I_003MA,C27001I_004EA,C27001I_004MA,C27001I_005EA,C27001I_005MA,C27001I_006EA,C27001I_006MA,C27001I_007EA,C27001I_007MA,C27001I_008EA,C27001I_008MA,C27001I_009EA,C27001I_009MA,C27001I_010EA,C27001I_010MA,state
0400000US08,1212400,2205,420945,2764,393097,5288,27848,4054,708423,3466,559212,10029,149211,9847,83032,1474,79305,1932,3727,1229,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,468062,1845,183388,2288,164676,4506,18712,3548,264830,2375,190417,6399,74413,5914,19844,1539,19390,1477,454,319,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,157795,2543,63052,2215,57689,2507,5363,1587,87604,2463,56851,3705,30753,3275,7139,1332,6336,1196,803,557,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,232610,2491,78961,2104,68232,2944,10729,2277,134947,2876,81903,4058,53044,4206,18702,1945,18075,1913,627,640,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,2191824,2418,752178,3106,717045,5133,35133,4413,1304643,4067,1007771,13320,296872,13545,135003,1578,129079,2576,5924,1849,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,189631,1049,78164,1670,74995,1897,3169,974,105178,1960,83738,2730,21440,2575,6289,1193,6240,1189,49,87,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,51340,751,17721,615,16665,853,1056,612,30640,1107,24648,1749,5992,1444,2979,570,2824,612,155,150,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,227716,1989,92115,2154,80554,3313,11561,3232,128055,2366,85326,3969,42729,3569,7546,1362,6744,1349,802,412,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,91131,342,33739,422,31217,1334,2522,1225,53235,774,39972,2244,13263,2158,4157,553,3795,577,362,415,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,305046,928,121373,1343,111462,2355,9911,2307,173290,1774,131154,4693,42136,4148,10383,1111,10142,1092,241,198,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
