GEO_ID,B20017I_001E,B20017I_001M,B20017I_002E,B20017I_002M,B20017I_003E,B20017I_003M,B20017I_004E,B20017I_004M,B20017I_005E,B20017I_005M,B20017I_006E,B20017I_006M,B20017I_007E,B20017I_007M,NAME,B20017I_001EA,B20017I_001MA,B20017I_002EA,B20017I_002MA,B20017I_003EA,B20017I_003MA,B20017I_004MA,B20017I_004EA,B20017I_005MA,B20017I_005EA,B20017I_006MA,B20017I_006EA,B20017I_007EA,B20017I_007MA,state
0400000US08,30490,471,34958,1358,41012,601,13660,2300,24973,773,34998,966,10916,507,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,26839,693,31427,722,36710,1635,12203,1763,21387,760,30625,1269,9719,1136,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,23373,1914,26675,1815,31677,1338,10821,2018,19288,2400,27325,3290,7784,2231,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,25570,1166,29268,2904,36972,5657,15962,2394,18523,2392,32447,4997,8143,1596,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,29512,697,32137,304,38267,1344,15674,656,24082,821,32712,1067,10936,335,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,27214,1625,32701,2545,40245,2115,11034,783,21909,1333,30292,1471,9565,1623,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,26119,2888,32731,3925,43119,11043,9188,3643,21585,2355,33242,6850,9480,1914,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,25160,1023,29821,1876,32482,2268,10975,2992,20925,745,25865,924,10152,1183,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,28036,2325,34592,3334,44381,5021,12307,5463,21040,2560,31037,5589,10334,2976,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,27913,1295,31203,966,37451,2015,11642,1787,22060,1470,33330,1609,11055,847,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US30,25969,2927,27304,4586,36119,2442,10980,1996,23117,5660,34281,7502,11786,3289,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US23,24768,7503,30393,13646,57529,11814,10233,6600,20208,11601,35163,5107,7800,2384,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US37,23482,662,26351,619,30330,857,11956,904,19032,937,27648,1341,10028,764,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US13,26538,545,30803,527,34536,2133,13502,2315,21272,636,27318,846,10145,677,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US02,35282,4028,46461,8946,55825,6178,12454,6150,26716,3913,36454,2446,16273,3716,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US01,23538,1887,27327,2580,33693,3827,15108,3188,16867,1705,26736,2506,6907,1292,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US50,28054,6554,24176,8170,35006,4521,4662,9281,30697,4635,35307,7131,13395,12848,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US32,28712,744,31942,488,36957,710,15358,1383,22953,1271,31575,599,11019,644,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US54,21831,3082,28591,8412,41263,14294,8224,6184,17182,2983,24875,2380,9812,2925,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US40,23684,952,29414,1480,34887,2024,10227,1063,17977,1325,25725,1134,8376,947,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US55,27305,861,31657,562,36720,726,11007,1009,22014,835,30272,1280,10591,1085,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US72,16960,205,17040,228,22997,545,7838,338,16858,308,23299,443,7804,325,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
0400000US51,29779,972,34779,1648,40996,1031,16885,1472,22469,969,32457,2271,10907,629,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US38,28750,4788,33420,7327,42257,14128,14469,2890,21428,5666,30857,5171,9018,3988,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US45,22467,1008,26365,1424,34183,4076,10753,587,19950,1811,26575,2314,8614,1509,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US41,26438,673,30419,915,35800,1506,13454,3503,21775,659,30409,1668,10184,1075,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US56,28571,4807,35822,3815,47528,7431,13615,7113,17845,3956,36085,4443,9852,5212,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US06,27657,281,31590,145,39555,580,14303,447,23181,232,33599,569,11882,128,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US28,22486,2135,26753,4452,34326,3507,7866,3119,19025,1713,22340,3173,8778,4570,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US09,27099,828,30606,549,39857,1827,12746,1694,22429,1144,35311,1793,10761,626,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US48,26889,176,31351,193,37315,267,11862,283,21406,203,30580,242,9861,249,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US24,31025,561,35816,885,41190,1005,14840,1463,24688,1257,35569,984,11838,661,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US12,27317,280,30728,292,36299,432,12327,323,23980,482,31853,403,11552,212,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US25,27663,989,32098,1436,42772,1332,13913,1953,24537,963,36424,1500,13075,1230,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US11,46149,7139,47135,8739,65715,6864,18482,9376,37348,19875,67175,14009,11128,2877,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US49,27056,1169,32980,1927,39282,1979,11888,1337,20690,1037,30765,945,9875,1018,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US36,30176,287,32355,455,41031,406,14222,1012,25431,476,38934,1167,11817,275,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US34,30804,408,34701,1241,41480,697,15308,690,24984,758,36116,1099,12115,409,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US39,25752,838,29758,1993,39410,2443,10924,1152,21195,864,32166,2104,9696,1210,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US29,26858,940,29451,2800,41112,1584,11067,2057,25499,1251,32185,1593,10128,1370,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US42,25434,574,28852,1110,38449,1830,10902,796,21400,627,32136,1170,8767,800,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US26,27122,658,31404,787,38604,2861,12669,1939,21950,870,31919,652,9304,971,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US31,26870,879,32322,2020,37628,2058,13277,3160,21572,1429,30216,1663,10104,1329,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US16,25013,1264,30426,1317,35345,2088,10650,1576,18684,1926,25635,1713,8306,2184,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US35,25787,795,29941,1212,38057,1637,10329,676,21456,810,31704,1060,9901,620,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US15,33419,2269,40242,4645,49326,2731,11550,5760,29825,2697,40089,2800,11512,1160,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US46,26092,2419,31609,1760,35830,3274,7002,5139,20965,1940,26957,2122,13893,4249,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US53,29310,1108,33944,1659,39486,1171,16559,1030,22883,1081,32472,1177,11837,662,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US44,26833,1958,30239,2583,37101,4698,10418,2423,23483,3406,35317,3636,11306,1574,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US04,26886,363,30443,436,35899,504,12126,534,22924,770,31779,385,10903,321,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US47,24253,1372,27553,1290,31578,1135,10929,1447,19201,1927,26640,1250,8436,2203,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US20,26599,690,31078,611,36108,1170,10832,1220,20893,991,27749,1909,8969,1475,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
