GEO_ID,B13002A_001E,B13002A_001M,B13002A_002E,B13002A_002M,B13002A_003E,B13002A_003M,B13002A_004E,B13002A_004M,B13002A_005E,B13002A_005M,B13002A_006E,B13002A_006M,B13002A_007E,B13002A_007M,NAME,B13002A_001MA,B13002A_001EA,B13002A_002MA,B13002A_002EA,B13002A_003EA,B13002A_003MA,B13002A_004EA,B13002A_004MA,B13002A_005EA,B13002A_005MA,B13002A_006MA,B13002A_006EA,B13002A_007MA,B13002A_007EA,state
0400000US08,1133166,6741,56784,4334,43704,3808,13080,2536,1076382,7885,501560,8862,574822,7935,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,1248802,5147,68438,4440,45011,3571,23427,2631,1180364,6390,546121,9071,634243,10562,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,874518,3924,47757,3348,32657,2668,15100,2015,826761,5311,402876,6992,423885,7369,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,644700,4521,36907,3562,25658,2629,11249,2003,607793,5126,277014,7415,330779,6999,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,2051905,9832,109121,5247,82575,4502,26546,2673,1942784,10185,873974,9040,1068810,10129,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,624380,2639,36492,2713,26702,2333,9790,1345,587888,3338,269634,5756,318254,5945,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,271790,2027,12513,1874,7900,1215,4613,1248,259277,2646,111370,3774,147907,4318,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,511109,3445,29025,2253,19436,1937,9589,1536,482084,3987,238037,6624,244047,6478,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,137212,1642,7204,1562,4792,1245,2412,899,130008,1887,55770,2652,74238,3134,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,1009462,4138,53034,2836,41747,2570,11287,1667,956428,4431,445435,6471,510993,6858,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US30,198094,1476,9730,1475,6885,1279,2845,1006,188364,2081,89751,3318,98613,3178,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US23,263679,1455,13715,1946,9515,1705,4200,1058,249964,2485,106249,3512,143715,4119,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US37,1597204,6785,75401,4382,55928,4110,19473,2449,1521803,7936,753887,11650,767916,10756,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US13,1410376,7544,67648,4356,49922,3666,17726,2293,1342728,9009,655215,11985,687513,12421,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US02,107800,1435,6102,1204,4256,1014,1846,795,101698,1988,51995,2451,49703,2526,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US01,727708,3331,39709,3208,29400,3143,10309,1778,687999,4441,353343,6775,334656,7636,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US50,128607,990,5408,1211,3585,879,1823,770,123199,1524,51383,2590,71816,2396,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US32,416803,6126,20785,2569,12599,1842,8186,1659,396018,6487,178301,5827,217717,6610,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US54,359788,2379,17165,2442,10059,1627,7106,1584,342623,3260,152625,4982,189998,5541,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US40,632104,3568,34764,2533,24429,2025,10335,1623,597340,3906,295087,4966,302253,5565,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US55,1071936,3367,53908,3003,40837,2805,13071,1660,1018028,3793,460111,5914,557917,6755,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US72,474645,8850,13926,2146,7166,1185,6760,1623,460719,8602,131437,5389,329282,8701,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
0400000US51,1303598,6674,66064,4150,50097,3348,15967,2470,1237534,7487,599240,8802,638294,8644,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US38,141983,1569,9213,1361,7234,1297,1979,594,132770,2077,63546,3051,69224,3132,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US45,745885,4307,39282,3521,28165,2890,11117,1913,706603,4893,348764,7427,357839,7344,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US41,797287,5591,34955,2661,28080,2419,6875,1452,762332,6261,338994,7983,423338,8415,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US56,115928,1938,7062,1248,4591,931,2471,810,108866,2419,52151,2778,56715,3232,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US06,5433788,21903,256074,8020,177007,6933,79067,5934,5177714,23012,2172390,21969,3005324,21071,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US28,379478,2942,18367,2003,14023,1778,4344,1124,361111,3439,187767,4786,173344,4906,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US09,579298,4319,22737,2255,18378,2350,4359,1125,556561,5274,227973,5986,328588,6576,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US48,5042776,17035,266076,11264,179889,8466,86187,6389,4776700,19914,2212267,21844,2564433,23961,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US24,723222,4836,37575,2827,29765,2448,7810,1618,685647,5618,320309,6710,365338,6944,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US12,3288060,14925,155003,8599,99091,6212,55912,5024,3133057,16180,1347265,15959,1785792,21003,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US25,1229407,5704,50526,3194,38156,2951,12370,1799,1178881,5864,464398,8529,714483,9025,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US11,98973,1631,3486,807,3194,747,292,285,95487,1788,28020,2134,67467,2857,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
