B17001_035E,B17001_035M,B17001_036E,B17001_036M,B17001_037E,B17001_037M,B17001_038E,B17001_038M,B17001_039E,B17001_039M,B17001_040E,B17001_040M,B17001_041E,B17001_041M,B17001_042E,B17001_042M,B17001_043E,B17001_043M,B17001_044E,B17001_044M,B17001_045E,B17001_045M,B17001_046E,B17001_046M,B17001_047E,B17001_047M,B17001_048E,B17001_048M,B17001_049E,B17001_049M,B17001_050E,B17001_050M,B17001_051E,B17001_051M,B17001_052E,B17001_052M,B17001_053E,B17001_053M,B17001_054E,B17001_054M,B17001_055E,B17001_055M,B17001_056E,B17001_056M,B17001_057E,B17001_057M,B17001_058E,B17001_058M,B17001_059E,B17001_059M,GEO_ID,B17001_001E,B17001_001M,B17001_002E,B17001_002M,B17001_003E,B17001_003M,B17001_004E,B17001_004M,B17001_005E,B17001_005M,B17001_006E,B17001_006M,B17001_007E,B17001_007M,B17001_008E,B17001_008M,B17001_009E,B17001_009M,B17001_010E,B17001_010M,B17001_011E,B17001_011M,B17001_012E,B17001_012M,B17001_013E,B17001_013M,B17001_014E,B17001_014M,B17001_015E,B17001_015M,B17001_016E,B17001_016M,B17001_017E,B17001_017M,B17001_018E,B17001_018M,B17001_019E,B17001_019M,B17001_020E,B17001_020M,B17001_021E,B17001_021M,B17001_022E,B17001_022M,B17001_023E,B17001_023M,B17001_024E,B17001_024M,B17001_025E,B17001_025M,B17001_026E,B17001_026M,B17001_027E,B17001_027M,B17001_028E,B17001_028M,B17001_029E,B17001_029M,B17001_030E,B17001_030M,B17001_031E,B17001_031M,B17001_032E,B17001_032M,B17001_033E,B17001_033M,B17001_034E,B17001_034M,B17001_035EA,B17001_035MA,B17001_036MA,B17001_036EA,B17001_037EA,B17001_037MA,B17001_038MA,B17001_038EA,B17001_039MA,B17001_039EA,B17001_040MA,B17001_040EA,B17001_041EA,B17001_041MA,B17001_042EA,B17001_042MA,B17001_043MA,B17001_043EA,B17001_044MA,B17001_044EA,B17001_045MA,B17001_045EA,B17001_046EA,B17001_046MA,B17001_047MA,B17001_047EA,B17001_048MA,B17001_048EA,B17001_049MA,B17001_049EA,B17001_050MA,B17001_050EA,B17001_051EA,B17001_051MA,B17001_052EA,B17001_052MA,B17001_053MA,B17001_053EA,B17001_054MA,B17001_054EA,B17001_055MA,B17001_055EA,B17001_056EA,B17001_056MA,B17001_057EA,B17001_057MA,B17001_058MA,B17001_058EA,B17001_059MA,B17001_059EA,NAME,B17001_001EA,B17001_001MA,B17001_002EA,B17001_002MA,B17001_003MA,B17001_003EA,B17001_004MA,B17001_004EA,B17001_005MA,B17001_005EA,B17001_006EA,B17001_006MA,B17001_007EA,B17001_007MA,B17001_008MA,B17001_008EA,B17001_009MA,B17001_009EA,B17001_010MA,B17001_010EA,B17001_011MA,B17001_011EA,B17001_012MA,B17001_012EA,B17001_013EA,B17001_013MA,B17001_014MA,B17001_014EA,B17001_015EA,B17001_015MA,B17001_016MA,B17001_016EA,B17001_017MA,B17001_017EA,B17001_018EA,B17001_018MA,B17001_019EA,B17001_019MA,B17001_020EA,B17001_020MA,B17001_021MA,B17001_021EA,B17001_022MA,B17001_022EA,B17001_023EA,B17001_023MA,B17001_024EA,B17001_024MA,B17001_025MA,B17001_025EA,B17001_026MA,B17001_026EA,B17001_027MA,B17001_027EA,B17001_028EA,B17001_028MA,B17001_029EA,B17001_029MA,B17001_030EA,B17001_030MA,B17001_031MA,B17001_031EA,B17001_032MA,B17001_032EA,B17001_033EA,B17001_033MA,B17001_034EA,B17001_034MA,state
190326,6456,99657,4533,30878,2930,65984,3205,203781,4313,420782,5606,370118,3841,330083,3204,313178,3318,224889,1972,119483,1718,2492009,10606,142084,3192,31429,2856,178380,5424,94391,4346,33858,2179,59281,2619,182793,4002,376787,4201,345736,3691,324287,3365,332603,3428,240104,2639,150276,2512,0400000US08,5577020,2234,537492,18885,242400,10241,20460,2606,4323,1458,29050,3653,12375,2024,3377,1003,7191,1334,40920,3318,32714,3501,22080,2654,20833,2258,28893,2725,12958,1535,7226,1334,295092,11347,18848,2698,4233,1260,26839,2807,10449,2153,4633,1203,7709,1621,49009,3729,45150,3549,30939,2946,28074,3002,30515,3010,20523,2270,18171,2151,5039528,18975,2547519,12210,150418,3194,27942,2378,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
211789,5712,118819,5523,36402,2479,74974,3438,236075,5460,384786,5140,363216,4833,373681,4178,381123,3251,264787,2104,155095,2525,2829176,15777,153312,4283,34176,2940,208268,6454,104178,4785,37656,2937,69838,3709,207253,4690,358507,5040,362123,4763,379963,3758,398072,3772,295465,2734,220365,2947,0400000US18,6489261,4578,852638,24677,373394,13207,38227,3582,6127,1312,45275,3896,21852,2862,8076,1543,14587,1938,59519,5048,39809,3608,35677,3539,35622,2975,38834,3253,18444,1949,11345,1516,479244,15356,43278,3759,6386,1071,44641,4248,24056,2472,6678,1387,16187,2179,72080,4358,72140,4563,50807,4166,44784,3023,47820,3308,26294,1902,24093,2356,5636623,25565,2807447,15380,172973,4121,33727,3233,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
127391,4951,67798,3656,23435,1882,45983,2395,150724,4652,239018,3966,231306,3770,245253,3142,246750,3807,184918,2292,105248,1751,1805479,14685,98686,3057,18034,2279,122845,4584,64075,4423,21832,2336,42535,2489,128568,4008,229340,4785,224743,3976,246982,3690,260977,3692,204052,2950,142810,2767,0400000US21,4326305,3844,730408,22182,324947,11725,34189,3309,6103,1451,41806,3581,16669,2374,5953,1118,11365,1703,40423,3655,37277,3481,36330,3361,31792,2628,37570,2874,16266,1685,9204,1250,405461,14141,31138,2860,6675,1599,39228,3911,17484,2424,5522,1316,9578,1524,51397,3735,57658,4429,48612,3011,43591,3411,47560,3482,24689,2412,22329,2319,3595897,21367,1790418,12335,101723,3642,20871,2464,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
135713,6567,74625,5282,22214,2393,47658,3412,155011,5011,262708,6254,241524,4714,235274,4536,241652,3715,178350,3087,98221,2250,1865428,17077,106059,4502,19417,3015,130676,5200,66814,5114,24511,2467,44810,3177,138846,4888,253789,6053,238605,4969,243813,4980,262493,3753,199055,3680,136540,2931,0400000US22,4529028,2896,843626,23603,367056,13261,45729,4875,8774,1987,46121,4295,26462,3237,7736,1749,13995,2266,43707,4319,39880,3945,33252,3505,31891,3306,39453,3695,19148,2230,10908,1556,476570,14931,40812,3702,9742,2526,47453,3341,18730,2525,5269,1314,12395,2167,60437,4484,69207,4903,58813,4270,46316,3970,50733,3310,30872,2731,25791,2584,3685402,23781,1819974,13570,104786,5526,22238,2785,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
399295,8607,218478,7023,71893,3552,144056,3675,450281,5574,786644,6692,739811,5421,736557,4572,723521,5079,487186,2755,298575,2965,5505522,18348,297127,4452,58530,3851,386241,8450,204600,7553,68873,3970,135757,4208,408040,6138,742975,7889,725160,5105,748816,5987,759990,4741,543885,4198,425528,3552,0400000US17,12447271,3849,1509247,32779,662565,19095,65832,4752,13010,1708,79395,6213,37129,3984,12158,1802,26605,2757,92550,5582,78956,5535,63258,3848,58078,3753,75630,4147,36648,2267,23316,2342,846682,18227,66943,4188,11646,2102,74882,4642,35781,3971,11551,2015,21994,2237,119900,5170,126511,6932,96761,4343,77031,5460,93284,4742,58285,3658,52113,3833,10938024,33365,5432502,20185,319158,5145,57047,3506,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
105795,3597,57968,2936,17852,1699,36831,1925,109070,3857,179196,3512,176781,2960,169470,2819,188563,2502,135204,1601,84559,1280,1350667,8121,82447,2458,16926,1767,101946,4039,51980,2716,14854,1370,35204,1911,90217,3571,166747,3483,169004,2731,168449,2454,193554,2204,144045,1592,115294,1706,0400000US19,3055939,1516,343504,13910,150492,8443,14891,2253,3213,975,16019,2297,7041,1380,3024,850,5699,1085,28807,3327,16979,2350,13716,1963,12863,1933,15536,1993,6179,922,6525,927,193012,7524,13355,1851,3228,942,14900,2016,8187,1611,2928,731,4737,968,42143,3159,26184,2546,20489,2124,14954,1767,18008,2007,9878,1093,14021,1361,2712435,13890,1361768,8001,84837,2515,15642,1764,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
36750,2658,20853,2171,8807,1171,14093,1303,47000,1785,79484,1748,71421,1854,88906,1516,98203,1622,66740,1205,37453,919,609375,4750,26537,1509,6122,1118,36925,2213,20437,2225,7430,1173,14600,1251,42571,1697,71976,1678,70762,1870,90618,1360,101744,1623,70148,1494,49505,1107,0400000US33,1312006,1622,100220,6538,44145,3715,4182,1102,559,377,3905,1322,2671,821,618,356,1220,551,6396,1451,5570,1235,4296,1194,4117,986,5729,1076,3156,808,1726,622,56075,4362,3813,1159,579,374,5399,1287,1530,651,1235,648,1119,564,7618,1420,8504,1305,6536,1320,4841,1090,6694,1384,4530,1125,3677,785,1211786,6376,602411,4244,26797,1545,5904,1398,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
91460,4567,45617,3283,16248,1913,31278,2164,103309,4327,165990,4097,153708,4097,160097,4013,159605,2721,123262,2060,78631,1674,1211105,11598,65179,3227,12821,2006,84775,4165,44819,3613,15539,1873,31747,2446,84688,3865,155272,4078,153431,3375,157867,3522,166250,3691,137377,2354,101340,2013,0400000US05,2925448,2347,504504,19795,214846,10622,28287,2599,4769,1235,28282,3356,11931,1885,3127,890,8534,1478,29348,3194,21853,2497,19702,2934,17179,2529,21869,2222,13034,1682,6931,1263,289658,11662,25343,3175,3749,1039,31169,3337,13798,2523,5020,1295,6760,1515,40135,3706,41203,3238,30666,2884,29942,2956,31556,3136,18787,2116,11530,1431,2420944,19685,1209839,12080,66736,2987,13898,1879,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
27359,2347,15209,1763,3707,831,9944,963,32517,1804,54593,1911,48525,1394,52955,1081,55354,1637,46307,1240,29134,908,423185,6580,21192,1798,2920,1155,27537,2490,14769,1928,4344,1014,9833,1173,27677,1581,53045,2231,52068,1601,55593,1588,63633,1706,53865,999,36709,887,0400000US10,940786,1409,117242,9236,52576,4529,5574,1553,1104,629,5116,1296,4447,1548,1332,613,2055,646,4575,1391,6746,1741,4586,1337,4865,957,7858,1303,3012,863,1306,484,64666,6479,4500,1537,797,559,7172,1734,2401,1116,892,507,1893,966,8123,1498,10313,2113,5484,1235,8086,1522,8451,1704,3747,798,2807,693,823544,9454,400359,4719,21364,1702,3391,1083,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
191928,3828,99673,3164,32134,2242,65685,2632,192221,4089,353521,3268,333800,3537,322276,2698,342563,2808,229329,1633,140905,1693,2467059,10090,151161,2362,28907,2092,184099,4670,94889,4551,32023,1839,61768,2136,168040,3640,331510,3492,322777,3060,317372,2677,351449,2441,242334,2403,180730,2454,0400000US27,5488344,2504,529077,16528,238105,9999,22435,2457,3898,954,25649,2363,12078,1831,4417,1001,8526,1420,37722,3548,27256,2496,23016,2708,21841,1961,27874,2331,13446,1304,9947,1382,290972,9602,20398,2159,3956,1030,29393,3045,8962,1395,3996,981,5794,1156,52531,3586,39730,2994,29733,2731,24213,2191,30605,2176,20452,2005,21209,1843,4959267,16706,2492208,10455,155754,3006,32419,2454,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
