GEO_ID,C27001D_001E,C27001D_001M,C27001D_002E,C27001D_002M,C27001D_003E,C27001D_003M,C27001D_004E,C27001D_004M,C27001D_005E,C27001D_005M,C27001D_006E,C27001D_006M,C27001D_007E,C27001D_007M,C27001D_008E,C27001D_008M,C27001D_009E,C27001D_009M,C27001D_010E,C27001D_010M,NAME,C27001D_001EA,C27001D_001MA,C27001D_002EA,C27001D_002MA,C27001D_003EA,C27001D_003MA,C27001D_004EA,C27001D_004MA,C27001D_005EA,C27001D_005MA,C27001D_006EA,C27001D_006MA,C27001D_007EA,C27001D_007MA,C27001D_008MA,C27001D_008EA,C27001D_009EA,C27001D_009MA,C27001D_010EA,C27001D_010MA,state
0400000US08,178500,5252,39095,3261,38062,3246,1033,560,120915,3240,111798,3309,9117,1740,18490,962,18186,1033,304,325,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,153492,5529,36992,2931,33346,2643,3646,1705,105212,3644,95029,3930,10183,2595,11288,1415,10762,1318,526,460,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,65156,3482,16144,1739,15507,1759,637,354,44071,2710,39932,2503,4139,1501,4941,1108,4941,1108,0,197,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,75636,3088,15728,1813,14397,1700,1331,717,52218,2380,45817,2684,6401,1490,7690,1163,7434,1193,256,310,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,715235,6707,149335,4099,141993,4685,7342,2045,475872,4606,436968,5651,38904,4486,90028,1759,86785,2132,3243,1478,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,79489,3079,18889,1657,18589,1683,300,390,55678,2513,50216,2653,5462,1783,4922,1118,4846,1104,76,122,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,35998,2297,8436,1448,8182,1475,254,252,25395,1541,22246,1744,3149,1120,2167,604,2041,604,126,157,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,47277,2611,10303,1404,9905,1334,398,524,33798,2430,29941,2595,3857,1126,3176,1056,2824,988,352,383,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,38909,1597,8690,857,8605,857,85,109,25882,1043,23841,1494,2041,1206,4337,451,3981,497,356,317,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,272042,4394,77803,2688,75280,2789,2523,930,177269,2995,167553,3170,9716,2013,16970,1217,16435,1253,535,401,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
