GEO_ID,B12505_001E,B12505_001M,B12505_002E,B12505_002M,B12505_003E,B12505_003M,B12505_004E,B12505_004M,B12505_005E,B12505_005M,B12505_006E,B12505_006M,B12505_007E,B12505_007M,B12505_008E,B12505_008M,B12505_009E,B12505_009M,B12505_010E,B12505_010M,B12505_011E,B12505_011M,B12505_012E,B12505_012M,B12505_013E,B12505_013M,NAME,B12505_001MA,B12505_001EA,B12505_002MA,B12505_002EA,B12505_003EA,B12505_003MA,B12505_004EA,B12505_004MA,B12505_005MA,B12505_005EA,B12505_006MA,B12505_006EA,B12505_007MA,B12505_007EA,B12505_008MA,B12505_008EA,B12505_009EA,B12505_009MA,B12505_010MA,B12505_010EA,B12505_011MA,B12505_011EA,B12505_012MA,B12505_012EA,B12505_013EA,B12505_013MA,state
0400000US08,4643242,3035,2324144,3672,837792,11679,1486352,11321,1118896,13736,288871,8558,78585,4048,2319098,3328,670316,8895,1648782,8531,1222392,13083,335479,9149,90911,4375,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,5392554,3850,2630369,4390,913506,9963,1716863,9871,1234439,13189,362759,8155,119665,5374,2762185,4386,789205,10169,1972980,10479,1402050,13570,420041,8722,150889,5130,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,3629102,3031,1769333,3523,572802,8021,1196531,9254,832578,13072,266675,7681,97278,4400,1859769,3655,482203,9052,1377566,8300,953100,11385,311747,7701,112719,5341,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,3742752,2833,1805868,4161,707937,12198,1097931,11619,803755,12995,228510,7650,65666,4264,1936884,3955,660267,10317,1276617,10095,942862,10659,255623,6735,78132,4439,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,10381247,2772,5059081,3380,1942203,12161,3116878,12434,2468206,14248,524473,11256,124199,4633,5322166,3498,1729963,13050,3592203,13283,2849140,15867,597717,9318,145346,5491,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,2545586,2869,1252744,3239,425560,7215,827184,7170,636853,8196,152725,4918,37606,2472,1292842,2770,348319,6049,944523,6262,719014,7870,178480,6365,47029,3038,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,1147794,1036,564372,1636,194346,4667,370026,4623,276858,5537,74999,3534,18169,1808,583422,1587,157767,4172,425655,4337,318657,4476,85659,3557,21339,1966,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,2429708,3636,1178871,3696,381241,7749,797630,8312,516733,9724,191058,6117,89839,4764,1250837,3727,331757,8065,919080,8015,585298,10620,226533,6184,107249,5443,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,798598,418,382718,890,143198,4704,239520,4667,176073,5891,51632,3472,11815,1607,415880,910,129238,4997,286642,4831,214311,5907,57286,3777,15045,2031,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,4525167,2579,2239045,3619,796295,8039,1442750,8743,1174614,9937,225064,6314,43072,2367,2286122,2601,666032,8038,1620090,8112,1319014,10312,251647,6333,49429,2788,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
