GEO_ID,C15002I_001E,C15002I_001M,C15002I_002E,C15002I_002M,C15002I_003E,C15002I_003M,C15002I_004E,C15002I_004M,C15002I_005E,C15002I_005M,C15002I_006E,C15002I_006M,C15002I_007E,C15002I_007M,C15002I_008E,C15002I_008M,C15002I_009E,C15002I_009M,C15002I_010E,C15002I_010M,C15002I_011E,C15002I_011M,NAME,C15002I_001EA,C15002I_001MA,C15002I_002EA,C15002I_002MA,C15002I_003EA,C15002I_003MA,C15002I_004MA,C15002I_004EA,C15002I_005EA,C15002I_005MA,C15002I_006EA,C15002I_006MA,C15002I_007MA,C15002I_007EA,C15002I_008MA,C15002I_008EA,C15002I_009MA,C15002I_009EA,C15002I_010MA,C15002I_010EA,C15002I_011MA,C15002I_011EA,state
0400000US08,694356,2961,351929,3062,95520,5805,112844,5445,89712,5830,53853,4322,342427,1820,89599,5287,95429,5306,94478,5338,62921,3855,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,240030,2572,125006,2078,42841,3635,41026,3046,25638,2629,15501,1877,115024,1998,32106,2776,36713,2649,26486,2545,19719,2458,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,81491,2479,43029,2178,14360,2053,11978,1788,8377,1252,8314,1516,38462,1564,11492,1597,10625,1546,8307,1245,8038,1563,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,138684,3148,74963,3054,20361,2519,23277,3050,19128,2776,12197,2021,63721,2013,17229,2170,17215,2303,15444,2051,13833,1946,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,1242292,2159,638927,1779,203807,6896,215564,6565,136131,6409,83425,4936,603365,1934,174294,5636,178174,6621,148824,5947,102073,5441,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,91011,2264,45828,2136,17061,1912,12602,1807,9759,1801,6406,1306,45183,1918,15479,1518,12001,1672,10826,1776,6877,1195,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,28896,753,14439,678,3285,987,4256,955,3600,861,3298,866,14457,631,3190,925,4528,1206,3785,1039,2954,770,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,111297,3187,57671,2252,24047,2455,17100,1848,9783,1951,6741,1545,53626,1937,20352,2234,14466,1869,12217,1768,6591,1322,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,48602,472,25090,575,10059,1464,6807,1187,4385,1276,3839,951,23512,679,8271,1182,7075,1018,3959,1061,4207,949,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,154720,2161,79851,1705,27294,2391,22470,2257,16295,1761,13792,1685,74869,1568,20849,2250,18616,1720,20913,2028,14491,1563,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
