GEO_ID,C18103_001E,C18103_001M,C18103_002E,C18103_002M,C18103_003E,C18103_003M,C18103_004E,C18103_004M,C18103_005E,C18103_005M,C18103_006E,C18103_006M,C18103_007E,C18103_007M,C18103_008E,C18103_008M,C18103_009E,C18103_009M,C18103_010E,C18103_010M,C18103_011E,C18103_011M,C18103_012E,C18103_012M,C18103_013E,C18103_013M,C18103_014E,C18103_014M,C18103_015E,C18103_015M,C18103_016E,C18103_016M,C18103_017E,C18103_017M,C18103_018E,C18103_018M,C18103_019E,C18103_019M,C18103_020E,C18103_020M,C18103_021E,C18103_021M,NAME,C18103_001EA,C18103_001MA,C18103_002EA,C18103_002MA,C18103_003EA,C18103_003MA,C18103_004MA,C18103_004EA,C18103_005MA,C18103_005EA,C18103_006EA,C18103_006MA,C18103_007MA,C18103_007EA,C18103_008MA,C18103_008EA,C18103_009MA,C18103_009EA,C18103_010MA,C18103_010EA,C18103_011EA,C18103_011MA,C18103_012EA,C18103_012MA,C18103_013EA,C18103_013MA,C18103_014MA,C18103_014EA,C18103_015MA,C18103_015EA,C18103_016MA,C18103_016EA,C18103_017EA,C18103_017MA,C18103_018MA,C18103_018EA,C18103_019MA,C18103_019EA,C18103_020MA,C18103_020EA,C18103_021MA,C18103_021EA,state
0400000US08,5604105,2082,2794853,5393,647971,3896,3294,922,644677,3946,1782326,3924,28674,3114,1753652,5456,364556,1466,18010,2013,346546,2654,2809252,4984,617157,3871,3849,1060,613308,3997,1763021,3248,30149,3496,1732872,4470,429074,1808,24489,2093,404585,2754,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,6592504,1089,3231118,5706,799351,4205,5674,1243,793677,4255,1982096,4104,41614,3086,1940482,5173,449671,2582,25817,2418,423854,3439,3361386,5708,763832,4390,5756,1198,758076,4417,2031337,3429,45815,3914,1985522,5050,566217,2122,36434,3020,529783,3716,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,4388204,1183,2142570,5021,515974,4273,6286,1236,509688,4356,1310960,3442,37371,3254,1273589,5164,315636,1680,23471,2033,292165,2510,2245634,5101,489612,4013,7591,1884,482021,4056,1362142,3601,45131,3673,1317011,4866,393880,2043,32259,2888,361621,3458,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,4556078,1982,2194791,6928,562278,5832,6213,1543,556065,6103,1325886,3709,41683,4814,1284203,5698,306627,2448,24684,2082,281943,3387,2361287,6963,533558,5815,8305,2134,525253,5682,1435471,4030,49626,4495,1385845,5914,392258,2581,32784,3229,359474,3642,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,12563908,1621,6148424,5170,1461131,3494,9634,1700,1451497,3870,3841568,4091,59755,5086,3781813,6764,845725,2427,41919,3416,803806,4292,6415484,5220,1390800,3706,8484,1316,1382316,3708,3944873,3698,70325,4030,3874548,5344,1079811,3233,69240,4429,1010571,4962,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,3113029,531,1540690,3831,375055,3135,2226,601,372829,3183,933168,2756,13225,1475,919943,3076,232467,1499,11357,1346,221110,1802,1572339,3755,356193,3081,1993,564,354200,3125,932908,2421,15463,1702,917445,2550,283238,1719,14122,1820,269116,2600,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,1339549,562,659292,2375,129833,1647,765,465,129068,1662,420384,1780,7825,1528,412559,2238,109075,974,4287,918,104788,1403,680257,2304,128081,1752,365,230,127716,1765,424316,1501,5689,1129,418627,1829,127860,1097,6716,1603,121144,1995,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,2960503,988,1441597,4491,356970,3579,4854,1093,352116,3411,862769,3611,24818,2652,837951,4581,221858,1991,18362,2111,203496,2919,1518906,4340,345375,3399,3812,971,341563,3634,904497,3141,34255,2810,870242,4288,269034,1977,20037,2036,248997,2780,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,952211,1135,456419,2074,102405,1181,1043,613,101362,1342,274255,1542,4418,877,269837,1867,79759,817,2988,809,76771,1002,495792,1400,100329,1127,1033,526,99296,1189,298335,724,3411,880,294924,1011,97128,703,4081,908,93047,1067,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,5553564,740,2761536,3436,665376,2727,4563,1102,660813,2664,1702533,2858,21339,2050,1681194,3177,393627,1810,16926,1920,376701,2539,2792028,3590,634756,2628,2964,789,631792,2695,1692547,2916,23732,2030,1668815,3766,464725,2044,23104,2194,441621,3020,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
