GEO_ID,B25072_001E,B25072_001M,B25072_002E,B25072_002M,B25072_003E,B25072_003M,B25072_004E,B25072_004M,B25072_005E,B25072_005M,B25072_006E,B25072_006M,B25072_007E,B25072_007M,B25072_008E,B25072_008M,B25072_009E,B25072_009M,B25072_010E,B25072_010M,B25072_011E,B25072_011M,B25072_012E,B25072_012M,B25072_013E,B25072_013M,B25072_014E,B25072_014M,B25072_015E,B25072_015M,B25072_016E,B25072_016M,B25072_017E,B25072_017M,B25072_018E,B25072_018M,B25072_019E,B25072_019M,B25072_020E,B25072_020M,B25072_021E,B25072_021M,B25072_022E,B25072_022M,B25072_023E,B25072_023M,B25072_024E,B25072_024M,B25072_025E,B25072_025M,B25072_026E,B25072_026M,B25072_027E,B25072_027M,B25072_028E,B25072_028M,B25072_029E,B25072_029M,NAME,B25072_001MA,B25072_001EA,B25072_002MA,B25072_002EA,B25072_003MA,B25072_003EA,B25072_004MA,B25072_004EA,B25072_005MA,B25072_005EA,B25072_006MA,B25072_006EA,B25072_007MA,B25072_007EA,B25072_008MA,B25072_008EA,B25072_009MA,B25072_009EA,B25072_010MA,B25072_010EA,B25072_011MA,B25072_011EA,B25072_012MA,B25072_012EA,B25072_013MA,B25072_013EA,B25072_014MA,B25072_014EA,B25072_015MA,B25072_015EA,B25072_016MA,B25072_016EA,B25072_017MA,B25072_017EA,B25072_018MA,B25072_018EA,B25072_019EA,B25072_019MA,B25072_020MA,B25072_020EA,B25072_021MA,B25072_021EA,B25072_022MA,B25072_022EA,B25072_023MA,B25072_023EA,B25072_024MA,B25072_024EA,B25072_025MA,B25072_025EA,B25072_026MA,B25072_026EA,B25072_027MA,B25072_027EA,B25072_028MA,B25072_028EA,B25072_029MA,B25072_029EA,state
0400000US08,758776,10471,79454,4786,9291,1926,7331,1625,8495,1793,6712,1472,43187,3490,4438,1350,231525,6062,59352,4001,32361,2935,30474,3113,23426,3027,79942,4857,5970,1341,348944,9012,84145,4971,48349,4328,39007,3734,31425,3641,129032,7113,16986,2188,98853,4660,16231,1976,6999,1380,10337,1690,7934,1381,49585,3362,7767,1288,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,807420,11150,103321,5674,21549,2405,10964,2080,9084,1726,7711,1599,47102,3702,6911,1468,203814,7912,64202,4282,26668,2899,22494,2859,15198,2342,63369,4124,11883,2084,374948,9017,110993,5183,46027,3675,36162,3224,29607,2650,120970,4967,31189,3592,125337,4564,20745,2359,13071,1719,15608,1970,10340,1539,52668,3156,12905,1467,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,564984,10983,64226,4102,11681,1951,7931,1460,7199,1577,5136,1195,25927,2747,6352,1300,139581,5356,43492,3051,18532,2641,14496,1856,10064,1835,40065,3558,12932,1781,278120,8280,83234,4891,31787,3201,26126,2637,21505,2386,82669,5766,32799,2658,83057,4131,15137,1679,8267,1554,9911,1480,7135,1378,29359,2600,13248,1655,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,599696,11233,50251,3757,7716,1841,3910,1248,5742,1638,4824,1392,22644,2520,5415,1395,160771,6468,38824,3519,20625,2902,12763,2265,14141,2548,60857,4600,13561,1861,306356,8988,67096,5412,24461,3141,26215,2831,24320,3106,122898,7060,41366,3061,82318,3734,10588,1642,5434,1253,6385,1145,6755,1140,34252,3357,18904,2285,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,1654751,16516,141052,5461,22008,2640,16827,2026,11072,1851,9281,1337,67522,4643,14342,2285,455277,10581,127744,6086,71343,4958,54610,4056,37171,3689,141412,6895,22997,2639,793773,12009,226105,8184,95299,5389,84712,5252,57542,4130,273739,8464,56376,4508,264649,7599,43030,3290,25347,2608,30338,3331,24199,2720,119456,5126,22279,2209,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,364122,7753,56800,3658,13159,1757,5718,1191,6169,1389,4063,1183,24879,2755,2812,911,87085,3668,32170,3045,12951,1490,9318,1343,7157,1429,20295,2161,5194,1072,154570,5340,53424,3943,17724,1966,15015,1729,10674,1491,44387,3383,13346,1600,65667,3621,13049,1461,6497,1089,7188,1070,4009,808,26407,2406,8517,1551,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,152470,5181,13511,1704,2215,770,1958,639,1171,602,962,524,6318,1264,887,567,35616,2718,11262,1641,4874,1144,3861,966,3804,1161,10711,1836,1104,491,73803,4110,19030,2269,11418,2119,8774,1598,5926,1142,25866,2744,2789,745,29540,2561,3958,901,3352,882,4065,932,3200,933,12405,1747,2560,652,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,395946,7521,48204,3786,10163,1776,5306,1473,5811,1303,2433,1028,19989,2697,4502,1451,105148,5056,31510,3225,14561,2138,10959,1914,10058,1991,31171,3313,6889,1472,185736,5290,53144,3758,19909,2335,17410,2562,13919,2231,62315,4437,19039,2300,56858,3506,9910,1517,4928,985,8310,1489,4919,1205,17582,2189,11209,1367,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,106526,4571,7040,1219,845,432,376,366,737,482,893,791,3652,827,537,322,28137,2659,6488,1517,4256,1200,2436,938,1243,669,12801,2204,913,564,54924,3803,15437,2416,4735,1093,5226,1414,6314,1692,19964,2607,3248,977,16425,1998,3129,894,2136,599,1499,476,1722,715,5945,1059,1994,697,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,626513,8243,74851,3746,15339,1953,9922,1694,7467,1214,7099,1370,31485,2670,3539,870,167303,4592,60873,3504,25508,2484,18128,2104,10930,1798,45636,3178,6228,998,264224,7626,73061,4746,34855,2983,31616,3028,22609,2260,85179,5877,16904,1939,120135,4330,16597,2064,10909,1612,13833,1709,11979,1556,57977,3356,8840,1118,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
