GEO_ID,B13016_001E,B13016_001M,B13016_002E,B13016_002M,B13016_003E,B13016_003M,B13016_004E,B13016_004M,B13016_005E,B13016_005M,B13016_006E,B13016_006M,B13016_007E,B13016_007M,B13016_008E,B13016_008M,B13016_009E,B13016_009M,B13016_010E,B13016_010M,B13016_011E,B13016_011M,B13016_012E,B13016_012M,B13016_013E,B13016_013M,B13016_014E,B13016_014M,B13016_015E,B13016_015M,B13016_016E,B13016_016M,B13016_017E,B13016_017M,NAME,B13016_001EA,B13016_001MA,B13016_002MA,B13016_002EA,B13016_003MA,B13016_003EA,B13016_004MA,B13016_004EA,B13016_005MA,B13016_005EA,B13016_006MA,B13016_006EA,B13016_007MA,B13016_007EA,B13016_008MA,B13016_008EA,B13016_009MA,B13016_009EA,B13016_010MA,B13016_010EA,B13016_011MA,B13016_011EA,B13016_012EA,B13016_012MA,B13016_013MA,B13016_013EA,B13016_014MA,B13016_014EA,B13016_015MA,B13016_015EA,B13016_016MA,B13016_016EA,B13016_017MA,B13016_017EA,state
0400000US08,1376662,4542,71267,4836,1570,749,8322,1749,18011,2460,22621,2210,14548,2043,4107,1069,2088,775,1305395,6325,178715,3223,171030,3100,194997,3244,189031,2867,186663,5636,172764,5504,212195,3616,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,1551701,5693,89630,5426,2199,700,20114,2584,27845,2751,23203,2549,11638,1883,3129,855,1502,496,1462071,7546,219297,3854,208212,4295,198206,3769,185018,3507,204361,6883,196060,6219,250917,4345,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,1021826,4656,56995,3846,1408,517,13896,2241,19077,2728,13652,1710,6286,1136,1475,493,1201,479,964831,5818,137736,3913,131205,4236,133269,3391,123571,3003,133204,4778,134391,4543,171455,2904,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1099363,4943,62709,4490,2250,860,13522,2240,20138,2738,16785,2072,7794,1587,1703,820,517,340,1036654,6207,144240,4646,142275,4558,144923,4118,143312,3565,151361,5380,137930,5165,172613,3950,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,3009568,5290,158848,6532,4231,1148,24815,2661,36494,2976,49062,3260,30943,3028,9014,1518,4289,1201,2850720,7598,402293,3675,385201,3992,408314,3807,379268,4058,390283,8015,393582,7902,491779,4084,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,709250,3547,40916,2952,879,338,6450,1601,13591,1637,11745,1637,5623,1088,1481,745,1147,509,668334,4190,103890,2468,102832,2884,85598,2593,82592,2346,97828,3964,85369,4213,110225,2773,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,300261,1966,13925,2032,175,224,2104,919,3177,940,4874,964,2531,941,504,339,560,516,286336,2583,46540,2069,38607,2061,37071,1234,35659,1317,37013,2551,37521,2494,53925,1706,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,694635,4154,39677,2789,2514,898,9928,1688,12592,1625,9750,1479,3868,934,936,548,89,133,654958,4750,100966,4109,85685,3394,89599,2901,85577,2318,92487,4246,87726,3911,112918,2811,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,216969,1762,10138,1945,210,207,1298,598,3275,943,2795,802,1806,800,506,445,248,401,206831,2505,29696,1205,27565,1332,29655,1041,27877,923,27731,2332,27518,2514,36789,1468,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,1276341,3881,76157,3919,1404,473,9390,1680,20695,2073,27622,2041,12525,1593,3256,954,1265,513,1200184,4857,171258,2292,167454,2737,163148,2515,160830,2545,176330,4639,161141,4482,200023,3122,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US30,227860,2141,11388,1548,1110,648,1829,700,2830,781,3104,871,1972,760,384,242,159,173,216472,2511,31179,1574,30056,1544,30751,1421,30180,1561,30678,1898,29528,1820,34100,1282,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US23,282032,2182,14372,2013,136,147,2632,879,4808,1039,4548,1081,1602,646,450,269,196,131,267660,3197,36187,1600,33905,1607,34238,1217,35610,1284,37775,2861,37421,2807,52524,1486,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US37,2468872,7563,119280,5997,4246,1123,19195,2804,35914,3513,31322,2782,18899,2283,5803,1516,3901,1080,2349592,9993,340127,6102,309250,5023,327342,4392,301470,4727,321657,10074,326215,8776,423531,5412,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US13,2619669,8548,122525,5675,6125,1718,22722,2782,32545,3625,30961,3146,18836,2667,7537,1990,3799,987,2497144,10191,367836,7265,332058,6787,340167,6120,325844,5247,351311,9203,348634,9803,431294,7138,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US02,171990,1891,10747,1579,604,379,1989,588,3097,837,2222,655,2101,770,570,470,164,149,161243,2486,23112,1409,18997,1197,25392,1301,24406,1039,24031,1818,21082,1979,24223,1466,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
