GEO_ID,B08503_001E,B08503_001M,B08503_002E,B08503_002M,B08503_003E,B08503_003M,B08503_004E,B08503_004M,B08503_005E,B08503_005M,B08503_006E,B08503_006M,B08503_007E,B08503_007M,NAME,B08503_001EA,B08503_001MA,B08503_002EA,B08503_002MA,B08503_003EA,B08503_003MA,B08503_004MA,B08503_004EA,B08503_005MA,B08503_005EA,B08503_006MA,B08503_006EA,B08503_007EA,B08503_007MA,state
0400000US08,40.4,0.2,40.6,0.2,37.1,0.7,35.9,1.5,29.5,0.9,35.9,1.2,46.8,0.6,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,41.5,0.2,42.2,0.2,36.4,0.7,37.1,2.7,28.5,1.3,34.3,2.2,47.1,1.0,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,41.2,0.3,41.7,0.4,37.4,1.0,40.7,2.4,26.4,2.2,37.7,3.8,47.2,1.1,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,41.1,0.3,41.5,0.3,38.3,0.9,34.7,3.8,32.5,2.5,37.6,1.5,47.3,1.9,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,41.8,0.2,42.8,0.2,39.3,0.6,36.2,0.4,31.6,0.7,37.2,1.2,47.8,0.6,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,41.6,0.3,42.3,0.3,37.8,1.0,31.6,3.9,32.2,1.5,36.8,3.0,47.3,1.4,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,44.9,0.4,45.2,0.4,37.0,2.4,36.8,13.9,31.7,3.3,35.2,4.0,51.2,1.2,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,41.3,0.3,41.9,0.4,36.4,1.1,39.6,2.3,36.1,3.2,36.7,2.9,46.8,1.7,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,43.1,0.5,43.4,0.5,36.6,2.7,43.4,6.3,32.5,4.3,43.8,4.0,48.2,1.4,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,41.6,0.2,42.1,0.3,37.9,0.5,36.5,1.3,32.9,1.9,36.3,1.0,47.9,0.7,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US30,42.1,0.4,42.3,0.5,39.8,1.9,43.5,11.8,35.7,2.4,35.0,6.5,50.0,2.4,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US23,44.6,0.4,45.4,0.5,38.5,1.5,28.9,13.4,32.0,2.2,36.3,2.6,51.3,1.5,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US37,42.1,0.2,42.6,0.2,37.9,0.6,36.9,2.0,28.1,1.0,39.5,1.8,46.8,0.7,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US13,41.4,0.2,41.9,0.2,37.2,0.7,37.6,1.6,30.7,1.7,36.9,1.7,46.3,0.7,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US02,40.1,0.5,39.8,0.6,36.6,2.3,30.3,5.7,44.8,2.4,43.9,3.2,46.9,3.1,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US01,41.8,0.3,42.2,0.3,37.2,0.9,41.2,9.1,32.6,2.4,36.8,2.5,45.9,1.7,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US50,44.3,0.6,45.0,0.6,40.1,2.3,32.9,9.7,27.6,3.0,35.7,8.7,51.2,2.0,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US32,40.9,0.2,41.2,0.3,38.6,0.9,37.2,2.6,34.0,3.2,36.2,3.2,48.7,1.3,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US54,43.1,0.4,43.5,0.4,39.8,1.6,34.8,3.0,34.9,4.7,43.3,7.4,50.0,3.4,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US40,40.5,0.3,41.0,0.3,37.1,0.8,35.1,8.4,31.6,1.6,38.9,2.5,45.3,1.4,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US55,41.9,0.2,42.6,0.2,37.6,0.7,32.3,1.4,29.9,1.2,35.8,2.1,48.6,0.7,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US72,42.1,0.3,41.9,0.3,42.4,1.1,43.5,1.4,43.8,3.8,41.4,3.7,46.2,2.2,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
0400000US51,41.7,0.2,42.5,0.2,37.9,0.5,37.1,1.1,27.8,0.9,38.0,2.1,46.2,0.9,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US38,39.3,0.4,39.6,0.5,36.2,0.9,34.7,10.6,31.5,3.6,41.0,12.9,51.6,4.7,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US45,41.4,0.2,41.9,0.3,37.8,1.0,42.5,4.9,23.8,1.1,34.8,3.4,47.7,1.0,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US41,41.1,0.2,42.2,0.3,37.9,0.7,34.1,1.3,32.0,2.1,36.5,1.8,46.0,1.2,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US56,42.1,0.5,42.8,0.8,38.3,1.3,31.1,5.4,32.8,2.0,46.4,5.6,49.8,2.4,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US06,40.9,0.2,41.1,0.2,39.7,0.3,37.6,0.4,33.1,0.6,35.9,0.6,48.0,0.3,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US28,41.3,0.4,41.7,0.5,37.8,0.9,38.6,4.0,29.9,6.9,44.5,2.8,46.0,3.1,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US09,44.2,0.3,45.1,0.3,38.4,1.4,36.9,3.0,31.0,2.7,37.8,4.7,50.2,0.9,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US48,40.5,0.1,40.7,0.2,37.4,0.5,38.0,1.4,30.9,1.0,37.3,1.1,46.0,0.4,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
