GEO_ID,B10054_001E,B10054_001M,B10054_002E,B10054_002M,B10054_003E,B10054_003M,B10054_004E,B10054_004M,B10054_005E,B10054_005M,B10054_006E,B10054_006M,B10054_007E,B10054_007M,B10054_008E,B10054_008M,B10054_009E,B10054_009M,B10054_010E,B10054_010M,B10054_011E,B10054_011M,B10054_012E,B10054_012M,B10054_013E,B10054_013M,B10054_014E,B10054_014M,B10054_015E,B10054_015M,B10054_016E,B10054_016M,B10054_017E,B10054_017M,NAME,B10054_001MA,B10054_001EA,B10054_002EA,B10054_002MA,B10054_003EA,B10054_003MA,B10054_004MA,B10054_004EA,B10054_005MA,B10054_005EA,B10054_006MA,B10054_006EA,B10054_007MA,B10054_007EA,B10054_008MA,B10054_008EA,B10054_009MA,B10054_009EA,B10054_010MA,B10054_010EA,B10054_011MA,B10054_011EA,B10054_012MA,B10054_012EA,B10054_013MA,B10054_013EA,B10054_014EA,B10054_014MA,B10054_015MA,B10054_015EA,B10054_016EA,B10054_016MA,B10054_017MA,B10054_017EA,state
0400000US08,98651,6801,72603,5748,24682,3319,14806,2569,9876,1628,47921,4727,26048,3307,9586,1677,3558,996,1528,666,2030,695,6028,1331,16462,2824,3812,1485,2172,1239,1640,805,12650,2498,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,126941,5932,109184,5985,55068,4204,33372,3375,21696,2464,54116,4914,17757,2652,5250,1609,1775,770,1142,657,633,383,3475,1461,12507,2082,3526,1570,1845,1099,1681,846,8981,1922,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,106559,5979,100678,6046,56704,4168,31670,3106,25034,2923,43974,4303,5881,1472,2271,781,839,650,162,210,677,635,1432,672,3610,1167,316,266,100,121,216,212,3294,1164,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,106403,8195,95793,7528,46694,4505,25716,3254,20978,2998,49099,5065,10610,2245,6255,1791,3555,1276,1021,648,2534,1112,2700,1087,4355,1281,422,279,164,135,258,236,3933,1239,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,245054,11087,148722,7305,57153,4393,30780,3201,26373,2731,91569,5331,96332,6617,28941,3275,8331,2064,5584,1651,2747,957,20610,2594,67391,5375,11628,2340,7940,2162,3688,1196,55763,4681,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,38781,3299,31888,3150,11834,1735,6839,1366,4995,1216,20054,2472,6893,1441,2102,832,839,557,607,488,232,231,1263,619,4791,1370,997,548,781,484,216,227,3794,1246,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,21308,2626,19173,2377,6306,1626,3631,1230,2675,825,12867,2016,2135,696,275,223,56,98,56,98,0,192,219,206,1860,667,461,371,355,358,106,136,1399,600,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,68089,5521,58544,4966,30412,3525,16930,2555,13482,2144,28132,3475,9545,2019,1947,974,1001,453,762,398,239,211,946,818,7598,1917,2831,1302,1686,1160,1145,594,4767,1495,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,20234,2794,17180,2630,8163,1771,3976,1201,4187,1242,9017,1922,3054,1193,959,601,352,332,195,218,157,242,607,501,2095,872,403,364,181,254,222,263,1692,840,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,68023,4546,49084,4247,20428,2465,10984,1826,9444,1580,28656,2980,18939,2813,5578,1227,1276,501,589,263,687,402,4302,1071,13361,2297,2482,866,1559,642,923,445,10879,2164,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
