GEO_ID,C01001A_001E,C01001A_001M,C01001A_002E,C01001A_002M,C01001A_003E,C01001A_003M,C01001A_004E,C01001A_004M,C01001A_005E,C01001A_005M,C01001A_006E,C01001A_006M,C01001A_007E,C01001A_007M,C01001A_008E,C01001A_008M,C01001A_009E,C01001A_009M,NAME,C01001A_001EA,C01001A_001MA,C01001A_002MA,C01001A_002EA,C01001A_003EA,C01001A_003MA,C01001A_004MA,C01001A_004EA,C01001A_005EA,C01001A_005MA,C01001A_006EA,C01001A_006MA,C01001A_007EA,C01001A_007MA,C01001A_008EA,C01001A_008MA,C01001A_009EA,C01001A_009MA,state
0400000US08,4790677,16307,2413545,9729,519751,5039,1554359,6982,339435,1587,2377132,9523,490540,4988,1488363,6863,398229,2126,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,5539927,11682,2731594,7224,618568,4350,1688365,4487,424661,1304,2808333,6406,587872,3990,1685973,3397,534488,1027,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,3875023,6230,1903037,4464,424486,3165,1176942,2316,301609,780,1971986,4016,399905,3023,1194862,2697,377219,996,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,2877115,7740,1418935,5079,306433,3734,879477,3208,233025,1063,1458180,5761,293935,3894,878428,3180,285817,1332,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,9135145,26772,4520295,15801,975606,7974,2830809,9388,713880,2193,4614850,14546,923655,6681,2793840,9463,897355,2144,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,2846099,5629,1408853,3664,322465,2795,852206,2256,234182,643,1437246,4148,304214,2747,844134,2499,288898,893,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,1253931,3132,619519,2268,116857,1387,393446,1364,109216,424,634412,1746,111356,1270,393680,1190,129376,417,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,2306096,6922,1135450,4450,252062,2452,684319,2926,199069,746,1170646,4421,239768,2969,686390,2572,244488,669,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,659781,4626,321770,2821,61816,1323,193314,1895,66640,544,338011,2448,58613,1510,199152,1761,80246,443,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,4629375,8116,2301035,4800,490577,2540,1428816,3307,381642,750,2328340,4792,466492,2810,1404386,2896,457462,801,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US30,941438,2221,473519,1869,97285,1233,284965,1551,91269,561,467919,1790,91622,1258,278337,1206,97960,522,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US23,1261453,1633,617264,1163,116004,780,378537,818,122723,296,644189,1250,108628,737,387673,820,147888,499,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US37,7098569,17927,3488458,10377,726638,7387,2166238,6141,595582,1621,3610111,9880,684072,6288,2183815,5832,742224,1902,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US13,6127645,17468,3028552,11048,678311,6180,1881862,7601,468379,2123,3099093,9837,635732,6574,1883747,6146,579614,2239,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US02,474555,3233,250921,2040,50751,982,166261,1769,33909,566,223634,1868,48623,1213,143106,1259,31905,364,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US01,3306838,7059,1624400,5065,348171,3719,989092,2595,287137,1224,1682438,4436,320361,3432,1002291,2419,359786,1030,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US50,589337,1241,290530,944,54525,660,181724,634,54281,173,298807,894,50829,532,183776,691,64202,298,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US32,1924976,16699,979580,8979,197470,4758,603179,5614,178931,1407,945396,9409,187719,5228,567485,5577,190192,1549,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US54,1679773,2458,827853,2749,168621,2217,502141,1774,157091,445,851920,2315,159796,2032,503471,1405,188653,569,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US40,2845906,8621,1407363,5523,313728,3344,859384,3287,234251,652,1438543,4910,297307,2894,853815,2902,287421,691,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US55,4957243,8755,2465070,4855,506988,2702,1531726,3395,426356,1251,2492173,5433,481848,3405,1506195,2842,504130,1196,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US72,2079304,22148,978563,11401,196009,5044,590755,8434,191799,3371,1100741,13486,185909,5744,657308,8887,257524,5565,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
0400000US51,5737580,15329,2843564,9379,588536,5428,1794258,5491,460770,1500,2894016,8794,562476,4630,1768952,5843,562588,1854,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US38,651687,2325,333459,1903,71530,1262,210200,1139,51729,364,318228,1734,68040,1204,189723,1038,60465,312,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US45,3407706,8711,1671701,6008,339752,3691,1016346,3496,315603,875,1736005,5557,320448,3982,1034583,3004,380974,1206,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
