GEO_ID,B10001_001E,B10001_001M,B10001_002E,B10001_002M,B10001_003E,B10001_003M,B10001_004E,B10001_004M,NAME,B10001_001MA,B10001_001EA,B10001_002MA,B10001_002EA,B10001_003MA,B10001_003EA,B10001_004MA,B10001_004EA,state
0400000US08,80292,7386,35505,4633,25767,3177,19020,3040,Colorado,null,null,null,null,null,null,null,null,08
0400000US18,115479,7386,44289,4609,38499,3542,32691,3328,Indiana,null,null,null,null,null,null,null,null,18
0400000US21,96816,6884,34095,3191,34929,4011,27792,3577,Kentucky,null,null,null,null,null,null,null,null,21
0400000US22,115248,10251,46526,5308,37824,4892,30898,4236,Louisiana,null,null,null,null,null,null,null,null,22
0400000US17,206560,10347,85554,5259,69692,4843,51314,4788,Illinois,null,null,null,null,null,null,null,null,17
0400000US19,30656,3039,12722,2097,9291,1729,8643,1863,Iowa,null,null,null,null,null,null,null,null,19
0400000US33,16600,2435,6533,1442,5470,1394,4597,1406,New Hampshire,null,null,null,null,null,null,null,null,33
0400000US05,58957,5878,24220,3238,18397,2545,16340,2761,Arkansas,null,null,null,null,null,null,null,null,05
0400000US10,17355,3024,5716,1462,6090,1624,5549,1512,Delaware,null,null,null,null,null,null,null,null,10
0400000US27,55977,5419,22790,3117,19798,2617,13389,1986,Minnesota,null,null,null,null,null,null,null,null,27
0400000US30,19043,2308,5900,1035,7617,1567,5526,1223,Montana,null,null,null,null,null,null,null,null,30
0400000US23,17257,2583,6497,1533,5966,1219,4794,1190,Maine,null,null,null,null,null,null,null,null,23
0400000US37,191956,8707,76514,5171,62126,4627,53316,4147,North Carolina,null,null,null,null,null,null,null,null,37
0400000US13,241006,11875,95548,7335,88111,6351,57347,5253,Georgia,null,null,null,null,null,null,null,null,13
0400000US02,17156,2127,7827,1365,4528,1020,4801,970,Alaska,null,null,null,null,null,null,null,null,02
0400000US01,123155,8127,46363,4045,44565,4840,32227,3806,Alabama,null,null,null,null,null,null,null,null,01
0400000US50,7534,1514,2753,687,2455,771,2326,957,Vermont,null,null,null,null,null,null,null,null,50
0400000US32,57837,5775,26442,3872,18880,3062,12515,2131,Nevada,null,null,null,null,null,null,null,null,32
0400000US54,45243,5492,16384,2324,17014,3113,11845,2122,West Virginia,null,null,null,null,null,null,null,null,54
0400000US40,77324,4876,28728,2650,27113,2213,21483,2423,Oklahoma,null,null,null,null,null,null,null,null,40
0400000US55,59675,4610,23411,2716,20891,2218,15373,1898,Wisconsin,null,null,null,null,null,null,null,null,55
0400000US72,82394,6432,31879,3579,26155,3784,24360,3069,Puerto Rico,null,null,null,null,null,null,null,null,72
0400000US51,144362,8347,58892,4303,46910,4561,38560,4010,Virginia,null,null,null,null,null,null,null,null,51
0400000US38,7088,1510,3320,1124,2164,688,1604,612,North Dakota,null,null,null,null,null,null,null,null,38
0400000US45,120431,9235,44954,4765,39428,4575,36049,3965,South Carolina,null,null,null,null,null,null,null,null,45
0400000US41,51499,5940,20561,2972,17564,2906,13374,2052,Oregon,null,null,null,null,null,null,null,null,41
0400000US56,9707,2164,3834,1159,2944,888,2929,1012,Wyoming,null,null,null,null,null,null,null,null,56
0400000US06,865521,23924,385598,12730,281007,11429,198916,9994,California,null,null,null,null,null,null,null,null,06
