GEO_ID,C01001C_001E,C01001C_001M,C01001C_002E,C01001C_002M,C01001C_003E,C01001C_003M,C01001C_004E,C01001C_004M,C01001C_005E,C01001C_005M,C01001C_006E,C01001C_006M,C01001C_007E,C01001C_007M,C01001C_008E,C01001C_008M,C01001C_009E,C01001C_009M,NAME,C01001C_001EA,C01001C_001MA,C01001C_002EA,C01001C_002MA,C01001C_003EA,C01001C_003MA,C01001C_004EA,C01001C_004MA,C01001C_005EA,C01001C_005MA,C01001C_006EA,C01001C_006MA,C01001C_007EA,C01001C_007MA,C01001C_008MA,C01001C_008EA,C01001C_009EA,C01001C_009MA,state
0400000US29,27705,3183,12949,1830,2539,805,8911,1659,1499,561,14756,2128,2314,1080,10677,1929,1765,578,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US42,21418,2246,11883,1368,2927,1005,8095,1324,861,452,9535,1462,2090,710,6952,1211,493,259,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US26,53012,3871,26981,2502,6472,1355,17458,1597,3051,722,26031,2345,5675,1084,17690,1716,2666,466,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US31,18555,3043,8759,1798,3407,1140,4779,1015,573,284,9796,1669,3305,872,5657,943,834,381,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US16,23026,2838,11577,1682,3406,923,6444,1136,1727,648,11449,2027,3308,1109,6325,1344,1816,620,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US35,200659,4124,96800,2776,28016,1831,59717,1659,9067,683,103859,2686,27896,1727,62982,1780,12981,647,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US15,3237,935,2062,645,413,374,1070,461,579,349,1175,572,0,189,1092,548,83,97,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US46,78068,2871,38649,1904,15649,1424,20866,1134,2134,532,39419,1940,14653,992,21945,1581,2821,342,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US53,97329,6465,46291,3949,10609,2057,30733,2871,4949,857,51038,3407,13958,1807,30700,2306,6380,809,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US44,4341,1447,1416,609,516,428,764,505,136,163,2925,1038,162,148,2322,987,441,385,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US04,330599,8933,162809,5601,51627,3241,98196,3570,12986,1089,167790,4563,48186,2162,102461,3484,17143,963,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US47,19136,2676,10059,1714,1314,507,7927,1566,818,411,9077,1693,1914,817,6328,1239,835,380,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US20,26829,2776,13606,1869,3206,1039,9661,1484,739,309,13223,1715,3330,772,8436,1312,1457,461,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
