GEO_ID,B25043_001E,B25043_001M,B25043_002E,B25043_002M,B25043_003E,B25043_003M,B25043_004E,B25043_004M,B25043_005E,B25043_005M,B25043_006E,B25043_006M,B25043_007E,B25043_007M,B25043_008E,B25043_008M,B25043_009E,B25043_009M,B25043_010E,B25043_010M,B25043_011E,B25043_011M,B25043_012E,B25043_012M,B25043_013E,B25043_013M,B25043_014E,B25043_014M,B25043_015E,B25043_015M,B25043_016E,B25043_016M,B25043_017E,B25043_017M,B25043_018E,B25043_018M,B25043_019E,B25043_019M,NAME,B25043_001MA,B25043_001EA,B25043_002MA,B25043_002EA,B25043_003MA,B25043_003EA,B25043_004MA,B25043_004EA,B25043_005MA,B25043_005EA,B25043_006MA,B25043_006EA,B25043_007MA,B25043_007EA,B25043_008MA,B25043_008EA,B25043_009MA,B25043_009EA,B25043_010MA,B25043_010EA,B25043_011MA,B25043_011EA,B25043_012MA,B25043_012EA,B25043_013MA,B25043_013EA,B25043_014EA,B25043_014MA,B25043_015MA,B25043_015EA,B25043_016MA,B25043_016EA,B25043_017MA,B25043_017EA,B25043_018MA,B25043_018EA,B25043_019MA,B25043_019EA,state
0400000US08,2176757,7548,1417981,9500,1404507,9644,165419,5493,842967,8477,396121,5960,13474,1849,787,597,7859,1470,4828,1107,758776,10471,742199,10036,304609,6971,341759,8643,95831,4570,16577,2378,6370,1439,7185,1736,3022,832,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,2599169,10447,1791749,12877,1770444,13166,219794,6392,1021661,10786,528989,5876,21305,2372,3810,985,12012,1675,5483,977,807420,11150,785823,11204,301056,8371,365377,8967,119390,4791,21597,2420,6079,1206,9571,1755,5947,1158,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,1732713,8718,1167729,12565,1155292,12635,127851,4637,656556,8775,370885,5309,12437,1690,1466,555,6893,1297,4078,983,564984,10983,550575,10768,201098,6625,270400,8111,79077,4177,14409,1836,2709,764,7720,1229,3980,1119,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1737220,10627,1137524,12385,1123033,12200,128878,5604,634559,10424,359596,5518,14491,1804,998,505,8428,1322,5065,1064,599696,11233,582685,11611,207217,7339,296706,8772,78762,3869,17011,2307,3805,1300,9650,1853,3556,923,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,4864864,12677,3210113,17405,3179617,17589,330583,8919,1882000,11663,967034,7812,30496,2743,2502,623,17637,2244,10357,1488,1654751,16516,1612523,16381,586847,12242,771550,11736,254126,7471,42228,3118,9482,1671,22223,2291,10523,1595,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,1267873,7772,903751,8439,895806,8236,121783,4346,504281,6872,269742,3784,7945,1071,734,395,4461,660,2750,711,364122,7753,355161,7650,140626,4704,150914,5494,63621,3561,8961,1312,3259,894,3656,892,2046,517,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,531212,5670,378742,6605,376227,6650,31847,2739,228752,4389,115628,3224,2515,570,333,202,1562,435,620,285,152470,5181,149387,5113,47771,3348,72725,4087,28891,2583,3083,829,1356,539,1078,415,649,398,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,1156347,7393,760401,8395,750472,8302,81815,4225,414721,6483,253936,3930,9929,1515,879,352,5006,1145,4044,1082,395946,7521,382326,7511,150371,6072,177693,5250,54262,3481,13620,1634,2981,983,8043,1513,2596,896,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,367671,3933,261145,4466,259801,4403,23097,2211,145877,3750,90827,2388,1344,484,0,200,838,362,506,280,106526,4571,104822,4504,34605,2776,54174,3821,16043,1968,1704,717,572,287,750,502,382,287,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,2194452,6925,1567939,9341,1555543,9340,197001,5017,929119,7626,429423,4614,12396,1628,1397,411,8124,1299,2875,635,626513,8243,610492,8217,238119,5664,256391,7427,115982,4234,16021,1667,4035,903,7833,1031,4153,908,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
