C17001I_003M,C17001I_004E,C17001I_004M,C17001I_005E,C17001I_005M,C17001I_006E,C17001I_006M,C17001I_007E,C17001I_007M,C17001I_008E,C17001I_008M,C17001I_009E,C17001I_009M,C17001I_010E,C17001I_010M,C17001I_011E,C17001I_011M,C17001I_012E,C17001I_012M,C17001I_013E,C17001I_013M,C17001I_014E,C17001I_014M,C17001I_015E,C17001I_015M,C17001I_016E,C17001I_016M,C17001I_017E,C17001I_017M,C17001I_018E,C17001I_018M,C17001I_019E,C17001I_019M,GEO_ID,C17001I_001E,C17001I_001M,C17001I_002E,C17001I_002M,C17001I_003E,C17001I_003MA,C17001I_004EA,C17001I_004MA,C17001I_005EA,C17001I_005MA,C17001I_006MA,C17001I_006EA,C17001I_007MA,C17001I_007EA,C17001I_008EA,C17001I_008MA,C17001I_009EA,C17001I_009MA,C17001I_010EA,C17001I_010MA,C17001I_011EA,C17001I_011MA,C17001I_012EA,C17001I_012MA,C17001I_013EA,C17001I_013MA,C17001I_014EA,C17001I_014MA,C17001I_015EA,C17001I_015MA,C17001I_016MA,C17001I_016EA,C17001I_017MA,C17001I_017EA,C17001I_018EA,C17001I_018MA,C17001I_019EA,C17001I_019MA,NAME,C17001I_001EA,C17001I_001MA,C17001I_002EA,C17001I_002MA,C17001I_003EA,state
6964,38382,4857,37684,3961,4042,843,95032,7771,34550,4274,54106,4513,6376,1043,1030411,13484,530860,7989,164923,5313,332678,4389,33259,1259,499551,8292,155020,5229,305176,4405,39355,1669,0400000US08,1205551,2449,175140,13397,80108,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,08
4954,23453,3337,18882,2474,1804,810,53087,5911,23351,3463,28230,3154,1506,530,364013,9530,191816,5280,62298,3781,121643,2816,7875,1092,172197,6982,63013,4396,100525,3361,8659,890,0400000US18,461239,2378,97226,9639,44139,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Indiana,null,null,null,null,null,18
2762,10296,1812,8557,1605,380,345,19335,2486,8888,1451,9824,1681,623,423,116698,5010,62189,3353,19382,2224,40148,2119,2659,800,54509,3178,19464,2083,31568,2132,3477,920,0400000US21,155266,2728,38568,4254,19233,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kentucky,null,null,null,null,null,21
3876,10091,2318,11164,2284,505,281,29076,4812,11703,2738,16366,2454,1007,511,179012,6891,97980,4357,27582,2796,62142,2845,8256,1394,81032,4092,24489,2386,47609,2671,8934,1278,0400000US22,229848,2738,50836,7289,21760,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Louisiana,null,null,null,null,null,22
10939,72821,7844,61473,4872,7115,1257,175848,10092,70479,5539,97177,6188,8192,1337,1858013,20163,966883,11942,284529,8352,627056,5392,55298,1356,891130,10118,273501,5616,553231,6327,64398,1415,0400000US17,2175270,3484,317257,19656,141409,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Illinois,null,null,null,null,null,17
2368,8792,1638,6400,1439,223,271,22002,3496,9693,2024,11896,2115,413,355,148792,5070,78043,3169,28433,2032,46828,2113,2782,730,70749,3483,26068,2425,41810,1925,2871,870,0400000US19,186209,1416,37417,4797,15415,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Iowa,null,null,null,null,null,19
1760,2653,1099,2189,1030,50,67,5671,1830,2279,1197,3191,1039,201,190,39593,3215,20303,1902,5270,1277,13812,1124,1221,413,19290,2018,5853,1326,11930,1304,1507,507,0400000US33,50156,702,10563,3046,4892,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Hampshire,null,null,null,null,null,33
3209,12802,2438,8989,1790,1028,504,30779,3843,15397,2504,14856,2096,526,325,171432,6235,91651,3460,30438,2511,58232,1930,2981,752,79781,4071,27964,2593,48806,2378,3011,643,0400000US05,225030,2501,53598,6343,22819,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,05
1786,5280,1242,2795,885,158,174,9511,2808,4780,2022,4385,1109,346,229,71596,4244,37884,1691,11047,1119,24986,1097,1851,446,33712,3113,10408,2273,21502,1286,1802,413,0400000US10,89340,797,17744,4090,8233,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,10
3563,13350,2203,11270,1829,742,376,30766,3972,13158,2290,16991,2206,617,339,244509,6660,127261,3746,42794,2525,80554,2064,3913,709,117248,4113,44103,2410,68034,2477,5111,777,0400000US27,300637,1317,56128,6880,25362,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Minnesota,null,null,null,null,null,27
