GEO_ID,B19201_001E,B19201_001M,B19201_002E,B19201_002M,B19201_003E,B19201_003M,B19201_004E,B19201_004M,B19201_005E,B19201_005M,B19201_006E,B19201_006M,B19201_007E,B19201_007M,B19201_008E,B19201_008M,B19201_009E,B19201_009M,B19201_010E,B19201_010M,B19201_011E,B19201_011M,B19201_012E,B19201_012M,B19201_013E,B19201_013M,B19201_014E,B19201_014M,B19201_015E,B19201_015M,B19201_016E,B19201_016M,B19201_017E,B19201_017M,NAME,B19201_001EA,B19201_001MA,B19201_002EA,B19201_002MA,B19201_003EA,B19201_003MA,B19201_004EA,B19201_004MA,B19201_005EA,B19201_005MA,B19201_006EA,B19201_006MA,B19201_007EA,B19201_007MA,B19201_008EA,B19201_008MA,B19201_009EA,B19201_009MA,B19201_010EA,B19201_010MA,B19201_011EA,B19201_011MA,B19201_012MA,B19201_012EA,B19201_013EA,B19201_013MA,B19201_014EA,B19201_014MA,B19201_015EA,B19201_015MA,B19201_016EA,B19201_016MA,B19201_017EA,B19201_017MA,state
0400000US08,804052,11317,75677,4692,50831,3647,49614,3118,53615,3263,41940,3677,45608,3302,40224,3112,41891,3499,36152,3182,70952,3698,81975,4787,81902,4516,54467,4264,31117,2835,26161,2586,21926,2268,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,915993,11777,108289,4807,78803,4351,82901,4705,79082,4384,62046,3867,71750,4514,57598,3968,52363,3617,42233,3094,73862,4796,72276,4143,66093,4532,33178,3049,15529,1816,10765,1607,9225,1550,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,593786,10422,92472,4864,63391,3361,53754,4162,48653,3124,40494,3115,40318,3027,32393,2795,30258,3083,25529,2645,44063,3281,42479,3621,37271,2933,19719,1930,7426,1625,7282,1172,8284,1460,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,632373,10923,111183,5359,67713,4309,57436,4372,55908,4462,41921,3643,37484,3494,33333,2980,27740,2647,24745,2491,40824,3243,42244,3365,41476,3076,20929,2562,12065,1997,8139,1685,9233,1946,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,1745763,17387,223573,8204,124770,5222,123121,6428,134030,5537,105648,4793,101640,5034,83524,4101,80051,4548,70495,3675,130845,5105,163879,6515,161033,5387,100659,4668,45897,3182,46569,3110,50029,4302,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,467544,8556,51525,3358,40261,2682,38189,2537,37019,2578,33895,2791,32329,2846,29261,2604,27986,3015,22044,2166,40065,2791,43112,2943,35564,2395,18706,2034,6215,1036,5567,1178,5806,895,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,189460,5952,15796,2334,14213,1876,15681,2202,13844,1795,11726,1753,12181,1860,11097,1519,9484,1521,6913,1178,14660,2226,16832,2206,18537,2455,11798,1705,6221,1109,5234,1081,5243,1218,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,387213,9216,64003,5187,45801,2997,38261,3020,34726,2816,27640,2515,26868,2562,22376,2562,20214,2235,17320,2194,25872,2916,23893,2486,18871,2184,9361,1589,3965,1245,4222,1165,3820,912,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,129272,5606,16580,2370,10526,1517,7556,1393,10304,1700,7846,1672,8633,1576,5131,1205,7297,1498,6915,1363,9671,1809,11003,1746,12332,2109,6349,1264,2730,822,3182,964,3217,786,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,797625,8679,73146,4037,64836,3494,54342,3265,54232,2815,47459,2743,50354,3285,47411,3081,43050,2887,38946,2570,67029,3349,78752,3785,74736,3759,46059,2810,21406,1758,20152,1877,15715,1671,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
