GEO_ID,C08128_001E,C08128_001M,C08128_002E,C08128_002M,C08128_003E,C08128_003M,C08128_004E,C08128_004M,C08128_005E,C08128_005M,C08128_006E,C08128_006M,C08128_007E,C08128_007M,C08128_008E,C08128_008M,C08128_009E,C08128_009M,C08128_010E,C08128_010M,C08128_011E,C08128_011M,C08128_012E,C08128_012M,C08128_013E,C08128_013M,C08128_014E,C08128_014M,C08128_015E,C08128_015M,C08128_016E,C08128_016M,C08128_017E,C08128_017M,C08128_018E,C08128_018M,C08128_019E,C08128_019M,C08128_020E,C08128_020M,C08128_021E,C08128_021M,C08128_022E,C08128_022M,C08128_023E,C08128_023M,C08128_024E,C08128_024M,C08128_025E,C08128_025M,C08128_026E,C08128_026M,C08128_027E,C08128_027M,C08128_028E,C08128_028M,C08128_029E,C08128_029M,C08128_030E,C08128_030M,NAME,C08128_001EA,C08128_001MA,C08128_002EA,C08128_002MA,C08128_003MA,C08128_003EA,C08128_004EA,C08128_004MA,C08128_005EA,C08128_005MA,C08128_006EA,C08128_006MA,C08128_007EA,C08128_007MA,C08128_008EA,C08128_008MA,C08128_009EA,C08128_009MA,C08128_010EA,C08128_010MA,C08128_011EA,C08128_011MA,C08128_012EA,C08128_012MA,C08128_013EA,C08128_013MA,C08128_014MA,C08128_014EA,C08128_015EA,C08128_015MA,C08128_016EA,C08128_016MA,C08128_017EA,C08128_017MA,C08128_018EA,C08128_018MA,C08128_019EA,C08128_019MA,C08128_020EA,C08128_020MA,C08128_021EA,C08128_021MA,C08128_022EA,C08128_022MA,C08128_023EA,C08128_023MA,C08128_024EA,C08128_024MA,C08128_025MA,C08128_025EA,C08128_026EA,C08128_026MA,C08128_027EA,C08128_027MA,C08128_028EA,C08128_028MA,C08128_029EA,C08128_029MA,C08128_030EA,C08128_030MA,state
0400000US30,514776,6490,383319,6650,87108,4651,42596,2805,1753,770,385558,6378,292179,6329,68522,4370,24449,1819,408,213,48660,4115,37794,3343,7632,1574,3174,981,60,55,3876,1242,3263,1082,594,613,19,31,0,172,39107,3774,27673,3557,7886,1173,2751,744,797,671,37575,3236,22410,2545,2474,724,12203,1654,488,236,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US23,665930,6676,529387,7051,84108,4320,51484,3162,951,479,518327,7210,412266,7369,72976,4020,32638,2551,447,381,65824,4722,54288,4437,6594,1343,4857,1124,85,88,3987,1311,3747,1341,168,170,72,62,0,170,38156,2922,32683,2808,2592,797,2799,613,82,132,39636,2976,26403,2602,1778,509,11118,1495,337,228,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US37,4858875,25677,3846684,25745,751894,15858,251606,8579,8691,1525,3918502,24535,3122551,20885,637130,14519,154420,7144,4401,985,452538,15187,366925,14698,60843,4171,22806,2356,1964,870,47231,4231,38868,3751,7625,1562,673,537,65,96,147658,6713,108455,5409,30573,2792,8403,1621,227,230,292946,10535,209885,8932,15723,2316,65304,4678,2034,869,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US13,4891031,25597,3919399,27989,709763,16810,254440,11022,7429,1376,3881953,27485,3120025,25720,602589,15301,154779,7689,4560,1102,460590,15521,374107,14602,57190,4376,28084,3789,1209,833,98172,7872,83899,7497,12525,1980,1721,807,27,48,161364,8763,127102,8559,23303,2330,10667,2551,292,249,288952,10096,214266,9451,14156,2465,59189,4890,1341,628,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US02,355403,4860,230306,6003,102748,4878,21112,2056,1237,554,241624,5673,156236,5368,75292,4704,9598,1247,498,315,43608,3796,30962,3541,10703,1552,1769,736,174,256,4382,1092,2933,949,1268,606,168,189,13,27,47051,3140,30287,2592,13242,1938,3191,773,331,292,18738,2140,9888,1666,2243,657,6386,1237,221,281,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US01,2068020,16785,1633775,16978,318164,8877,113785,6150,2296,674,1784690,15695,1418691,15630,284184,8135,80406,4477,1409,436,162698,7802,130326,7022,22238,2789,9826,1769,308,397,6983,1879,5335,1473,1603,737,45,57,0,201,42249,3942,33712,3489,5003,1243,3340,946,194,228,71400,5949,45711,4831,5136,1025,20168,2798,385,353,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US50,324340,4911,247885,5195,44614,3227,30699,3001,1142,405,244457,5454,190294,5624,35505,2922,17840,2364,818,382,29202,2495,23340,2233,4125,928,1671,459,66,84,2776,701,2301,648,370,264,105,110,0,157,23699,2161,18901,2238,3033,747,1717,485,48,66,24206,2226,13049,1611,1581,496,9366,1507,210,129,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US32,1426768,11260,1173601,12151,170351,6667,80596,5115,2220,781,1116771,13502,922829,13136,143305,6471,49530,3396,1107,491,149253,6376,122664,5938,18646,2130,7381,1684,562,539,41741,3950,38398,3876,1901,732,1294,552,148,234,59609,4662,50822,4466,4663,989,3848,1031,276,220,59394,4320,38888,3372,1836,566,18543,2367,127,139,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US54,727427,9449,559418,9689,138186,6033,29337,2652,486,290,605626,11214,466838,10290,120841,5577,17585,2147,362,242,62368,5022,49687,4596,10414,1591,2267,771,0,201,6188,1315,5639,1254,486,212,63,97,0,201,28352,2908,22625,2492,3680,1025,2047,766,0,201,24893,2651,14629,1944,2765,835,7375,1415,124,165,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US40,1777259,10475,1357301,11124,302984,8259,112830,5099,4144,803,1466424,12981,1133279,12345,256301,7442,74156,4538,2688,633,169332,6661,128851,6052,29905,2670,10180,1286,396,261,8202,1720,6701,1673,1359,680,117,105,25,43,59654,3437,46180,2754,7071,1376,6142,1211,261,224,73647,4116,42290,2962,8348,1570,22235,2179,774,348,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
