GEO_ID,C14007F_001E,C14007F_001M,C14007F_002E,C14007F_002M,C14007F_003E,C14007F_003M,C14007F_004E,C14007F_004M,C14007F_005E,C14007F_005M,C14007F_006E,C14007F_006M,C14007F_007E,C14007F_007M,NAME,C14007F_001EA,C14007F_001MA,C14007F_002EA,C14007F_002MA,C14007F_003MA,C14007F_003EA,C14007F_004MA,C14007F_004EA,C14007F_005MA,C14007F_005EA,C14007F_006EA,C14007F_006MA,C14007F_007EA,C14007F_007MA,state
0400000US26,113222,8797,37200,4749,3813,1307,15974,2359,9408,1698,8005,2226,76022,5533,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US31,44183,4660,13726,2559,1500,673,6566,1533,3604,864,2056,741,30457,3227,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US16,56636,6975,16618,3334,433,364,9256,2565,4328,1146,2601,1030,40018,4597,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US35,141364,10335,39138,5768,3304,1397,17644,3451,9381,1992,8809,1888,102226,6424,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US15,17716,3234,5107,1682,674,639,2456,1154,387,344,1590,678,12609,2375,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US46,5576,1596,1448,717,93,121,463,333,402,259,490,408,4128,1281,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US53,326540,15747,107002,8308,7811,1947,55627,6173,26791,3206,16773,2212,219538,10546,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US44,57129,7705,18032,3287,1706,892,7571,2063,5577,1331,3178,1168,39097,5449,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US04,361404,18233,101661,7894,7120,1827,44805,4840,24353,3346,25383,3817,259743,12858,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US47,95534,9522,31209,3853,3983,1055,16573,2886,6878,1647,3775,1188,64325,6719,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US20,68277,7281,22360,3348,2386,774,10659,2246,5351,1105,3964,1217,45917,4940,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
