GEO_ID,B20017F_001E,B20017F_001M,B20017F_002E,B20017F_002M,B20017F_003E,B20017F_003M,B20017F_004E,B20017F_004M,B20017F_005E,B20017F_005M,B20017F_006E,B20017F_006M,B20017F_007E,B20017F_007M,NAME,B20017F_001EA,B20017F_001MA,B20017F_002EA,B20017F_002MA,B20017F_003MA,B20017F_003EA,B20017F_004MA,B20017F_004EA,B20017F_005EA,B20017F_005MA,B20017F_006EA,B20017F_006MA,B20017F_007EA,B20017F_007MA,state
0400000US08,31012,1364,35543,1467,41238,2097,17572,2521,25373,1726,33994,2012,12089,2607,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,26596,1324,31700,1343,36126,2866,12343,3153,20390,1647,27474,3769,9946,1922,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,20357,3130,23547,5873,31289,1579,9683,4320,13928,4313,26462,6185,6176,4205,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,25500,2050,28484,4397,31802,4355,18358,2566,19287,4825,28833,3752,9033,1905,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,28577,1080,31704,626,36710,734,17670,1636,23085,1377,31255,675,11169,602,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,22656,2502,25205,3350,38145,3740,10734,3285,21234,1959,27168,4407,10243,4926,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,25782,12494,55494,26731,58787,5731,20408,19952,16773,7049,26442,12135,9556,2444,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,22809,1535,28567,4266,33574,2798,9783,6288,19540,2709,25555,2215,9499,1700,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,31364,5199,37452,12227,50222,17203,11332,15620,21540,2880,28548,10999,11005,3660,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,28459,1684,31699,1890,36612,2017,11886,2509,21692,1711,30889,2796,11276,1221,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US30,29192,7911,30899,4178,35766,19100,11021,10996,22460,13624,42955,27230,11275,10378,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US23,17405,24633,12517,6358,41080,38006,10349,7666,60092,65033,61566,34649,20044,26121,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US37,22940,1214,27339,1353,30193,959,13300,2161,18498,1673,25821,1656,9089,2351,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US13,27083,991,30894,976,32688,2289,17130,2244,22798,1481,27443,1788,11067,1248,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US02,37565,15075,51033,8876,56656,10180,29440,18197,25007,2679,26796,5883,11620,5178,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US01,21411,1386,24661,3206,29677,3548,17775,3532,15731,3269,26800,7969,7346,2487,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US50,23140,9950,13212,10647,41815,21286,4639,9156,30557,10002,75665,56302,24364,16225,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US32,27402,1035,31011,697,35349,1039,11914,1005,22371,1292,29836,1637,10191,959,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US54,19645,5014,25538,12010,26896,17308,8299,10257,18319,8413,23621,3963,12865,12691,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US40,23466,1907,29023,1916,31895,1113,12887,3539,15837,1840,23598,3325,6971,1358,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US55,27732,1647,31430,943,37068,1623,14050,2546,21477,1473,30032,4449,10978,1874,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US72,16312,452,16228,569,22400,1209,7958,618,16412,682,23043,866,7335,704,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
