GEO_ID,B99172_001E,B99172_002E,B99172_003E,B99172_004E,B99172_005E,B99172_006E,B99172_007E,B99172_008E,B99172_009E,B99172_010E,B99172_011E,B99172_012E,B99172_013E,B99172_014E,B99172_015E,NAME,B99172_001EA,B99172_002EA,B99172_003EA,B99172_004EA,B99172_005EA,B99172_006EA,B99172_007EA,B99172_008EA,B99172_009EA,B99172_010EA,B99172_011EA,B99172_012EA,B99172_013EA,B99172_014EA,B99172_015EA,state
0400000US25,1644205,68184,7142,1640,2329,2297,4241,21073,929451,94701,59612,44335,56513,104230,248457,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US11,121529,9038,982,366,168,287,893,2027,73145,4749,3483,2268,3263,7669,13191,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US49,743767,31995,3082,874,793,796,1359,6694,498279,36924,23724,15905,22456,34935,65951,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US36,4632936,268862,39258,8003,7888,10251,16455,114625,2371096,259474,140914,114548,173029,293210,815323,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US34,2231636,92896,13942,2420,2283,2194,5679,35480,1258785,139325,84208,56944,77946,125334,334200,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US39,2924244,190316,18805,4703,4580,6127,12785,46505,1798724,170241,88245,63220,90076,127272,302645,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US29,1550876,87856,10486,1929,3730,3654,7290,24941,949139,85510,46508,31935,43782,70148,183968,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US42,3235257,156864,19070,4882,4079,6935,11981,59264,1906973,184008,109883,80419,102877,148935,439087,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US26,2520001,153932,18407,3541,3520,5279,8610,45112,1524178,150377,74259,55291,75290,119639,282566,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US31,485628,20718,2758,531,300,869,1715,7726,301331,27578,13590,8595,15294,21161,63462,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US16,437765,24257,2506,593,1013,281,1283,5989,281835,22877,13759,9467,11198,21128,41579,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US35,495378,52852,3938,1123,1042,1576,2758,11376,277898,24296,11486,11498,15932,23964,55639,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US15,316849,12277,1110,307,118,119,956,3033,169127,16232,10955,10712,14342,30574,46987,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US46,219707,12572,1018,437,314,555,445,2230,140434,12563,6312,3938,5148,9840,23901,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US53,1879637,82197,7473,1436,3036,2797,3920,18387,1238687,95153,56682,41179,57723,85198,185769,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US44,247476,14059,1240,407,57,407,774,5598,134787,13663,7262,5808,11335,15802,36277,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US04,1713006,103799,13713,2048,2445,3501,7742,36958,958480,82511,51031,40207,63463,92393,254715,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US47,1708168,128654,14167,2745,3077,3226,7019,34423,976285,91462,46947,41520,54019,88670,215954,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US20,726748,38589,4972,549,1022,1175,2100,9783,455105,41634,24294,16669,23269,28074,79513,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
